#           k/h    P           
    0.10000E-03    0.22923E+03
    0.10202E-03    0.23367E+03
    0.10408E-03    0.23820E+03
    0.10618E-03    0.24282E+03
    0.10833E-03    0.24752E+03
    0.11052E-03    0.25232E+03
    0.11275E-03    0.25721E+03
    0.11503E-03    0.26220E+03
    0.11735E-03    0.26728E+03
    0.11972E-03    0.27246E+03
    0.12214E-03    0.27774E+03
    0.12461E-03    0.28312E+03
    0.12712E-03    0.28861E+03
    0.12969E-03    0.29420E+03
    0.13231E-03    0.29990E+03
    0.13499E-03    0.30571E+03
    0.13771E-03    0.31164E+03
    0.14049E-03    0.31767E+03
    0.14333E-03    0.32383E+03
    0.14623E-03    0.33010E+03
    0.14918E-03    0.33650E+03
    0.15220E-03    0.34302E+03
    0.15527E-03    0.34967E+03
    0.15841E-03    0.35644E+03
    0.16161E-03    0.36334E+03
    0.16487E-03    0.37038E+03
    0.16820E-03    0.37756E+03
    0.17160E-03    0.38487E+03
    0.17507E-03    0.39233E+03
    0.17860E-03    0.39993E+03
    0.18221E-03    0.40767E+03
    0.18589E-03    0.41557E+03
    0.18965E-03    0.42362E+03
    0.19348E-03    0.43182E+03
    0.19739E-03    0.44018E+03
    0.20138E-03    0.44871E+03
    0.20544E-03    0.45740E+03
    0.20959E-03    0.46625E+03
    0.21383E-03    0.47528E+03
    0.21815E-03    0.48448E+03
    0.22255E-03    0.49386E+03
    0.22705E-03    0.50342E+03
    0.23164E-03    0.51317E+03
    0.23632E-03    0.52310E+03
    0.24109E-03    0.53322E+03
    0.24596E-03    0.54354E+03
    0.25093E-03    0.55406E+03
    0.25600E-03    0.56478E+03
    0.26117E-03    0.57570E+03
    0.26645E-03    0.58684E+03
    0.27183E-03    0.59819E+03
    0.27732E-03    0.60976E+03
    0.28292E-03    0.62155E+03
    0.28864E-03    0.63357E+03
    0.29447E-03    0.64582E+03
    0.30042E-03    0.65830E+03
    0.30649E-03    0.67102E+03
    0.31268E-03    0.68399E+03
    0.31899E-03    0.69720E+03
    0.32544E-03    0.71067E+03
    0.33201E-03    0.72440E+03
    0.33872E-03    0.73839E+03
    0.34556E-03    0.75264E+03
    0.35254E-03    0.76717E+03
    0.35966E-03    0.78197E+03
    0.36693E-03    0.79706E+03
    0.37434E-03    0.81243E+03
    0.38190E-03    0.82810E+03
    0.38962E-03    0.84406E+03
    0.39749E-03    0.86033E+03
    0.40552E-03    0.87691E+03
    0.41371E-03    0.89380E+03
    0.42207E-03    0.91101E+03
    0.43060E-03    0.92855E+03
    0.43929E-03    0.94642E+03
    0.44817E-03    0.96463E+03
    0.45722E-03    0.98318E+03
    0.46646E-03    0.10021E+04
    0.47588E-03    0.10213E+04
    0.48550E-03    0.10410E+04
    0.49530E-03    0.10609E+04
    0.50531E-03    0.10813E+04
    0.51552E-03    0.11020E+04
    0.52593E-03    0.11232E+04
    0.53656E-03    0.11447E+04
    0.54739E-03    0.11666E+04
    0.55845E-03    0.11890E+04
    0.56973E-03    0.12117E+04
    0.58124E-03    0.12349E+04
    0.59299E-03    0.12585E+04
    0.60496E-03    0.12825E+04
    0.61719E-03    0.13070E+04
    0.62965E-03    0.13320E+04
    0.64237E-03    0.13574E+04
    0.65535E-03    0.13832E+04
    0.66859E-03    0.14096E+04
    0.68210E-03    0.14364E+04
    0.69588E-03    0.14637E+04
    0.70993E-03    0.14915E+04
    0.72427E-03    0.15198E+04
    0.73891E-03    0.15487E+04
    0.75383E-03    0.15780E+04
    0.76906E-03    0.16079E+04
    0.78460E-03    0.16384E+04
    0.80045E-03    0.16694E+04
    0.81662E-03    0.17009E+04
    0.83311E-03    0.17330E+04
    0.84994E-03    0.17657E+04
    0.86711E-03    0.17990E+04
    0.88463E-03    0.18328E+04
    0.90250E-03    0.18673E+04
    0.92073E-03    0.19024E+04
    0.93933E-03    0.19381E+04
    0.95831E-03    0.19744E+04
    0.97767E-03    0.20114E+04
    0.99742E-03    0.20490E+04
    0.10176E-02    0.20873E+04
    0.10381E-02    0.21262E+04
    0.10591E-02    0.21658E+04
    0.10805E-02    0.22062E+04
    0.11023E-02    0.22472E+04
    0.11246E-02    0.22889E+04
    0.11473E-02    0.23314E+04
    0.11705E-02    0.23745E+04
    0.11941E-02    0.24184E+04
    0.12182E-02    0.24631E+04
    0.12429E-02    0.25085E+04
    0.12680E-02    0.25547E+04
    0.12936E-02    0.26017E+04
    0.13197E-02    0.26494E+04
    0.13464E-02    0.26979E+04
    0.13736E-02    0.27473E+04
    0.14013E-02    0.27975E+04
    0.14296E-02    0.28484E+04
    0.14585E-02    0.29003E+04
    0.14880E-02    0.29530E+04
    0.15180E-02    0.30065E+04
    0.15487E-02    0.30609E+04
    0.15800E-02    0.31161E+04
    0.16119E-02    0.31723E+04
    0.16445E-02    0.32293E+04
    0.16777E-02    0.32873E+04
    0.17116E-02    0.33461E+04
    0.17462E-02    0.34059E+04
    0.17814E-02    0.34666E+04
    0.18174E-02    0.35282E+04
    0.18541E-02    0.35907E+04
    0.18916E-02    0.36542E+04
    0.19298E-02    0.37187E+04
    0.19688E-02    0.37841E+04
    0.20086E-02    0.38505E+04
    0.20491E-02    0.39179E+04
    0.20905E-02    0.39862E+04
    0.21328E-02    0.40555E+04
    0.21758E-02    0.41259E+04
    0.22198E-02    0.41972E+04
    0.22646E-02    0.42695E+04
    0.23104E-02    0.43428E+04
    0.23571E-02    0.44171E+04
    0.24047E-02    0.44925E+04
    0.24533E-02    0.45688E+04
    0.25028E-02    0.46462E+04
    0.25534E-02    0.47246E+04
    0.26050E-02    0.48040E+04
    0.26576E-02    0.48844E+04
    0.27113E-02    0.49658E+04
    0.27660E-02    0.50483E+04
    0.28219E-02    0.51317E+04
    0.28789E-02    0.52162E+04
    0.29371E-02    0.53017E+04
    0.29964E-02    0.53882E+04
    0.30569E-02    0.54757E+04
    0.31187E-02    0.55642E+04
    0.31817E-02    0.56537E+04
    0.32460E-02    0.57442E+04
    0.33115E-02    0.58356E+04
    0.33784E-02    0.59280E+04
    0.34467E-02    0.60214E+04
    0.35163E-02    0.61157E+04
    0.35874E-02    0.62110E+04
    0.36598E-02    0.63071E+04
    0.37338E-02    0.64042E+04
    0.38092E-02    0.65022E+04
    0.38861E-02    0.66010E+04
    0.39646E-02    0.67007E+04
    0.40447E-02    0.68013E+04
    0.41264E-02    0.69027E+04
    0.42098E-02    0.70049E+04
    0.42948E-02    0.71079E+04
    0.43816E-02    0.72116E+04
    0.44701E-02    0.73160E+04
    0.45604E-02    0.74212E+04
    0.46525E-02    0.75270E+04
    0.47465E-02    0.76335E+04
    0.48424E-02    0.77406E+04
    0.49402E-02    0.78483E+04
    0.50400E-02    0.79565E+04
    0.51419E-02    0.80653E+04
    0.52457E-02    0.81745E+04
    0.53517E-02    0.82842E+04
    0.54598E-02    0.83943E+04
    0.55701E-02    0.85047E+04
    0.56826E-02    0.86154E+04
    0.57974E-02    0.87263E+04
    0.59145E-02    0.88376E+04
    0.60340E-02    0.89492E+04
