#           k/h    P           
    0.10000E-03    0.50976E+02
    0.10202E-03    0.51963E+02
    0.10408E-03    0.52970E+02
    0.10618E-03    0.53997E+02
    0.10833E-03    0.55043E+02
    0.11052E-03    0.56110E+02
    0.11275E-03    0.57197E+02
    0.11503E-03    0.58305E+02
    0.11735E-03    0.59435E+02
    0.11972E-03    0.60586E+02
    0.12214E-03    0.61760E+02
    0.12461E-03    0.62957E+02
    0.12712E-03    0.64176E+02
    0.12969E-03    0.65420E+02
    0.13231E-03    0.66687E+02
    0.13499E-03    0.67979E+02
    0.13771E-03    0.69296E+02
    0.14049E-03    0.70638E+02
    0.14333E-03    0.72006E+02
    0.14623E-03    0.73401E+02
    0.14918E-03    0.74823E+02
    0.15220E-03    0.76272E+02
    0.15527E-03    0.77749E+02
    0.15841E-03    0.79255E+02
    0.16161E-03    0.80790E+02
    0.16487E-03    0.82354E+02
    0.16820E-03    0.83949E+02
    0.17160E-03    0.85575E+02
    0.17507E-03    0.87232E+02
    0.17860E-03    0.88921E+02
    0.18221E-03    0.90642E+02
    0.18589E-03    0.92397E+02
    0.18965E-03    0.94186E+02
    0.19348E-03    0.96009E+02
    0.19739E-03    0.97867E+02
    0.20138E-03    0.99762E+02
    0.20544E-03    0.10169E+03
    0.20959E-03    0.10366E+03
    0.21383E-03    0.10567E+03
    0.21815E-03    0.10771E+03
    0.22255E-03    0.10980E+03
    0.22705E-03    0.11192E+03
    0.23164E-03    0.11408E+03
    0.23632E-03    0.11629E+03
    0.24109E-03    0.11854E+03
    0.24596E-03    0.12083E+03
    0.25093E-03    0.12317E+03
    0.25600E-03    0.12555E+03
    0.26117E-03    0.12798E+03
    0.26645E-03    0.13045E+03
    0.27183E-03    0.13298E+03
    0.27732E-03    0.13555E+03
    0.28292E-03    0.13817E+03
    0.28864E-03    0.14084E+03
    0.29447E-03    0.14356E+03
    0.30042E-03    0.14633E+03
    0.30649E-03    0.14916E+03
    0.31268E-03    0.15204E+03
    0.31899E-03    0.15497E+03
    0.32544E-03    0.15797E+03
    0.33201E-03    0.16102E+03
    0.33872E-03    0.16412E+03
    0.34556E-03    0.16729E+03
    0.35254E-03    0.17052E+03
    0.35966E-03    0.17381E+03
    0.36693E-03    0.17716E+03
    0.37434E-03    0.18058E+03
    0.38190E-03    0.18406E+03
    0.38962E-03    0.18761E+03
    0.39749E-03    0.19122E+03
    0.40552E-03    0.19491E+03
    0.41371E-03    0.19866E+03
    0.42207E-03    0.20249E+03
    0.43060E-03    0.20639E+03
    0.43929E-03    0.21036E+03
    0.44817E-03    0.21441E+03
    0.45722E-03    0.21853E+03
    0.46646E-03    0.22273E+03
    0.47588E-03    0.22702E+03
    0.48550E-03    0.23138E+03
    0.49530E-03    0.23582E+03
    0.50531E-03    0.24035E+03
