#           k/h    P           
    0.10000E-03    0.48488E+02
    0.10202E-03    0.49427E+02
    0.10408E-03    0.50385E+02
    0.10618E-03    0.51361E+02
    0.10833E-03    0.52357E+02
    0.11052E-03    0.53371E+02
    0.11275E-03    0.54405E+02
    0.11503E-03    0.55459E+02
    0.11735E-03    0.56534E+02
    0.11972E-03    0.57629E+02
    0.12214E-03    0.58746E+02
    0.12461E-03    0.59884E+02
    0.12712E-03    0.61044E+02
    0.12969E-03    0.62226E+02
    0.13231E-03    0.63432E+02
    0.13499E-03    0.64661E+02
    0.13771E-03    0.65913E+02
    0.14049E-03    0.67190E+02
    0.14333E-03    0.68491E+02
    0.14623E-03    0.69818E+02
    0.14918E-03    0.71170E+02
    0.15220E-03    0.72549E+02
    0.15527E-03    0.73954E+02
    0.15841E-03    0.75386E+02
    0.16161E-03    0.76846E+02
    0.16487E-03    0.78334E+02
    0.16820E-03    0.79851E+02
    0.17160E-03    0.81397E+02
    0.17507E-03    0.82973E+02
    0.17860E-03    0.84580E+02
    0.18221E-03    0.86217E+02
    0.18589E-03    0.87886E+02
    0.18965E-03    0.89587E+02
    0.19348E-03    0.91322E+02
    0.19739E-03    0.93089E+02
    0.20138E-03    0.94891E+02
    0.20544E-03    0.96727E+02
    0.20959E-03    0.98599E+02
    0.21383E-03    0.10051E+03
    0.21815E-03    0.10245E+03
    0.22255E-03    0.10443E+03
    0.22705E-03    0.10645E+03
    0.23164E-03    0.10851E+03
    0.23632E-03    0.11061E+03
    0.24109E-03    0.11275E+03
    0.24596E-03    0.11493E+03
    0.25093E-03    0.11716E+03
    0.25600E-03    0.11942E+03
    0.26117E-03    0.12173E+03
    0.26645E-03    0.12408E+03
    0.27183E-03    0.12648E+03
    0.27732E-03    0.12893E+03
    0.28292E-03    0.13142E+03
    0.28864E-03    0.13396E+03
    0.29447E-03    0.13655E+03
    0.30042E-03    0.13918E+03
    0.30649E-03    0.14187E+03
    0.31268E-03    0.14461E+03
    0.31899E-03    0.14740E+03
    0.32544E-03    0.15025E+03
    0.33201E-03    0.15315E+03
    0.33872E-03    0.15611E+03
    0.34556E-03    0.15912E+03
    0.35254E-03    0.16219E+03
    0.35966E-03    0.16532E+03
    0.36693E-03    0.16851E+03
    0.37434E-03    0.17176E+03
    0.38190E-03    0.17507E+03
    0.38962E-03    0.17844E+03
    0.39749E-03    0.18188E+03
    0.40552E-03    0.18538E+03
    0.41371E-03    0.18895E+03
    0.42207E-03    0.19259E+03
    0.43060E-03    0.19630E+03
    0.43929E-03    0.20008E+03
    0.44817E-03    0.20393E+03
    0.45722E-03    0.20785E+03
    0.46646E-03    0.21185E+03
    0.47588E-03    0.21592E+03
    0.48550E-03    0.22007E+03
    0.49530E-03    0.22430E+03
    0.50531E-03    0.22860E+03
    0.51552E-03    0.23299E+03
    0.52593E-03    0.23746E+03
    0.53656E-03    0.24202E+03
    0.54739E-03    0.24666E+03
    0.55845E-03    0.25139E+03
    0.56973E-03    0.25620E+03
    0.58124E-03    0.26111E+03
    0.59299E-03    0.26611E+03
    0.60496E-03    0.27120E+03
    0.61719E-03    0.27638E+03
    0.62965E-03    0.28166E+03
    0.64237E-03    0.28704E+03
    0.65535E-03    0.29252E+03
    0.66859E-03    0.29811E+03
    0.68210E-03    0.30379E+03
    0.69588E-03    0.30958E+03
    0.70993E-03    0.31547E+03
    0.72427E-03    0.32148E+03
    0.73891E-03    0.32759E+03
    0.75383E-03    0.33382E+03
    0.76906E-03    0.34016E+03
    0.78460E-03    0.34661E+03
    0.80045E-03    0.35319E+03
    0.81662E-03    0.35988E+03
    0.83311E-03    0.36669E+03
    0.84994E-03    0.37363E+03
    0.86711E-03    0.38069E+03
    0.88463E-03    0.38788E+03
