0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.848302016966158590e+00,-3.732414129290102800e-04,-3.028082516886105269e-07,-7.386480996336430849e-02,-1.758295457521120503e-09,-2.711859301993352692e-05
-3.226380016860730393e+00,-1.129517277944757508e-04,-3.028502431371605978e-07,-3.193638939879561711e-02,-2.426653816611478762e-09,-3.366207342848600605e-05
-1.387214353632515440e+00,3.300629547666085462e-05,-3.029055657147438276e-07,-1.307165519350561578e-02,-3.070346280629709671e-09,-3.458138748284908352e-05
-6.805369997099575130e-01,6.790638545329467229e-05,-3.029736635445006963e-07,-5.014999414436338565e-03,-3.691845270715393819e-09,-3.312646532656457390e-05
-3.738556708167806164e-01,4.988258488568373013e-05,-3.030538606313847415e-07,-1.816724714948092512e-03,-4.291326605752329846e-09,-3.085190055979907583e-05
-2.248885195461625131e-01,2.468511315871632292e-05,-3.031453709290167876e-07,-5.548197264667459327e-04,-4.868705318512807499e-09,-2.839471293356640291e-05
-1.481776222457042991e-01,1.037312401557975109e-05,-3.032473127054590224e-07,-1.511094464425044581e-04,-5.423413379821456117e-09,-2.571252727994388296e-05
-1.018735819328320247e-01,6.105404668907876611e-06,-3.033587244801716635e-07,-1.578550988751495354e-04,-5.955912658776396203e-09,-2.300590045360012548e-05
-7.500370122874855383e-02,5.373300058664768264e-06,-3.034785793033473225e-07,-3.234624369415940726e-04,-6.466211265843167426e-09,-2.074173711100104484e-05
-5.657128120892807033e-02,3.964578162584761370e-06,-3.036058012177316373e-07,-4.823668805579647834e-04,-6.956930609350206525e-09,-1.916018834091865256e-05
-4.428670822189673117e-02,1.345148260530745960e-06,-3.037392835181548677e-07,-5.829287461408573512e-04,-7.425102398644623075e-09,-1.781572101810006102e-05
-2.932277830147711484e-02,-1.214011175202187748e-06,-3.038779046385136177e-07,-6.871742003183162195e-04,-7.875062277604112425e-09,-1.638885042189343463e-05
-1.860844104726311343e-02,-2.783295645395003094e-06,-3.040205452523443071e-07,-7.635967542425278753e-04,-8.304479465515844558e-09,-1.494207808868267613e-05
-9.448525252375716832e-03,-3.434498483583215648e-06,-3.041661042391242356e-07,-8.052296394889680436e-04,-8.717083967518296402e-09,-1.385309538156270564e-05
-3.723083890294631715e-03,-3.739767302232967455e-06,-3.043135138754580905e-07,-8.084097628271568609e-04,-9.112138437661586473e-09,-1.304994760679210994e-05
2.375130927134705416e-03,-4.203676660416948282e-06,-3.044617528689033021e-07,-8.064357507712137385e-04,-9.488578183492036927e-09,-1.223897129123347805e-05
8.454463568163816944e-03,-4.853539483218096968e-06,-3.046098590851694712e-07,-8.355432863027360824e-04,-9.849963737541058272e-09,-1.125259817313023014e-05
1.369234612191849720e-02,-5.570859424381991191e-06,-3.047569396056552364e-07,-8.389878537387075730e-04,-1.019585266151763071e-08,-1.034970137585747665e-05
1.831185823557568426e-02,-6.302458666013523723e-06,-3.049021792476309295e-07,-8.222002962657900399e-04,-1.052579248627342026e-08,-9.752019000936997450e-06
2.151734312398900784e-02,-6.981684255380248081e-06,-3.050448471922396235e-07,-8.100230403215637892e-04,-1.084099796169379882e-08,-9.345362461625749415e-06
2.482932660221592869e-02,-7.625178659118900606e-06,-3.051843003939635649e-07,-8.096085025406825342e-04,-1.114293944974271769e-08,-8.853786386296892035e-06
2.855726363673039003e-02,-8.197221190114682384e-06,-3.053199869313594571e-07,-8.229151753798985558e-04,-1.143160200569643380e-08,-8.210166986430357181e-06
3.181622562578034774e-02,-8.722935118082125424e-06,-3.054514454017528351e-07,-8.101334590389190626e-04,-1.170706259503462369e-08,-7.611702670183681692e-06
3.461625120553257773e-02,-9.291858387340506248e-06,-3.055783034742093299e-07,-7.758238430901395061e-04,-1.197040096272262867e-08,-7.220630608400759260e-06
3.684427793775313376e-02,-9.844102866094652893e-06,-3.057002739984400092e-07,-7.404875246762570445e-04,-1.222095184781974323e-08,-6.953099878940837775e-06
3.904299267738498003e-02,-1.037707786207983337e-05,-3.058171500398965815e-07,-6.997258286301323918e-04,-1.246082690427807981e-08,-6.631303270860272646e-06
4.134941515432366543e-02,-1.094918239055612879e-05,-3.059287980092171688e-07,-6.695318960749227152e-04,-1.268980248736740494e-08,-6.191396384679252805e-06
4.352485030570951707e-02,-1.152185886582566816e-05,-3.060351493725213166e-07,-6.505108231620679998e-04,-1.290787083594551470e-08,-5.755512328146569767e-06
4.536213345690542909e-02,-1.208892386769818794e-05,-3.061361928685748124e-07,-6.234104780801583839e-04,-1.311601527445458120e-08,-5.455668822848701500e-06
4.703538705098653239e-02,-1.270142475373953130e-05,-3.062319647807168723e-07,-5.903924728480015524e-04,-1.331335926155484068e-08,-5.264758329144334317e-06
4.857382733022275190e-02,-1.331365469665914928e-05,-3.063225382335718244e-07,-5.648731557634156450e-04,-1.350208921925624127e-08,-5.068086232101408318e-06
5.012812871003635706e-02,-1.389338428698886501e-05,-3.064080151686454258e-07,-5.404831800003744371e-04,-1.368176880917156235e-08,-4.791720528008800817e-06
5.162610980889992263e-02,-1.451046528479274500e-05,-3.064885150968284655e-07,-5.160135407754166958e-04,-1.385276956141449046e-08,-4.486306619758552005e-06
5.300416781313099790e-02,-1.512562910359528277e-05,-3.065641672015721247e-07,-5.006001542065844842e-04,-1.401551792229333948e-08,-4.248844089361087642e-06
