#           k/h    P           
    0.10000E-03    0.29856E+03
    0.10202E-03    0.30435E+03
    0.10408E-03    0.31024E+03
    0.10618E-03    0.31625E+03
    0.10833E-03    0.32238E+03
    0.11052E-03    0.32862E+03
    0.11275E-03    0.33499E+03
    0.11503E-03    0.34147E+03
    0.11735E-03    0.34809E+03
    0.11972E-03    0.35483E+03
    0.12214E-03    0.36170E+03
    0.12461E-03    0.36870E+03
    0.12712E-03    0.37584E+03
    0.12969E-03    0.38312E+03
    0.13231E-03    0.39053E+03
    0.13499E-03    0.39809E+03
    0.13771E-03    0.40580E+03
    0.14049E-03    0.41365E+03
    0.14333E-03    0.42166E+03
    0.14623E-03    0.42982E+03
    0.14918E-03    0.43814E+03
    0.15220E-03    0.44662E+03
    0.15527E-03    0.45526E+03
    0.15841E-03    0.46407E+03
    0.16161E-03    0.47305E+03
    0.16487E-03    0.48220E+03
    0.16820E-03    0.49153E+03
    0.17160E-03    0.50104E+03
    0.17507E-03    0.51073E+03
    0.17860E-03    0.52061E+03
    0.18221E-03    0.53068E+03
    0.18589E-03    0.54094E+03
    0.18965E-03    0.55140E+03
    0.19348E-03    0.56206E+03
    0.19739E-03    0.57293E+03
    0.20138E-03    0.58401E+03
    0.20544E-03    0.59529E+03
    0.20959E-03    0.60680E+03
    0.21383E-03    0.61853E+03
    0.21815E-03    0.63048E+03
    0.22255E-03    0.64266E+03
    0.22705E-03    0.65508E+03
    0.23164E-03    0.66773E+03
    0.23632E-03    0.68063E+03
    0.24109E-03    0.69377E+03
    0.24596E-03    0.70717E+03
    0.25093E-03    0.72082E+03
    0.25600E-03    0.73474E+03
    0.26117E-03    0.74892E+03
    0.26645E-03    0.76338E+03
    0.27183E-03    0.77811E+03
    0.27732E-03    0.79312E+03
    0.28292E-03    0.80842E+03
    0.28864E-03    0.82402E+03
    0.29447E-03    0.83991E+03
    0.30042E-03    0.85611E+03
    0.30649E-03    0.87261E+03
    0.31268E-03    0.88943E+03
    0.31899E-03    0.90657E+03
    0.32544E-03    0.92404E+03
    0.33201E-03    0.94185E+03
    0.33872E-03    0.95999E+03
    0.34556E-03    0.97848E+03
    0.35254E-03    0.99732E+03
    0.35966E-03    0.10165E+04
    0.36693E-03    0.10361E+04
    0.37434E-03    0.10560E+04
    0.38190E-03    0.10763E+04
    0.38962E-03    0.10970E+04
    0.39749E-03    0.11181E+04
    0.40552E-03    0.11396E+04
    0.41371E-03    0.11615E+04
    0.42207E-03    0.11839E+04
    0.43060E-03    0.12066E+04
    0.43929E-03    0.12298E+04
    0.44817E-03    0.12534E+04
    0.45722E-03    0.12775E+04
    0.46646E-03    0.13020E+04
    0.47588E-03    0.13270E+04
    0.48550E-03    0.13524E+04
    0.49530E-03    0.13783E+04
    0.50531E-03    0.14048E+04
    0.51552E-03    0.14317E+04
    0.52593E-03    0.14591E+04
    0.53656E-03    0.14870E+04
    0.54739E-03    0.15155E+04
    0.55845E-03    0.15445E+04
    0.56973E-03    0.15740E+04
    0.58124E-03    0.16041E+04
    0.59299E-03    0.16348E+04
    0.60496E-03    0.16660E+04
    0.61719E-03    0.16978E+04
    0.62965E-03    0.17302E+04
    0.64237E-03    0.17632E+04
    0.65535E-03    0.17969E+04
    0.66859E-03    0.18311E+04
    0.68210E-03    0.18660E+04
    0.69588E-03    0.19015E+04
    0.70993E-03    0.19377E+04
    0.72427E-03    0.19745E+04
    0.73891E-03    0.20120E+04
    0.75383E-03    0.20502E+04
    0.76906E-03    0.20891E+04
    0.78460E-03    0.21287E+04
    0.80045E-03    0.21691E+04
    0.81662E-03    0.22102E+04
    0.83311E-03    0.22520E+04
    0.84994E-03    0.22945E+04
    0.86711E-03    0.23379E+04
    0.88463E-03    0.23820E+04
    0.90250E-03    0.24269E+04
    0.92073E-03    0.24726E+04
    0.93933E-03    0.25192E+04
    0.95831E-03    0.25665E+04
    0.97767E-03    0.26148E+04
    0.99742E-03    0.26638E+04
    0.10176E-02    0.27137E+04
    0.10381E-02    0.27646E+04
    0.10591E-02    0.28163E+04
    0.10805E-02    0.28689E+04
    0.11023E-02    0.29224E+04
    0.11246E-02    0.29768E+04
    0.11473E-02    0.30322E+04
    0.11705E-02    0.30886E+04
    0.11941E-02    0.31459E+04
    0.12182E-02    0.32042E+04
    0.12429E-02    0.32635E+04
    0.12680E-02    0.33238E+04
    0.12936E-02    0.33851E+04
    0.13197E-02    0.34475E+04
    0.13464E-02    0.35109E+04
    0.13736E-02    0.35753E+04
    0.14013E-02    0.36409E+04
    0.14296E-02    0.37075E+04
    0.14585E-02    0.37752E+04
    0.14880E-02    0.38440E+04
    0.15180E-02    0.39139E+04
    0.15487E-02    0.39849E+04
    0.15800E-02    0.40571E+04
    0.16119E-02    0.41305E+04
    0.16445E-02    0.42050E+04
    0.16777E-02    0.42807E+04
    0.17116E-02    0.43575E+04
    0.17462E-02    0.44356E+04
    0.17814E-02    0.45149E+04
    0.18174E-02    0.45954E+04
    0.18541E-02    0.46771E+04
    0.18916E-02    0.47600E+04
    0.19298E-02    0.48442E+04
    0.19688E-02    0.49297E+04
    0.20086E-02    0.50164E+04
    0.20491E-02    0.51044E+04
    0.20905E-02    0.51936E+04
    0.21328E-02    0.52842E+04
    0.21758E-02    0.53760E+04
    0.22198E-02    0.54692E+04
    0.22646E-02    0.55636E+04
    0.23104E-02    0.56594E+04
    0.23571E-02    0.57564E+04
    0.24047E-02    0.58548E+04
    0.24533E-02    0.59545E+04
    0.25028E-02    0.60555E+04
    0.25534E-02    0.61579E+04
    0.26050E-02    0.62615E+04
    0.26576E-02    0.63665E+04
    0.27113E-02    0.64729E+04
    0.27660E-02    0.65805E+04
    0.28219E-02    0.66895E+04
    0.28789E-02    0.67998E+04
    0.29371E-02    0.69114E+04
    0.29964E-02    0.70243E+04
    0.30569E-02    0.71385E+04
    0.31187E-02    0.72541E+04
    0.31817E-02    0.73709E+04
    0.32460E-02    0.74890E+04
    0.33115E-02    0.76084E+04
    0.33784E-02    0.77290E+04
    0.34467E-02    0.78509E+04
    0.35163E-02    0.79740E+04
    0.35874E-02    0.80983E+04
    0.36598E-02    0.82238E+04
    0.37338E-02    0.83505E+04
    0.38092E-02    0.84784E+04
    0.38861E-02    0.86074E+04
    0.39646E-02    0.87375E+04
    0.40447E-02    0.88688E+04
    0.41264E-02    0.90011E+04
    0.42098E-02    0.91345E+04
    0.42948E-02    0.92688E+04
    0.43816E-02    0.94042E+04
    0.44701E-02    0.95405E+04
    0.45604E-02    0.96777E+04
    0.46525E-02    0.98158E+04
    0.47465E-02    0.99548E+04
    0.48424E-02    0.10095E+05
    0.49402E-02    0.10235E+05
    0.50400E-02    0.10376E+05
    0.51419E-02    0.10518E+05
    0.52457E-02    0.10661E+05
    0.53517E-02    0.10804E+05
    0.54598E-02    0.10947E+05
    0.55701E-02    0.11091E+05
    0.56826E-02    0.11236E+05
    0.57974E-02    0.11381E+05
    0.59145E-02    0.11526E+05
    0.60340E-02    0.11671E+05
    0.61559E-02    0.11817E+05
    0.62803E-02    0.11962E+05
    0.64072E-02    0.12108E+05
    0.65366E-02    0.12253E+05
    0.66686E-02    0.12398E+05
    0.68033E-02    0.12543E+05
    0.69408E-02    0.12688E+05
    0.70810E-02    0.12832E+05
    0.72240E-02    0.12976E+05
    0.73700E-02    0.13119E+05
    0.75189E-02    0.13261E+05
    0.76708E-02    0.13402E+05
    0.78257E-02    0.13543E+05
    0.79838E-02    0.13682E+05
    0.81451E-02    0.13820E+05
    0.83096E-02    0.13957E+05
    0.84775E-02    0.14093E+05
