#           k/h    P           
    0.10000E-03    0.86748E+02
    0.10202E-03    0.88429E+02
    0.10408E-03    0.90142E+02
    0.10618E-03    0.91889E+02
    0.10833E-03    0.93669E+02
    0.11052E-03    0.95484E+02
    0.11275E-03    0.97334E+02
    0.11503E-03    0.99220E+02
    0.11735E-03    0.10114E+03
    0.11972E-03    0.10310E+03
    0.12214E-03    0.10510E+03
    0.12461E-03    0.10714E+03
    0.12712E-03    0.10921E+03
    0.12969E-03    0.11133E+03
    0.13231E-03    0.11348E+03
    0.13499E-03    0.11568E+03
    0.13771E-03    0.11792E+03
    0.14049E-03    0.12021E+03
    0.14333E-03    0.12254E+03
    0.14623E-03    0.12491E+03
    0.14918E-03    0.12733E+03
    0.15220E-03    0.12979E+03
    0.15527E-03    0.13231E+03
    0.15841E-03    0.13487E+03
    0.16161E-03    0.13748E+03
    0.16487E-03    0.14014E+03
    0.16820E-03    0.14286E+03
    0.17160E-03    0.14562E+03
    0.17507E-03    0.14844E+03
    0.17860E-03    0.15132E+03
    0.18221E-03    0.15425E+03
    0.18589E-03    0.15723E+03
    0.18965E-03    0.16028E+03
    0.19348E-03    0.16338E+03
    0.19739E-03    0.16654E+03
    0.20138E-03    0.16976E+03
    0.20544E-03    0.17305E+03
    0.20959E-03    0.17640E+03
    0.21383E-03    0.17981E+03
    0.21815E-03    0.18329E+03
    0.22255E-03    0.18684E+03
    0.22705E-03    0.19045E+03
    0.23164E-03    0.19413E+03
    0.23632E-03    0.19789E+03
    0.24109E-03    0.20172E+03
    0.24596E-03    0.20562E+03
    0.25093E-03    0.20959E+03
    0.25600E-03    0.21365E+03
    0.26117E-03    0.21778E+03
    0.26645E-03    0.22199E+03
    0.27183E-03    0.22628E+03
    0.27732E-03    0.23065E+03
    0.28292E-03    0.23511E+03
    0.28864E-03    0.23965E+03
    0.29447E-03    0.24428E+03
    0.30042E-03    0.24900E+03
    0.30649E-03    0.25381E+03
    0.31268E-03    0.25871E+03
    0.31899E-03    0.26370E+03
    0.32544E-03    0.26879E+03
    0.33201E-03    0.27398E+03
    0.33872E-03    0.27927E+03
    0.34556E-03    0.28465E+03
    0.35254E-03    0.29015E+03
    0.35966E-03    0.29574E+03
    0.36693E-03    0.30144E+03
    0.37434E-03    0.30726E+03
    0.38190E-03    0.31318E+03
    0.38962E-03    0.31921E+03
    0.39749E-03    0.32536E+03
    0.40552E-03    0.33163E+03
    0.41371E-03    0.33802E+03
    0.42207E-03    0.34452E+03
    0.43060E-03    0.35115E+03
    0.43929E-03    0.35791E+03
    0.44817E-03    0.36479E+03
    0.45722E-03    0.37181E+03
    0.46646E-03    0.37895E+03
    0.47588E-03    0.38624E+03
    0.48550E-03    0.39366E+03
    0.49530E-03    0.40122E+03
    0.50531E-03    0.40892E+03
    0.51552E-03    0.41676E+03
    0.52593E-03    0.42476E+03
    0.53656E-03    0.43290E+03
    0.54739E-03    0.44120E+03
    0.55845E-03    0.44965E+03
    0.56973E-03    0.45826E+03
    0.58124E-03    0.46703E+03
    0.59299E-03    0.47597E+03
    0.60496E-03    0.48507E+03
    0.61719E-03    0.49434E+03
    0.62965E-03    0.50378E+03
    0.64237E-03    0.51339E+03
    0.65535E-03    0.52319E+03
    0.66859E-03    0.53317E+03
    0.68210E-03    0.54333E+03
    0.69588E-03    0.55367E+03
    0.70993E-03    0.56421E+03
    0.72427E-03    0.57494E+03
    0.73891E-03    0.58587E+03
    0.75383E-03    0.59699E+03
    0.76906E-03    0.60832E+03
    0.78460E-03    0.61986E+03
    0.80045E-03    0.63160E+03
    0.81662E-03    0.64356E+03
    0.83311E-03    0.65573E+03
    0.84994E-03    0.66813E+03
    0.86711E-03    0.68074E+03
    0.88463E-03    0.69358E+03
    0.90250E-03    0.70666E+03
    0.92073E-03    0.71996E+03
    0.93933E-03    0.73351E+03
    0.95831E-03    0.74729E+03
    0.97767E-03    0.76131E+03
    0.99742E-03    0.77559E+03
    0.10176E-02    0.79011E+03
    0.10381E-02    0.80489E+03
    0.10591E-02    0.81993E+03
    0.10805E-02    0.83523E+03
    0.11023E-02    0.85080E+03
    0.11246E-02    0.86664E+03
    0.11473E-02    0.88275E+03
    0.11705E-02    0.89913E+03
    0.11941E-02    0.91580E+03
    0.12182E-02    0.93275E+03
    0.12429E-02    0.94999E+03
    0.12680E-02    0.96752E+03
    0.12936E-02    0.98535E+03
    0.13197E-02    0.10035E+04
    0.13464E-02    0.10219E+04
    0.13736E-02    0.10406E+04
    0.14013E-02    0.10597E+04
    0.14296E-02    0.10790E+04
    0.14585E-02    0.10987E+04
    0.14880E-02    0.11187E+04
    0.15180E-02    0.11390E+04
    0.15487E-02    0.11597E+04
    0.15800E-02    0.11807E+04
    0.16119E-02    0.12020E+04
    0.16445E-02    0.12237E+04
    0.16777E-02    0.12457E+04
    0.17116E-02    0.12680E+04
    0.17462E-02    0.12907E+04
    0.17814E-02    0.13137E+04
    0.18174E-02    0.13371E+04
    0.18541E-02    0.13609E+04
    0.18916E-02    0.13850E+04
    0.19298E-02    0.14095E+04
    0.19688E-02    0.14343E+04
    0.20086E-02    0.14595E+04
    0.20491E-02    0.14851E+04
    0.20905E-02    0.15110E+04
    0.21328E-02    0.15373E+04
    0.21758E-02    0.15640E+04
    0.22198E-02    0.15911E+04
    0.22646E-02    0.16186E+04
    0.23104E-02    0.16464E+04
    0.23571E-02    0.16746E+04
    0.24047E-02    0.17032E+04
    0.24533E-02    0.17322E+04
    0.25028E-02    0.17616E+04
    0.25534E-02    0.17913E+04
    0.26050E-02    0.18215E+04
    0.26576E-02    0.18520E+04
    0.27113E-02    0.18829E+04
    0.27660E-02    0.19142E+04
    0.28219E-02    0.19459E+04
    0.28789E-02    0.19780E+04
    0.29371E-02    0.20104E+04
    0.29964E-02    0.20433E+04
    0.30569E-02    0.20765E+04
    0.31187E-02    0.21101E+04
    0.31817E-02    0.21441E+04
    0.32460E-02    0.21784E+04
    0.33115E-02    0.22131E+04
    0.33784E-02    0.22482E+04
    0.34467E-02    0.22837E+04
    0.35163E-02    0.23195E+04
    0.35874E-02    0.23556E+04
    0.36598E-02    0.23921E+04
    0.37338E-02    0.24290E+04
    0.38092E-02    0.24662E+04
    0.38861E-02    0.25037E+04
    0.39646E-02    0.25416E+04
    0.40447E-02    0.25797E+04
    0.41264E-02    0.26182E+04
    0.42098E-02    0.26570E+04
    0.42948E-02    0.26961E+04
    0.43816E-02    0.27355E+04
    0.44701E-02    0.27752E+04
    0.45604E-02    0.28151E+04
    0.46525E-02    0.28553E+04
    0.47465E-02    0.28957E+04
    0.48424E-02    0.29364E+04
