#           k/h    P           
    0.10000E-03    0.25308E+03
    0.10202E-03    0.25799E+03
    0.10408E-03    0.26299E+03
    0.10618E-03    0.26808E+03
    0.10833E-03    0.27328E+03
    0.11052E-03    0.27858E+03
    0.11275E-03    0.28398E+03
    0.11503E-03    0.28948E+03
    0.11735E-03    0.29509E+03
    0.11972E-03    0.30081E+03
    0.12214E-03    0.30664E+03
    0.12461E-03    0.31258E+03
    0.12712E-03    0.31864E+03
    0.12969E-03    0.32481E+03
    0.13231E-03    0.33111E+03
    0.13499E-03    0.33752E+03
    0.13771E-03    0.34406E+03
    0.14049E-03    0.35073E+03
    0.14333E-03    0.35753E+03
    0.14623E-03    0.36445E+03
    0.14918E-03    0.37152E+03
    0.15220E-03    0.37872E+03
    0.15527E-03    0.38605E+03
    0.15841E-03    0.39353E+03
    0.16161E-03    0.40116E+03
    0.16487E-03    0.40893E+03
    0.16820E-03    0.41685E+03
    0.17160E-03    0.42493E+03
    0.17507E-03    0.43316E+03
    0.17860E-03    0.44155E+03
    0.18221E-03    0.45010E+03
    0.18589E-03    0.45882E+03
    0.18965E-03    0.46771E+03
    0.19348E-03    0.47677E+03
    0.19739E-03    0.48600E+03
    0.20138E-03    0.49541E+03
    0.20544E-03    0.50501E+03
    0.20959E-03    0.51479E+03
    0.21383E-03    0.52475E+03
    0.21815E-03    0.53491E+03
    0.22255E-03    0.54527E+03
    0.22705E-03    0.55583E+03
    0.23164E-03    0.56659E+03
    0.23632E-03    0.57755E+03
    0.24109E-03    0.58873E+03
    0.24596E-03    0.60012E+03
    0.25093E-03    0.61174E+03
    0.25600E-03    0.62357E+03
    0.26117E-03    0.63564E+03
    0.26645E-03    0.64794E+03
    0.27183E-03    0.66047E+03
    0.27732E-03    0.67324E+03
    0.28292E-03    0.68626E+03
    0.28864E-03    0.69953E+03
    0.29447E-03    0.71306E+03
    0.30042E-03    0.72684E+03
    0.30649E-03    0.74089E+03
    0.31268E-03    0.75521E+03
    0.31899E-03    0.76980E+03
    0.32544E-03    0.78467E+03
    0.33201E-03    0.79983E+03
    0.33872E-03    0.81527E+03
    0.34556E-03    0.83101E+03
    0.35254E-03    0.84705E+03
    0.35966E-03    0.86340E+03
    0.36693E-03    0.88006E+03
    0.37434E-03    0.89703E+03
    0.38190E-03    0.91433E+03
    0.38962E-03    0.93196E+03
    0.39749E-03    0.94992E+03
    0.40552E-03    0.96823E+03
    0.41371E-03    0.98688E+03
    0.42207E-03    0.10059E+04
    0.43060E-03    0.10252E+04
    0.43929E-03    0.10450E+04
    0.44817E-03    0.10651E+04
    0.45722E-03    0.10856E+04
    0.46646E-03    0.11064E+04
    0.47588E-03    0.11277E+04
    0.48550E-03    0.11493E+04
    0.49530E-03    0.11714E+04
    0.50531E-03    0.11939E+04
    0.51552E-03    0.12168E+04
    0.52593E-03    0.12401E+04
    0.53656E-03    0.12639E+04
    0.54739E-03    0.12881E+04
    0.55845E-03    0.13128E+04
    0.56973E-03    0.13379E+04
    0.58124E-03    0.13635E+04
    0.59299E-03    0.13895E+04
    0.60496E-03    0.14161E+04
    0.61719E-03    0.14431E+04
    0.62965E-03    0.14706E+04
    0.64237E-03    0.14987E+04
    0.65535E-03    0.15272E+04
    0.66859E-03    0.15563E+04
    0.68210E-03    0.15859E+04
    0.69588E-03    0.16161E+04
    0.70993E-03    0.16468E+04
    0.72427E-03    0.16780E+04
    0.73891E-03    0.17098E+04
    0.75383E-03    0.17423E+04
    0.76906E-03    0.17752E+04
    0.78460E-03    0.18088E+04
    0.80045E-03    0.18430E+04
    0.81662E-03    0.18779E+04
    0.83311E-03    0.19133E+04
    0.84994E-03    0.19494E+04
    0.86711E-03    0.19861E+04
    0.88463E-03    0.20235E+04
    0.90250E-03    0.20615E+04
    0.92073E-03    0.21002E+04
    0.93933E-03    0.21396E+04
    0.95831E-03    0.21797E+04
    0.97767E-03    0.22205E+04
    0.99742E-03    0.22620E+04
    0.10176E-02    0.23043E+04
    0.10381E-02    0.23473E+04
    0.10591E-02    0.23910E+04
    0.10805E-02    0.24355E+04
    0.11023E-02    0.24808E+04
    0.11246E-02    0.25269E+04
    0.11473E-02    0.25737E+04
    0.11705E-02    0.26213E+04
    0.11941E-02    0.26698E+04
    0.12182E-02    0.27191E+04
    0.12429E-02    0.27692E+04
    0.12680E-02    0.28202E+04
    0.12936E-02    0.28720E+04
    0.13197E-02    0.29247E+04
    0.13464E-02    0.29783E+04
    0.13736E-02    0.30328E+04
    0.14013E-02    0.30881E+04
    0.14296E-02    0.31444E+04
    0.14585E-02    0.32016E+04
    0.14880E-02    0.32597E+04
    0.15180E-02    0.33188E+04
    0.15487E-02    0.33789E+04
    0.15800E-02    0.34399E+04
    0.16119E-02    0.35018E+04
    0.16445E-02    0.35648E+04
    0.16777E-02    0.36287E+04
    0.17116E-02    0.36937E+04
    0.17462E-02    0.37596E+04
    0.17814E-02    0.38266E+04
    0.18174E-02    0.38946E+04
    0.18541E-02    0.39637E+04
    0.18916E-02    0.40338E+04
    0.19298E-02    0.41049E+04
    0.19688E-02    0.41771E+04
    0.20086E-02    0.42504E+04
    0.20491E-02    0.43247E+04
    0.20905E-02    0.44002E+04
    0.21328E-02    0.44767E+04
    0.21758E-02    0.45543E+04
    0.22198E-02    0.46330E+04
    0.22646E-02    0.47128E+04
    0.23104E-02    0.47937E+04
    0.23571E-02    0.48758E+04
    0.24047E-02    0.49589E+04
    0.24533E-02    0.50432E+04
    0.25028E-02    0.51286E+04
    0.25534E-02    0.52151E+04
    0.26050E-02    0.53027E+04
    0.26576E-02    0.53915E+04
    0.27113E-02    0.54814E+04
    0.27660E-02    0.55724E+04
    0.28219E-02    0.56645E+04
    0.28789E-02    0.57577E+04
    0.29371E-02    0.58521E+04
    0.29964E-02    0.59475E+04
    0.30569E-02    0.60441E+04
    0.31187E-02    0.61418E+04
    0.31817E-02    0.62406E+04
    0.32460E-02    0.63404E+04
    0.33115E-02    0.64414E+04
    0.33784E-02    0.65434E+04
    0.34467E-02    0.66464E+04
    0.35163E-02    0.67505E+04
    0.35874E-02    0.68557E+04
    0.36598E-02    0.69618E+04
    0.37338E-02    0.70690E+04
    0.38092E-02    0.71771E+04
    0.38861E-02    0.72862E+04
    0.39646E-02    0.73962E+04
    0.40447E-02    0.75072E+04
    0.41264E-02    0.76191E+04
    0.42098E-02    0.77319E+04
    0.42948E-02    0.78456E+04
    0.43816E-02    0.79601E+04
    0.44701E-02    0.80753E+04
    0.45604E-02    0.81914E+04
    0.46525E-02    0.83082E+04
    0.47465E-02    0.84257E+04
    0.48424E-02    0.85440E+04
    0.49402E-02    0.86628E+04
    0.50400E-02    0.87823E+04
    0.51419E-02    0.89023E+04
    0.52457E-02    0.90229E+04
    0.53517E-02    0.91439E+04
    0.54598E-02    0.92654E+04
    0.55701E-02    0.93872E+04
    0.56826E-02    0.95094E+04
    0.57974E-02    0.96319E+04
    0.59145E-02    0.97547E+04
    0.60340E-02    0.98779E+04
    0.61559E-02    0.10001E+05
    0.62803E-02    0.10124E+05
    0.64072E-02    0.10247E+05
    0.65366E-02    0.10370E+05
    0.66686E-02    0.10493E+05
    0.68033E-02    0.10615E+05
    0.69408E-02    0.10738E+05
    0.70810E-02    0.10860E+05
    0.72240E-02    0.10981E+05
    0.73700E-02    0.11102E+05
    0.75189E-02    0.11223E+05
    0.76708E-02    0.11342E+05
    0.78257E-02    0.11461E+05
    0.79838E-02    0.11579E+05
    0.81451E-02    0.11696E+05
    0.83096E-02    0.11812E+05
    0.84775E-02    0.11926E+05
    0.86488E-02    0.12040E+05
    0.88235E-02    0.12152E+05
    0.90017E-02    0.12263E+05
    0.91836E-02    0.12372E+05
    0.93691E-02    0.12479E+05
    0.95583E-02    0.12585E+05
    0.97514E-02    0.12688E+05
    0.99484E-02    0.12790E+05
    0.10149E-01    0.12889E+05
    0.10354E-01    0.12986E+05
    0.10564E-01    0.13081E+05
    0.10777E-01    0.13173E+05
    0.10995E-01    0.13262E+05
    0.11217E-01    0.13348E+05
