#           k/h    P           
    0.10000E-03    0.58452E+02
    0.10202E-03    0.59585E+02
    0.10408E-03    0.60739E+02
    0.10618E-03    0.61916E+02
    0.10833E-03    0.63116E+02
    0.11052E-03    0.64339E+02
    0.11275E-03    0.65586E+02
    0.11503E-03    0.66856E+02
    0.11735E-03    0.68152E+02
    0.11972E-03    0.69472E+02
    0.12214E-03    0.70818E+02
    0.12461E-03    0.72190E+02
    0.12712E-03    0.73589E+02
    0.12969E-03    0.75014E+02
    0.13231E-03    0.76467E+02
    0.13499E-03    0.77948E+02
    0.13771E-03    0.79458E+02
    0.14049E-03    0.80997E+02
    0.14333E-03    0.82566E+02
    0.14623E-03    0.84165E+02
    0.14918E-03    0.85796E+02
    0.15220E-03    0.87457E+02
    0.15527E-03    0.89151E+02
    0.15841E-03    0.90877E+02
    0.16161E-03    0.92637E+02
    0.16487E-03    0.94431E+02
    0.16820E-03    0.96260E+02
    0.17160E-03    0.98123E+02
    0.17507E-03    0.10002E+03
    0.17860E-03    0.10196E+03
    0.18221E-03    0.10393E+03
    0.18589E-03    0.10595E+03
    0.18965E-03    0.10800E+03
    0.19348E-03    0.11009E+03
    0.19739E-03    0.11222E+03
    0.20138E-03    0.11439E+03
    0.20544E-03    0.11660E+03
    0.20959E-03    0.11886E+03
    0.21383E-03    0.12116E+03
    0.21815E-03    0.12350E+03
    0.22255E-03    0.12589E+03
    0.22705E-03    0.12833E+03
    0.23164E-03    0.13081E+03
    0.23632E-03    0.13334E+03
    0.24109E-03    0.13592E+03
    0.24596E-03    0.13855E+03
    0.25093E-03    0.14123E+03
    0.25600E-03    0.14396E+03
    0.26117E-03    0.14674E+03
    0.26645E-03    0.14958E+03
    0.27183E-03    0.15247E+03
    0.27732E-03    0.15542E+03
    0.28292E-03    0.15842E+03
    0.28864E-03    0.16148E+03
    0.29447E-03    0.16460E+03
    0.30042E-03    0.16778E+03
    0.30649E-03    0.17102E+03
    0.31268E-03    0.17432E+03
    0.31899E-03    0.17769E+03
    0.32544E-03    0.18112E+03
    0.33201E-03    0.18461E+03
    0.33872E-03    0.18818E+03
    0.34556E-03    0.19181E+03
    0.35254E-03    0.19551E+03
    0.35966E-03    0.19928E+03
    0.36693E-03    0.20312E+03
    0.37434E-03    0.20704E+03
    0.38190E-03    0.21103E+03
    0.38962E-03    0.21509E+03
    0.39749E-03    0.21924E+03
    0.40552E-03    0.22346E+03
    0.41371E-03    0.22776E+03
    0.42207E-03    0.23215E+03
    0.43060E-03    0.23662E+03
    0.43929E-03    0.24117E+03
    0.44817E-03    0.24581E+03
    0.45722E-03    0.25054E+03
    0.46646E-03    0.25535E+03
    0.47588E-03    0.26026E+03
    0.48550E-03    0.26526E+03
    0.49530E-03    0.27036E+03
    0.50531E-03    0.27555E+03
    0.51552E-03    0.28084E+03
    0.52593E-03    0.28622E+03
    0.53656E-03    0.29171E+03
    0.54739E-03    0.29730E+03
    0.55845E-03    0.30300E+03
    0.56973E-03    0.30880E+03
    0.58124E-03    0.31472E+03
    0.59299E-03    0.32074E+03
    0.60496E-03    0.32687E+03
    0.61719E-03    0.33312E+03
    0.62965E-03    0.33949E+03
    0.64237E-03    0.34597E+03
    0.65535E-03    0.35257E+03
    0.66859E-03    0.35930E+03
    0.68210E-03    0.36615E+03
    0.69588E-03    0.37312E+03
    0.70993E-03    0.38023E+03
    0.72427E-03    0.38746E+03
