#           k/h    P           
    0.10000E-03    0.63382E+02
    0.10202E-03    0.64611E+02
    0.10408E-03    0.65863E+02
    0.10618E-03    0.67139E+02
    0.10833E-03    0.68440E+02
    0.11052E-03    0.69766E+02
    0.11275E-03    0.71118E+02
    0.11503E-03    0.72496E+02
    0.11735E-03    0.73901E+02
    0.11972E-03    0.75333E+02
    0.12214E-03    0.76792E+02
    0.12461E-03    0.78280E+02
    0.12712E-03    0.79797E+02
    0.12969E-03    0.81343E+02
    0.13231E-03    0.82918E+02
    0.13499E-03    0.84525E+02
    0.13771E-03    0.86162E+02
    0.14049E-03    0.87831E+02
    0.14333E-03    0.89533E+02
    0.14623E-03    0.91267E+02
    0.14918E-03    0.93035E+02
    0.15220E-03    0.94837E+02
    0.15527E-03    0.96674E+02
    0.15841E-03    0.98546E+02
    0.16161E-03    0.10045E+03
    0.16487E-03    0.10240E+03
    0.16820E-03    0.10438E+03
    0.17160E-03    0.10640E+03
    0.17507E-03    0.10846E+03
    0.17860E-03    0.11056E+03
    0.18221E-03    0.11271E+03
    0.18589E-03    0.11489E+03
    0.18965E-03    0.11711E+03
    0.19348E-03    0.11938E+03
    0.19739E-03    0.12169E+03
    0.20138E-03    0.12405E+03
    0.20544E-03    0.12645E+03
    0.20959E-03    0.12889E+03
    0.21383E-03    0.13139E+03
    0.21815E-03    0.13393E+03
    0.22255E-03    0.13652E+03
    0.22705E-03    0.13916E+03
    0.23164E-03    0.14186E+03
    0.23632E-03    0.14460E+03
    0.24109E-03    0.14740E+03
    0.24596E-03    0.15025E+03
    0.25093E-03    0.15316E+03
    0.25600E-03    0.15612E+03
    0.26117E-03    0.15914E+03
    0.26645E-03    0.16221E+03
    0.27183E-03    0.16535E+03
    0.27732E-03    0.16855E+03
    0.28292E-03    0.17180E+03
    0.28864E-03    0.17512E+03
    0.29447E-03    0.17851E+03
    0.30042E-03    0.18196E+03
    0.30649E-03    0.18547E+03
    0.31268E-03    0.18906E+03
    0.31899E-03    0.19271E+03
    0.32544E-03    0.19643E+03
    0.33201E-03    0.20022E+03
    0.33872E-03    0.20409E+03
    0.34556E-03    0.20802E+03
    0.35254E-03    0.21204E+03
    0.35966E-03    0.21613E+03
    0.36693E-03    0.22030E+03
    0.37434E-03    0.22455E+03
    0.38190E-03    0.22888E+03
    0.38962E-03    0.23329E+03
    0.39749E-03    0.23779E+03
    0.40552E-03    0.24237E+03
    0.41371E-03    0.24704E+03
    0.42207E-03    0.25179E+03
    0.43060E-03    0.25664E+03
    0.43929E-03    0.26158E+03
    0.44817E-03    0.26662E+03
    0.45722E-03    0.27175E+03
    0.46646E-03    0.27697E+03
    0.47588E-03    0.28230E+03
    0.48550E-03    0.28772E+03
    0.49530E-03    0.29325E+03
    0.50531E-03    0.29888E+03
    0.51552E-03    0.30462E+03
    0.52593E-03    0.31047E+03
    0.53656E-03    0.31642E+03
    0.54739E-03    0.32249E+03
    0.55845E-03    0.32867E+03
    0.56973E-03    0.33497E+03
    0.58124E-03    0.34138E+03
    0.59299E-03    0.34792E+03
    0.60496E-03    0.35457E+03
    0.61719E-03    0.36135E+03
    0.62965E-03    0.36826E+03
    0.64237E-03    0.37529E+03
    0.65535E-03    0.38245E+03
    0.66859E-03    0.38975E+03
    0.68210E-03    0.39718E+03
    0.69588E-03    0.40475E+03
    0.70993E-03    0.41246E+03
    0.72427E-03    0.42030E+03
    0.73891E-03    0.42830E+03
    0.75383E-03    0.43643E+03
    0.76906E-03    0.44472E+03
    0.78460E-03    0.45316E+03
    0.80045E-03    0.46175E+03
    0.81662E-03    0.47049E+03
    0.83311E-03    0.47940E+03
    0.84994E-03    0.48846E+03
    0.86711E-03    0.49769E+03
    0.88463E-03    0.50708E+03
    0.90250E-03    0.51664E+03
    0.92073E-03    0.52638E+03
    0.93933E-03    0.53628E+03
    0.95831E-03    0.54636E+03
    0.97767E-03    0.55662E+03
    0.99742E-03    0.56706E+03
    0.10176E-02    0.57768E+03
    0.10381E-02    0.58849E+03
    0.10591E-02    0.59949E+03
    0.10805E-02    0.61068E+03
    0.11023E-02    0.62207E+03
    0.11246E-02    0.63365E+03
    0.11473E-02    0.64543E+03
    0.11705E-02    0.65741E+03
    0.11941E-02    0.66960E+03
    0.12182E-02    0.68200E+03
    0.12429E-02    0.69460E+03
    0.12680E-02    0.70742E+03
    0.12936E-02    0.72046E+03
    0.13197E-02    0.73371E+03
    0.13464E-02    0.74719E+03
    0.13736E-02    0.76089E+03
    0.14013E-02    0.77481E+03
    0.14296E-02    0.78897E+03
    0.14585E-02    0.80335E+03
    0.14880E-02    0.81797E+03
    0.15180E-02    0.83283E+03
    0.15487E-02    0.84793E+03
    0.15800E-02    0.86327E+03
    0.16119E-02    0.87886E+03
    0.16445E-02    0.89469E+03
    0.16777E-02    0.91077E+03
    0.17116E-02    0.92711E+03
    0.17462E-02    0.94370E+03
    0.17814E-02    0.96054E+03
    0.18174E-02    0.97764E+03
    0.18541E-02    0.99501E+03
    0.18916E-02    0.10126E+04
    0.19298E-02    0.10305E+04
    0.19688E-02    0.10487E+04
    0.20086E-02    0.10671E+04
    0.20491E-02    0.10858E+04
    0.20905E-02    0.11048E+04
    0.21328E-02    0.11240E+04
    0.21758E-02    0.11435E+04
    0.22198E-02    0.11633E+04
    0.22646E-02    0.11834E+04
    0.23104E-02    0.12037E+04
    0.23571E-02    0.12244E+04
    0.24047E-02    0.12453E+04
    0.24533E-02    0.12665E+04
    0.25028E-02    0.12879E+04
    0.25534E-02    0.13097E+04
    0.26050E-02    0.13317E+04
    0.26576E-02    0.13540E+04
    0.27113E-02    0.13766E+04
    0.27660E-02    0.13995E+04
    0.28219E-02    0.14227E+04
    0.28789E-02    0.14461E+04
    0.29371E-02    0.14699E+04
    0.29964E-02    0.14939E+04
    0.30569E-02    0.15182E+04
    0.31187E-02    0.15427E+04
    0.31817E-02    0.15676E+04
    0.32460E-02    0.15927E+04
    0.33115E-02    0.16180E+04
    0.33784E-02    0.16437E+04
    0.34467E-02    0.16696E+04
    0.35163E-02    0.16958E+04
    0.35874E-02    0.17222E+04
    0.36598E-02    0.17489E+04
    0.37338E-02    0.17759E+04
    0.38092E-02    0.18031E+04
    0.38861E-02    0.18305E+04
    0.39646E-02    0.18582E+04
    0.40447E-02    0.18861E+04
    0.41264E-02    0.19142E+04
    0.42098E-02    0.19426E+04
    0.42948E-02    0.19712E+04
    0.43816E-02    0.20000E+04
    0.44701E-02    0.20290E+04
    0.45604E-02    0.20582E+04
    0.46525E-02    0.20875E+04
    0.47465E-02    0.21171E+04
    0.48424E-02    0.21468E+04
    0.49402E-02    0.21767E+04
    0.50400E-02    0.22068E+04
