#           k/h    P           
    0.10000E-03    0.36426E+03
    0.10202E-03    0.37132E+03
    0.10408E-03    0.37852E+03
    0.10618E-03    0.38586E+03
    0.10833E-03    0.39334E+03
    0.11052E-03    0.40096E+03
    0.11275E-03    0.40874E+03
    0.11503E-03    0.41666E+03
    0.11735E-03    0.42473E+03
    0.11972E-03    0.43297E+03
    0.12214E-03    0.44136E+03
    0.12461E-03    0.44991E+03
    0.12712E-03    0.45864E+03
    0.12969E-03    0.46752E+03
    0.13231E-03    0.47659E+03
    0.13499E-03    0.48582E+03
    0.13771E-03    0.49524E+03
    0.14049E-03    0.50484E+03
    0.14333E-03    0.51462E+03
    0.14623E-03    0.52460E+03
    0.14918E-03    0.53476E+03
    0.15220E-03    0.54513E+03
    0.15527E-03    0.55569E+03
    0.15841E-03    0.56646E+03
    0.16161E-03    0.57744E+03
    0.16487E-03    0.58863E+03
    0.16820E-03    0.60003E+03
    0.17160E-03    0.61166E+03
    0.17507E-03    0.62351E+03
    0.17860E-03    0.63560E+03
    0.18221E-03    0.64791E+03
    0.18589E-03    0.66046E+03
    0.18965E-03    0.67326E+03
    0.19348E-03    0.68630E+03
    0.19739E-03    0.69960E+03
    0.20138E-03    0.71315E+03
    0.20544E-03    0.72697E+03
    0.20959E-03    0.74105E+03
    0.21383E-03    0.75540E+03
    0.21815E-03    0.77003E+03
    0.22255E-03    0.78494E+03
    0.22705E-03    0.80014E+03
    0.23164E-03    0.81564E+03
    0.23632E-03    0.83143E+03
    0.24109E-03    0.84753E+03
    0.24596E-03    0.86393E+03
    0.25093E-03    0.88066E+03
    0.25600E-03    0.89770E+03
    0.26117E-03    0.91507E+03
    0.26645E-03    0.93278E+03
    0.27183E-03    0.95083E+03
    0.27732E-03    0.96923E+03
    0.28292E-03    0.98797E+03
    0.28864E-03    0.10071E+04
    0.29447E-03    0.10266E+04
    0.30042E-03    0.10464E+04
    0.30649E-03    0.10666E+04
    0.31268E-03    0.10873E+04
    0.31899E-03    0.11083E+04
    0.32544E-03    0.11297E+04
    0.33201E-03    0.11515E+04
    0.33872E-03    0.11737E+04
    0.34556E-03    0.11964E+04
    0.35254E-03    0.12195E+04
    0.35966E-03    0.12430E+04
    0.36693E-03    0.12670E+04
