#           k/h    P           
    0.10000E-03    0.16022E+03
    0.10202E-03    0.16332E+03
    0.10408E-03    0.16649E+03
    0.10618E-03    0.16971E+03
    0.10833E-03    0.17300E+03
    0.11052E-03    0.17635E+03
    0.11275E-03    0.17977E+03
    0.11503E-03    0.18325E+03
    0.11735E-03    0.18680E+03
    0.11972E-03    0.19042E+03
    0.12214E-03    0.19411E+03
    0.12461E-03    0.19787E+03
    0.12712E-03    0.20170E+03
    0.12969E-03    0.20560E+03
    0.13231E-03    0.20959E+03
    0.13499E-03    0.21364E+03
    0.13771E-03    0.21778E+03
    0.14049E-03    0.22200E+03
    0.14333E-03    0.22630E+03
    0.14623E-03    0.23068E+03
    0.14918E-03    0.23515E+03
    0.15220E-03    0.23970E+03
    0.15527E-03    0.24434E+03
    0.15841E-03    0.24907E+03
    0.16161E-03    0.25389E+03
    0.16487E-03    0.25881E+03
    0.16820E-03    0.26381E+03
    0.17160E-03    0.26892E+03
    0.17507E-03    0.27413E+03
    0.17860E-03    0.27943E+03
    0.18221E-03    0.28484E+03
    0.18589E-03    0.29035E+03
    0.18965E-03    0.29597E+03
    0.19348E-03    0.30169E+03
    0.19739E-03    0.30753E+03
    0.20138E-03    0.31348E+03
    0.20544E-03    0.31954E+03
    0.20959E-03    0.32572E+03
    0.21383E-03    0.33202E+03
    0.21815E-03    0.33844E+03
    0.22255E-03    0.34499E+03
    0.22705E-03    0.35165E+03
    0.23164E-03    0.35845E+03
    0.23632E-03    0.36538E+03
    0.24109E-03    0.37244E+03
    0.24596E-03    0.37964E+03
    0.25093E-03    0.38698E+03
    0.25600E-03    0.39445E+03
    0.26117E-03    0.40207E+03
    0.26645E-03    0.40984E+03
    0.27183E-03    0.41776E+03
    0.27732E-03    0.42582E+03
    0.28292E-03    0.43405E+03
    0.28864E-03    0.44242E+03
    0.29447E-03    0.45096E+03
    0.30042E-03    0.45967E+03
    0.30649E-03    0.46854E+03
    0.31268E-03    0.47758E+03
    0.31899E-03    0.48679E+03
    0.32544E-03    0.49618E+03
    0.33201E-03    0.50575E+03
    0.33872E-03    0.51550E+03
    0.34556E-03    0.52543E+03
    0.35254E-03    0.53556E+03
    0.35966E-03    0.54588E+03
    0.36693E-03    0.55640E+03
    0.37434E-03    0.56711E+03
    0.38190E-03    0.57803E+03
    0.38962E-03    0.58916E+03
    0.39749E-03    0.60050E+03
    0.40552E-03    0.61205E+03
    0.41371E-03    0.62383E+03
    0.42207E-03    0.63582E+03
    0.43060E-03    0.64805E+03
    0.43929E-03    0.66050E+03
    0.44817E-03    0.67320E+03
    0.45722E-03    0.68613E+03
    0.46646E-03    0.69930E+03
    0.47588E-03    0.71273E+03
    0.48550E-03    0.72641E+03
    0.49530E-03    0.74034E+03
    0.50531E-03    0.75454E+03
    0.51552E-03    0.76900E+03
    0.52593E-03    0.78374E+03
    0.53656E-03    0.79875E+03
    0.54739E-03    0.81405E+03
    0.55845E-03    0.82963E+03
    0.56973E-03    0.84550E+03
    0.58124E-03    0.86167E+03
    0.59299E-03    0.87814E+03
    0.60496E-03    0.89492E+03
    0.61719E-03    0.91201E+03
    0.62965E-03    0.92941E+03
    0.64237E-03    0.94714E+03
    0.65535E-03    0.96520E+03
    0.66859E-03    0.98359E+03
    0.68210E-03    0.10023E+04
    0.69588E-03    0.10214E+04
    0.70993E-03    0.10408E+04
    0.72427E-03    0.10606E+04
    0.73891E-03    0.10808E+04
    0.75383E-03    0.11013E+04
    0.76906E-03    0.11222E+04
    0.78460E-03    0.11434E+04
    0.80045E-03    0.11651E+04
    0.81662E-03    0.11871E+04
    0.83311E-03    0.12096E+04
    0.84994E-03    0.12324E+04
    0.86711E-03    0.12557E+04
    0.88463E-03    0.12794E+04
    0.90250E-03    0.13035E+04
    0.92073E-03    0.13281E+04
    0.93933E-03    0.13530E+04
    0.95831E-03    0.13785E+04
    0.97767E-03    0.14043E+04
    0.99742E-03    0.14307E+04
    0.10176E-02    0.14575E+04
    0.10381E-02    0.14847E+04
    0.10591E-02    0.15125E+04
    0.10805E-02    0.15407E+04
    0.11023E-02    0.15694E+04
    0.11246E-02    0.15987E+04
    0.11473E-02    0.16284E+04
    0.11705E-02    0.16586E+04
    0.11941E-02    0.16894E+04
    0.12182E-02    0.17207E+04
    0.12429E-02    0.17525E+04
    0.12680E-02    0.17848E+04
    0.12936E-02    0.18177E+04
    0.13197E-02    0.18512E+04
    0.13464E-02    0.18852E+04
    0.13736E-02    0.19198E+04
    0.14013E-02    0.19549E+04
    0.14296E-02    0.19907E+04
    0.14585E-02    0.20270E+04
    0.14880E-02    0.20639E+04
    0.15180E-02    0.21014E+04
    0.15487E-02    0.21396E+04
    0.15800E-02    0.21783E+04
    0.16119E-02    0.22177E+04
    0.16445E-02    0.22576E+04
    0.16777E-02    0.22982E+04
    0.17116E-02    0.23395E+04
    0.17462E-02    0.23814E+04
    0.17814E-02    0.24239E+04
