#           k/h    P           
    0.10000E-03    0.67213E+02
    0.10202E-03    0.68515E+02
    0.10408E-03    0.69843E+02
    0.10618E-03    0.71197E+02
    0.10833E-03    0.72576E+02
    0.11052E-03    0.73982E+02
    0.11275E-03    0.75416E+02
    0.11503E-03    0.76877E+02
    0.11735E-03    0.78367E+02
    0.11972E-03    0.79885E+02
    0.12214E-03    0.81433E+02
    0.12461E-03    0.83011E+02
    0.12712E-03    0.84619E+02
    0.12969E-03    0.86258E+02
    0.13231E-03    0.87929E+02
    0.13499E-03    0.89633E+02
    0.13771E-03    0.91369E+02
    0.14049E-03    0.93139E+02
    0.14333E-03    0.94943E+02
    0.14623E-03    0.96783E+02
    0.14918E-03    0.98657E+02
    0.15220E-03    0.10057E+03
    0.15527E-03    0.10252E+03
    0.15841E-03    0.10450E+03
    0.16161E-03    0.10653E+03
    0.16487E-03    0.10859E+03
    0.16820E-03    0.11069E+03
    0.17160E-03    0.11283E+03
    0.17507E-03    0.11502E+03
    0.17860E-03    0.11725E+03
    0.18221E-03    0.11952E+03
    0.18589E-03    0.12183E+03
    0.18965E-03    0.12419E+03
    0.19348E-03    0.12659E+03
    0.19739E-03    0.12904E+03
    0.20138E-03    0.13154E+03
    0.20544E-03    0.13409E+03
    0.20959E-03    0.13668E+03
    0.21383E-03    0.13933E+03
    0.21815E-03    0.14203E+03
    0.22255E-03    0.14477E+03
    0.22705E-03    0.14757E+03
    0.23164E-03    0.15043E+03
    0.23632E-03    0.15334E+03
    0.24109E-03    0.15631E+03
    0.24596E-03    0.15933E+03
    0.25093E-03    0.16241E+03
    0.25600E-03    0.16555E+03
    0.26117E-03    0.16875E+03
    0.26645E-03    0.17202E+03
    0.27183E-03    0.17534E+03
    0.27732E-03    0.17873E+03
    0.28292E-03    0.18219E+03
    0.28864E-03    0.18571E+03
    0.29447E-03    0.18930E+03
    0.30042E-03    0.19295E+03
    0.30649E-03    0.19668E+03
    0.31268E-03    0.20048E+03
    0.31899E-03    0.20435E+03
    0.32544E-03    0.20830E+03
    0.33201E-03    0.21232E+03
    0.33872E-03    0.21642E+03
    0.34556E-03    0.22060E+03
    0.35254E-03    0.22485E+03
    0.35966E-03    0.22919E+03
    0.36693E-03    0.23361E+03
    0.37434E-03    0.23812E+03
    0.38190E-03    0.24271E+03
    0.38962E-03    0.24739E+03
    0.39749E-03    0.25216E+03
    0.40552E-03    0.25701E+03
    0.41371E-03    0.26196E+03
    0.42207E-03    0.26701E+03
    0.43060E-03    0.27215E+03
    0.43929E-03    0.27739E+03
    0.44817E-03    0.28273E+03
    0.45722E-03    0.28817E+03
    0.46646E-03    0.29371E+03
    0.47588E-03    0.29935E+03
    0.48550E-03    0.30511E+03
    0.49530E-03    0.31097E+03
    0.50531E-03    0.31694E+03
    0.51552E-03    0.32303E+03
    0.52593E-03    0.32922E+03
    0.53656E-03    0.33554E+03
    0.54739E-03    0.34197E+03
    0.55845E-03    0.34853E+03
    0.56973E-03    0.35520E+03
    0.58124E-03    0.36201E+03
    0.59299E-03    0.36894E+03
    0.60496E-03    0.37599E+03
    0.61719E-03    0.38318E+03
    0.62965E-03    0.39050E+03
    0.64237E-03    0.39796E+03
    0.65535E-03    0.40556E+03
    0.66859E-03    0.41329E+03
    0.68210E-03    0.42117E+03
    0.69588E-03    0.42920E+03
    0.70993E-03    0.43737E+03
    0.72427E-03    0.44569E+03
    0.73891E-03    0.45416E+03
    0.75383E-03    0.46279E+03
    0.76906E-03    0.47158E+03
    0.78460E-03    0.48053E+03
    0.80045E-03    0.48963E+03
    0.81662E-03    0.49891E+03
    0.83311E-03    0.50835E+03
    0.84994E-03    0.51796E+03
    0.86711E-03    0.52774E+03
    0.88463E-03    0.53770E+03
    0.90250E-03    0.54784E+03
    0.92073E-03    0.55816E+03
    0.93933E-03    0.56866E+03
    0.95831E-03    0.57935E+03
    0.97767E-03    0.59022E+03
    0.99742E-03    0.60129E+03
    0.10176E-02    0.61256E+03
    0.10381E-02    0.62402E+03
    0.10591E-02    0.63568E+03
    0.10805E-02    0.64754E+03
    0.11023E-02    0.65961E+03
    0.11246E-02    0.67189E+03
    0.11473E-02    0.68438E+03
    0.11705E-02    0.69709E+03
    0.11941E-02    0.71001E+03
    0.12182E-02    0.72315E+03
    0.12429E-02    0.73652E+03
    0.12680E-02    0.75011E+03
    0.12936E-02    0.76393E+03
    0.13197E-02    0.77798E+03
    0.13464E-02    0.79227E+03
    0.13736E-02    0.80679E+03
    0.14013E-02    0.82156E+03
    0.14296E-02    0.83657E+03
    0.14585E-02    0.85182E+03
    0.14880E-02    0.86732E+03
    0.15180E-02    0.88307E+03
    0.15487E-02    0.89908E+03
    0.15800E-02    0.91535E+03
    0.16119E-02    0.93187E+03
    0.16445E-02    0.94866E+03
    0.16777E-02    0.96571E+03
    0.17116E-02    0.98303E+03
    0.17462E-02    0.10006E+04
    0.17814E-02    0.10185E+04
    0.18174E-02    0.10366E+04
    0.18541E-02    0.10550E+04
    0.18916E-02    0.10737E+04
    0.19298E-02    0.10927E+04
    0.19688E-02    0.11119E+04
    0.20086E-02    0.11315E+04
    0.20491E-02    0.11513E+04
    0.20905E-02    0.11714E+04
    0.21328E-02    0.11918E+04
    0.21758E-02    0.12125E+04
    0.22198E-02    0.12335E+04
    0.22646E-02    0.12547E+04
    0.23104E-02    0.12763E+04
    0.23571E-02    0.12982E+04
    0.24047E-02    0.13204E+04
    0.24533E-02    0.13428E+04
    0.25028E-02    0.13656E+04
    0.25534E-02    0.13887E+04
    0.26050E-02    0.14120E+04
    0.26576E-02    0.14357E+04
    0.27113E-02    0.14596E+04
    0.27660E-02    0.14839E+04
    0.28219E-02    0.15085E+04
    0.28789E-02    0.15333E+04
    0.29371E-02    0.15585E+04
    0.29964E-02    0.15839E+04
    0.30569E-02    0.16097E+04
    0.31187E-02    0.16357E+04
    0.31817E-02    0.16621E+04
    0.32460E-02    0.16887E+04
    0.33115E-02    0.17156E+04
    0.33784E-02    0.17428E+04
    0.34467E-02    0.17703E+04
    0.35163E-02    0.17980E+04
    0.35874E-02    0.18260E+04
    0.36598E-02    0.18543E+04
    0.37338E-02    0.18829E+04
    0.38092E-02    0.19117E+04
    0.38861E-02    0.19408E+04
    0.39646E-02    0.19702E+04
    0.40447E-02    0.19998E+04
    0.41264E-02    0.20296E+04
    0.42098E-02    0.20597E+04
    0.42948E-02    0.20900E+04
    0.43816E-02    0.21205E+04
    0.44701E-02    0.21513E+04
    0.45604E-02    0.21822E+04
    0.46525E-02    0.22134E+04
    0.47465E-02    0.22447E+04
    0.48424E-02    0.22762E+04
    0.49402E-02    0.23079E+04
    0.50400E-02    0.23398E+04
    0.51419E-02    0.23718E+04
    0.52457E-02    0.24040E+04
    0.53517E-02    0.24362E+04
    0.54598E-02    0.24686E+04
    0.55701E-02    0.25012E+04
    0.56826E-02    0.25337E+04
    0.57974E-02    0.25664E+04
    0.59145E-02    0.25992E+04
    0.60340E-02    0.26320E+04
    0.61559E-02    0.26649E+04
    0.62803E-02    0.26977E+04
    0.64072E-02    0.27305E+04
    0.65366E-02    0.27633E+04
    0.66686E-02    0.27961E+04
    0.68033E-02    0.28288E+04
    0.69408E-02    0.28615E+04
    0.70810E-02    0.28940E+04
    0.72240E-02    0.29264E+04
    0.73700E-02    0.29587E+04
    0.75189E-02    0.29909E+04
    0.76708E-02    0.30228E+04
    0.78257E-02    0.30545E+04
    0.79838E-02    0.30859E+04
    0.81451E-02    0.31172E+04
    0.83096E-02    0.31481E+04
    0.84775E-02    0.31788E+04
    0.86488E-02    0.32091E+04
    0.88235E-02    0.32390E+04
    0.90017E-02    0.32686E+04
    0.91836E-02    0.32977E+04
    0.93691E-02    0.33263E+04
    0.95583E-02    0.33546E+04
    0.97514E-02    0.33822E+04
    0.99484E-02    0.34094E+04
    0.10149E-01    0.34359E+04
    0.10354E-01    0.34618E+04
    0.10564E-01    0.34871E+04
    0.10777E-01    0.35117E+04
    0.10995E-01    0.35355E+04
    0.11217E-01    0.35586E+04
    0.11443E-01    0.35809E+04
    0.11675E-01    0.36024E+04
    0.11910E-01    0.36230E+04
    0.12151E-01    0.36426E+04
    0.12397E-01    0.36614E+04
    0.12647E-01    0.36791E+04
    0.12902E-01    0.36958E+04
    0.13163E-01    0.37114E+04
    0.13429E-01    0.37259E+04
    0.13700E-01    0.37393E+04
    0.13977E-01    0.37514E+04
    0.14259E-01    0.37623E+04
    0.14547E-01    0.37720E+04
    0.14841E-01    0.37803E+04
    0.15141E-01    0.37873E+04
    0.15447E-01    0.37928E+04
    0.15759E-01    0.37970E+04
    0.16077E-01    0.37997E+04
    0.16402E-01    0.38008E+04
    0.16734E-01    0.38004E+04
    0.17072E-01    0.37985E+04
    0.17416E-01    0.37949E+04
    0.17768E-01    0.37897E+04
    0.18127E-01    0.37828E+04
    0.18493E-01    0.37743E+04
    0.18867E-01    0.37640E+04
    0.19248E-01    0.37520E+04
    0.19637E-01    0.37382E+04
    0.20034E-01    0.37227E+04
    0.20438E-01    0.37053E+04
    0.20851E-01    0.36862E+04
    0.21272E-01    0.36653E+04
    0.21702E-01    0.36427E+04
    0.22141E-01    0.36182E+04
    0.22588E-01    0.35919E+04
    0.23044E-01    0.35640E+04
    0.23510E-01    0.35342E+04
    0.23985E-01    0.35028E+04
    0.24469E-01    0.34697E+04
    0.24964E-01    0.34349E+04
    0.25468E-01    0.33986E+04
    0.25982E-01    0.33608E+04
    0.26507E-01    0.33214E+04
    0.27043E-01    0.32807E+04
