#           k/h    P           
    0.10000E-03    0.23184E+03
    0.10202E-03    0.23633E+03
    0.10408E-03    0.24091E+03
    0.10618E-03    0.24558E+03
    0.10833E-03    0.25034E+03
    0.11052E-03    0.25518E+03
    0.11275E-03    0.26013E+03
    0.11503E-03    0.26517E+03
    0.11735E-03    0.27030E+03
    0.11972E-03    0.27554E+03
    0.12214E-03    0.28087E+03
    0.12461E-03    0.28631E+03
    0.12712E-03    0.29186E+03
    0.12969E-03    0.29751E+03
    0.13231E-03    0.30327E+03
    0.13499E-03    0.30914E+03
    0.13771E-03    0.31513E+03
    0.14049E-03    0.32123E+03
    0.14333E-03    0.32744E+03
    0.14623E-03    0.33378E+03
    0.14918E-03    0.34024E+03
    0.15220E-03    0.34683E+03
    0.15527E-03    0.35354E+03
    0.15841E-03    0.36039E+03
    0.16161E-03    0.36736E+03
    0.16487E-03    0.37447E+03
    0.16820E-03    0.38172E+03
    0.17160E-03    0.38910E+03
    0.17507E-03    0.39663E+03
    0.17860E-03    0.40430E+03
    0.18221E-03    0.41213E+03
    0.18589E-03    0.42010E+03
    0.18965E-03    0.42822E+03
    0.19348E-03    0.43650E+03
    0.19739E-03    0.44495E+03
    0.20138E-03    0.45355E+03
    0.20544E-03    0.46232E+03
    0.20959E-03    0.47126E+03
    0.21383E-03    0.48037E+03
    0.21815E-03    0.48965E+03
    0.22255E-03    0.49912E+03
    0.22705E-03    0.50876E+03
    0.23164E-03    0.51860E+03
    0.23632E-03    0.52862E+03
    0.24109E-03    0.53883E+03
    0.24596E-03    0.54924E+03
    0.25093E-03    0.55984E+03
    0.25600E-03    0.57066E+03
    0.26117E-03    0.58168E+03
    0.26645E-03    0.59291E+03
    0.27183E-03    0.60435E+03
    0.27732E-03    0.61602E+03
    0.28292E-03    0.62791E+03
    0.28864E-03    0.64002E+03
    0.29447E-03    0.65237E+03
    0.30042E-03    0.66495E+03
    0.30649E-03    0.67778E+03
    0.31268E-03    0.69085E+03
    0.31899E-03    0.70417E+03
    0.32544E-03    0.71774E+03
    0.33201E-03    0.73158E+03
    0.33872E-03    0.74567E+03
    0.34556E-03    0.76004E+03
    0.35254E-03    0.77468E+03
    0.35966E-03    0.78960E+03
    0.36693E-03    0.80480E+03
    0.37434E-03    0.82030E+03
    0.38190E-03    0.83608E+03
    0.38962E-03    0.85217E+03
    0.39749E-03    0.86856E+03
    0.40552E-03    0.88527E+03
    0.41371E-03    0.90229E+03
    0.42207E-03    0.91964E+03
    0.43060E-03    0.93731E+03
    0.43929E-03    0.95532E+03
    0.44817E-03    0.97367E+03
    0.45722E-03    0.99236E+03
    0.46646E-03    0.10114E+04
    0.47588E-03    0.10308E+04
    0.48550E-03    0.10506E+04
    0.49530E-03    0.10707E+04
    0.50531E-03    0.10913E+04
    0.51552E-03    0.11122E+04
    0.52593E-03    0.11335E+04
    0.53656E-03    0.11552E+04
    0.54739E-03    0.11773E+04
    0.55845E-03    0.11998E+04
    0.56973E-03    0.12228E+04
    0.58124E-03    0.12462E+04
    0.59299E-03    0.12700E+04
    0.60496E-03    0.12942E+04
    0.61719E-03    0.13189E+04
    0.62965E-03    0.13441E+04
    0.64237E-03    0.13698E+04
    0.65535E-03    0.13959E+04
    0.66859E-03    0.14225E+04
    0.68210E-03    0.14496E+04
    0.69588E-03    0.14771E+04
    0.70993E-03    0.15052E+04
    0.72427E-03    0.15338E+04
    0.73891E-03    0.15630E+04
    0.75383E-03    0.15927E+04
    0.76906E-03    0.16229E+04
    0.78460E-03    0.16536E+04
    0.80045E-03    0.16850E+04
    0.81662E-03    0.17169E+04
    0.83311E-03    0.17493E+04
    0.84994E-03    0.17824E+04
    0.86711E-03    0.18160E+04
    0.88463E-03    0.18503E+04
    0.90250E-03    0.18852E+04
    0.92073E-03    0.19207E+04
    0.93933E-03    0.19568E+04
    0.95831E-03    0.19936E+04
    0.97767E-03    0.20310E+04
    0.99742E-03    0.20691E+04
    0.10176E-02    0.21079E+04
    0.10381E-02    0.21474E+04
    0.10591E-02    0.21875E+04
    0.10805E-02    0.22283E+04
    0.11023E-02    0.22699E+04
    0.11246E-02    0.23122E+04
    0.11473E-02    0.23552E+04
    0.11705E-02    0.23989E+04
    0.11941E-02    0.24434E+04
    0.12182E-02    0.24887E+04
    0.12429E-02    0.25348E+04
    0.12680E-02    0.25816E+04
    0.12936E-02    0.26292E+04
    0.13197E-02    0.26776E+04
    0.13464E-02    0.27268E+04
    0.13736E-02    0.27768E+04
    0.14013E-02    0.28277E+04
    0.14296E-02    0.28794E+04
    0.14585E-02    0.29320E+04
    0.14880E-02    0.29854E+04
    0.15180E-02    0.30397E+04
    0.15487E-02    0.30948E+04
    0.15800E-02    0.31509E+04
    0.16119E-02    0.32078E+04
    0.16445E-02    0.32657E+04
    0.16777E-02    0.33245E+04
    0.17116E-02    0.33841E+04
    0.17462E-02    0.34447E+04
    0.17814E-02    0.35063E+04
    0.18174E-02    0.35688E+04
    0.18541E-02    0.36322E+04
    0.18916E-02    0.36966E+04
    0.19298E-02    0.37620E+04
    0.19688E-02    0.38284E+04
    0.20086E-02    0.38957E+04
    0.20491E-02    0.39640E+04
    0.20905E-02    0.40333E+04
    0.21328E-02    0.41036E+04
    0.21758E-02    0.41749E+04
    0.22198E-02    0.42472E+04
    0.22646E-02    0.43206E+04
    0.23104E-02    0.43949E+04
    0.23571E-02    0.44703E+04
    0.24047E-02    0.45467E+04
    0.24533E-02    0.46241E+04
    0.25028E-02    0.47025E+04
    0.25534E-02    0.47820E+04
    0.26050E-02    0.48625E+04
    0.26576E-02    0.49440E+04
    0.27113E-02    0.50266E+04
    0.27660E-02    0.51102E+04
    0.28219E-02    0.51948E+04
    0.28789E-02    0.52804E+04
    0.29371E-02    0.53671E+04
    0.29964E-02    0.54548E+04
    0.30569E-02    0.55435E+04
    0.31187E-02    0.56332E+04
    0.31817E-02    0.57239E+04
    0.32460E-02    0.58156E+04
    0.33115E-02    0.59083E+04
    0.33784E-02    0.60020E+04
    0.34467E-02    0.60966E+04
    0.35163E-02    0.61922E+04
    0.35874E-02    0.62888E+04
    0.36598E-02    0.63863E+04
    0.37338E-02    0.64847E+04
    0.38092E-02    0.65840E+04
    0.38861E-02    0.66841E+04
    0.39646E-02    0.67852E+04
    0.40447E-02    0.68871E+04
    0.41264E-02    0.69899E+04
    0.42098E-02    0.70934E+04
    0.42948E-02    0.71978E+04
    0.43816E-02    0.73029E+04
    0.44701E-02    0.74087E+04
    0.45604E-02    0.75153E+04
    0.46525E-02    0.76226E+04
    0.47465E-02    0.77305E+04
    0.48424E-02    0.78390E+04
    0.49402E-02    0.79482E+04
    0.50400E-02    0.80578E+04
    0.51419E-02    0.81680E+04
    0.52457E-02    0.82787E+04
    0.53517E-02    0.83899E+04
    0.54598E-02    0.85014E+04
    0.55701E-02    0.86133E+04
    0.56826E-02    0.87255E+04
    0.57974E-02    0.88379E+04
    0.59145E-02    0.89506E+04
    0.60340E-02    0.90637E+04
    0.61559E-02    0.91768E+04
    0.62803E-02    0.92897E+04
    0.64072E-02    0.94026E+04
    0.65366E-02    0.95155E+04
    0.66686E-02    0.96283E+04
    0.68033E-02    0.97409E+04
    0.69408E-02    0.98531E+04
    0.70810E-02    0.99651E+04
    0.72240E-02    0.10077E+05
    0.73700E-02    0.10188E+05
    0.75189E-02    0.10298E+05
    0.76708E-02    0.10408E+05
    0.78257E-02    0.10517E+05
    0.79838E-02    0.10625E+05
    0.81451E-02    0.10733E+05
    0.83096E-02    0.10839E+05
    0.84775E-02    0.10944E+05
    0.86488E-02    0.11049E+05
    0.88235E-02    0.11151E+05
    0.90017E-02    0.11253E+05
    0.91836E-02    0.11353E+05
    0.93691E-02    0.11452E+05
    0.95583E-02    0.11549E+05
    0.97514E-02    0.11644E+05
    0.99484E-02    0.11737E+05
    0.10149E-01    0.11828E+05
    0.10354E-01    0.11917E+05
    0.10564E-01    0.12004E+05
    0.10777E-01    0.12088E+05
    0.10995E-01    0.12170E+05
    0.11217E-01    0.12250E+05
    0.11443E-01    0.12326E+05
    0.11675E-01    0.12400E+05
    0.11910E-01    0.12470E+05
    0.12151E-01    0.12538E+05
    0.12397E-01    0.12602E+05
    0.12647E-01    0.12663E+05
    0.12902E-01    0.12720E+05
    0.13163E-01    0.12773E+05
    0.13429E-01    0.12823E+05
    0.13700E-01    0.12869E+05
    0.13977E-01    0.12910E+05
    0.14259E-01    0.12948E+05
    0.14547E-01    0.12981E+05
    0.14841E-01    0.13009E+05
    0.15141E-01    0.13033E+05
    0.15447E-01    0.13052E+05
    0.15759E-01    0.13066E+05
    0.16077E-01    0.13074E+05
    0.16402E-01    0.13078E+05
    0.16734E-01    0.13077E+05
    0.17072E-01    0.13070E+05
    0.17416E-01    0.13057E+05
    0.17768E-01    0.13039E+05
    0.18127E-01    0.13015E+05
    0.18493E-01    0.12985E+05
    0.18867E-01    0.12949E+05
    0.19248E-01    0.12908E+05
    0.19637E-01    0.12860E+05
    0.20034E-01    0.12806E+05
    0.20438E-01    0.12747E+05
    0.20851E-01    0.12681E+05
    0.21272E-01    0.12608E+05
    0.21702E-01    0.12530E+05
    0.22141E-01    0.12446E+05
    0.22588E-01    0.12355E+05
    0.23044E-01    0.12258E+05
    0.23510E-01    0.12156E+05
    0.23985E-01    0.12048E+05
    0.24469E-01    0.11933E+05
    0.24964E-01    0.11814E+05
    0.25468E-01    0.11688E+05
    0.25982E-01    0.11558E+05
    0.26507E-01    0.11422E+05
    0.27043E-01    0.11282E+05
    0.27589E-01    0.11137E+05
    0.28146E-01    0.10988E+05
    0.28715E-01    0.10835E+05
    0.29295E-01    0.10678E+05
    0.29887E-01    0.10517E+05
    0.30490E-01    0.10354E+05
    0.31106E-01    0.10188E+05
    0.31735E-01    0.10020E+05
    0.32376E-01    0.98502E+04
    0.33030E-01    0.96791E+04
    0.33697E-01    0.95071E+04
    0.34378E-01    0.93346E+04
    0.35072E-01    0.91622E+04
    0.35781E-01    0.89905E+04
    0.36504E-01    0.88197E+04
    0.37241E-01    0.86498E+04
    0.37993E-01    0.84808E+04
    0.38761E-01    0.83133E+04
    0.39544E-01    0.81483E+04
    0.40343E-01    0.79867E+04
    0.41158E-01    0.78289E+04
    0.41989E-01    0.76752E+04
    0.42838E-01    0.75262E+04
    0.43703E-01    0.73821E+04
    0.44586E-01    0.72432E+04
    0.45486E-01    0.71096E+04
    0.46405E-01    0.69814E+04
    0.47343E-01    0.68587E+04
    0.48299E-01    0.67413E+04
    0.49275E-01    0.66291E+04
    0.50270E-01    0.65218E+04
    0.51286E-01    0.64192E+04
    0.52322E-01    0.63208E+04
    0.53379E-01    0.62264E+04
    0.54457E-01    0.61355E+04
    0.55557E-01    0.60479E+04
    0.56680E-01    0.59627E+04
    0.57825E-01    0.58791E+04
    0.58993E-01    0.57996E+04
    0.60184E-01    0.57246E+04
    0.61400E-01    0.56502E+04
    0.62641E-01    0.55731E+04
    0.63906E-01    0.54938E+04
    0.65197E-01    0.54135E+04
    0.66514E-01    0.53313E+04
    0.67858E-01    0.52457E+04
    0.69229E-01    0.51557E+04
    0.70627E-01    0.50609E+04
    0.72054E-01    0.49606E+04
    0.73510E-01    0.48543E+04
    0.74994E-01    0.47421E+04
    0.76509E-01    0.46239E+04
    0.78055E-01    0.45002E+04
    0.79632E-01    0.43717E+04
    0.81241E-01    0.42393E+04
    0.82882E-01    0.41041E+04
    0.84556E-01    0.39672E+04
    0.86264E-01    0.38298E+04
    0.88007E-01    0.36933E+04
    0.89785E-01    0.35588E+04
    0.91598E-01    0.34275E+04
    0.93449E-01    0.33006E+04
    0.95337E-01    0.31789E+04
    0.97263E-01    0.30636E+04
    0.99227E-01    0.29555E+04
    0.10123E+00    0.28554E+04
    0.10328E+00    0.27638E+04
    0.10536E+00    0.26809E+04
    0.10749E+00    0.26068E+04
    0.10966E+00    0.25411E+04
    0.11188E+00    0.24831E+04
    0.11414E+00    0.24316E+04
    0.11644E+00    0.23854E+04
    0.11880E+00    0.23430E+04
    0.12120E+00    0.23025E+04
    0.12365E+00    0.22621E+04
    0.12614E+00    0.22201E+04
    0.12869E+00    0.21746E+04
    0.13129E+00    0.21243E+04
    0.13394E+00    0.20683E+04
    0.13665E+00    0.20064E+04
    0.13941E+00    0.19391E+04
    0.14223E+00    0.18673E+04
    0.14510E+00    0.17926E+04
    0.14803E+00    0.17165E+04
    0.15102E+00    0.16407E+04
    0.15407E+00    0.15670E+04
    0.15718E+00    0.14970E+04
    0.16036E+00    0.14324E+04
    0.16360E+00    0.13744E+04
    0.16690E+00    0.13239E+04
    0.17028E+00    0.12808E+04
    0.17371E+00    0.12444E+04
    0.17722E+00    0.12132E+04
    0.18080E+00    0.11854E+04
    0.18446E+00    0.11593E+04
    0.18818E+00    0.11331E+04
    0.19198E+00    0.11053E+04
    0.19586E+00    0.10745E+04
    0.19982E+00    0.10399E+04
    0.20386E+00    0.10016E+04
    0.20797E+00    0.96042E+03
    0.21218E+00    0.91780E+03
    0.21646E+00    0.87549E+03
    0.22083E+00    0.83515E+03
    0.22530E+00    0.79815E+03
    0.22985E+00    0.76549E+03
    0.23449E+00    0.73743E+03
    0.23923E+00    0.71357E+03
    0.24406E+00    0.69283E+03
    0.24899E+00    0.67364E+03
    0.25402E+00    0.65457E+03
    0.25915E+00    0.63441E+03
    0.26439E+00    0.61251E+03
    0.26973E+00    0.58876E+03
    0.27518E+00    0.56379E+03
    0.28074E+00    0.53865E+03
    0.28641E+00    0.51450E+03
    0.29219E+00    0.49242E+03
    0.29810E+00    0.47278E+03
    0.30412E+00    0.45553E+03
    0.31026E+00    0.44006E+03
    0.31653E+00    0.42552E+03
    0.32292E+00    0.41106E+03
    0.32945E+00    0.39599E+03
    0.33610E+00    0.38026E+03
    0.34289E+00    0.36414E+03
    0.34982E+00    0.34831E+03
    0.35689E+00    0.33345E+03
    0.36409E+00    0.31984E+03
    0.37145E+00    0.30752E+03
    0.37895E+00    0.29609E+03
    0.38661E+00    0.28509E+03
    0.39442E+00    0.27414E+03
    0.40239E+00    0.26304E+03
    0.41052E+00    0.25200E+03
    0.41881E+00    0.24127E+03
    0.42727E+00    0.23114E+03
    0.43590E+00    0.22177E+03
    0.44471E+00    0.21297E+03
    0.45369E+00    0.20454E+03
    0.46286E+00    0.19628E+03
    0.47221E+00    0.18811E+03
    0.48174E+00    0.18016E+03
    0.49148E+00    0.17255E+03
    0.50141E+00    0.16535E+03
    0.51153E+00    0.15855E+03
    0.52187E+00    0.15201E+03
    0.53241E+00    0.14567E+03
    0.54317E+00    0.13952E+03
    0.55414E+00    0.13358E+03
    0.56533E+00    0.12791E+03
    0.57675E+00    0.12251E+03
    0.58840E+00    0.11733E+03
    0.60029E+00    0.11235E+03
    0.61242E+00    0.10754E+03
    0.62479E+00    0.10292E+03
    0.63741E+00    0.98503E+02
    0.65029E+00    0.94277E+02
    0.66342E+00    0.90225E+02
    0.67683E+00    0.86334E+02
    0.69050E+00    0.82600E+02
    0.70445E+00    0.79017E+02
    0.71868E+00    0.75580E+02
    0.73320E+00    0.72283E+02
    0.74801E+00    0.69123E+02
    0.76312E+00    0.66093E+02
    0.77854E+00    0.63189E+02
    0.79426E+00    0.60407E+02
    0.81031E+00    0.57742E+02
    0.82668E+00    0.55190E+02
    0.84338E+00    0.52746E+02
    0.86041E+00    0.50406E+02
    0.87780E+00    0.48166E+02
    0.89553E+00    0.46022E+02
    0.91362E+00    0.43969E+02
    0.93208E+00    0.42004E+02
    0.95091E+00    0.40124E+02
    0.97011E+00    0.38324E+02
    0.98971E+00    0.36602E+02
    0.10097E+01    0.34954E+02
    0.10301E+01    0.33377E+02
    0.10509E+01    0.31869E+02
    0.10721E+01    0.30426E+02
    0.10938E+01    0.29046E+02
    0.11159E+01    0.27726E+02
