#           k/h    P           
    0.10000E-03    0.73626E+02
    0.10202E-03    0.75052E+02
    0.10408E-03    0.76507E+02
    0.10618E-03    0.77989E+02
    0.10833E-03    0.79500E+02
    0.11052E-03    0.81041E+02
    0.11275E-03    0.82611E+02
    0.11503E-03    0.84212E+02
    0.11735E-03    0.85844E+02
    0.11972E-03    0.87507E+02
    0.12214E-03    0.89202E+02
    0.12461E-03    0.90931E+02
    0.12712E-03    0.92692E+02
    0.12969E-03    0.94488E+02
    0.13231E-03    0.96319E+02
    0.13499E-03    0.98185E+02
    0.13771E-03    0.10009E+03
    0.14049E-03    0.10203E+03
    0.14333E-03    0.10400E+03
    0.14623E-03    0.10602E+03
    0.14918E-03    0.10807E+03
    0.15220E-03    0.11016E+03
    0.15527E-03    0.11230E+03
    0.15841E-03    0.11447E+03
    0.16161E-03    0.11669E+03
    0.16487E-03    0.11895E+03
    0.16820E-03    0.12125E+03
    0.17160E-03    0.12360E+03
    0.17507E-03    0.12599E+03
    0.17860E-03    0.12843E+03
    0.18221E-03    0.13092E+03
    0.18589E-03    0.13345E+03
    0.18965E-03    0.13604E+03
    0.19348E-03    0.13867E+03
    0.19739E-03    0.14136E+03
    0.20138E-03    0.14409E+03
    0.20544E-03    0.14688E+03
    0.20959E-03    0.14972E+03
    0.21383E-03    0.15262E+03
    0.21815E-03    0.15558E+03
    0.22255E-03    0.15859E+03
    0.22705E-03    0.16165E+03
    0.23164E-03    0.16478E+03
    0.23632E-03    0.16797E+03
    0.24109E-03    0.17122E+03
    0.24596E-03    0.17453E+03
    0.25093E-03    0.17791E+03
    0.25600E-03    0.18135E+03
    0.26117E-03    0.18485E+03
    0.26645E-03    0.18843E+03
    0.27183E-03    0.19207E+03
    0.27732E-03    0.19578E+03
    0.28292E-03    0.19957E+03
    0.28864E-03    0.20343E+03
    0.29447E-03    0.20736E+03
    0.30042E-03    0.21136E+03
    0.30649E-03    0.21545E+03
    0.31268E-03    0.21961E+03
    0.31899E-03    0.22385E+03
    0.32544E-03    0.22817E+03
    0.33201E-03    0.23258E+03
    0.33872E-03    0.23707E+03
    0.34556E-03    0.24164E+03
    0.35254E-03    0.24631E+03
    0.35966E-03    0.25106E+03
    0.36693E-03    0.25590E+03
    0.37434E-03    0.26084E+03
    0.38190E-03    0.26586E+03
    0.38962E-03    0.27099E+03
    0.39749E-03    0.27621E+03
    0.40552E-03    0.28153E+03
    0.41371E-03    0.28696E+03
    0.42207E-03    0.29248E+03
    0.43060E-03    0.29812E+03
    0.43929E-03    0.30385E+03
    0.44817E-03    0.30970E+03
    0.45722E-03    0.31566E+03
    0.46646E-03    0.32173E+03
    0.47588E-03    0.32791E+03
    0.48550E-03    0.33421E+03
    0.49530E-03    0.34064E+03
    0.50531E-03    0.34718E+03
    0.51552E-03    0.35384E+03
    0.52593E-03    0.36063E+03
    0.53656E-03    0.36755E+03
    0.54739E-03    0.37459E+03
    0.55845E-03    0.38177E+03
    0.56973E-03    0.38909E+03
    0.58124E-03    0.39654E+03
