    66    0.17181E+04    0.26256E+00   -0.40685E+01    0.53738E+07    0.10097E+05
    67    0.17412E+04    0.27411E+00   -0.44543E+01    0.53449E+07    0.99076E+04
    68    0.17645E+04    0.28590E+00   -0.48533E+01    0.53157E+07    0.97252E+04
    69    0.17881E+04    0.29791E+00   -0.52647E+01    0.52863E+07    0.95485E+04
    70    0.18121E+04    0.31014E+00   -0.56878E+01    0.52568E+07    0.93764E+04
    71    0.18362E+04    0.32256E+00   -0.61224E+01    0.52271E+07    0.92078E+04
    72    0.18607E+04    0.33520E+00   -0.65686E+01    0.51973E+07    0.90425E+04
    73    0.18855E+04    0.34805E+00   -0.70265E+01    0.51674E+07    0.88806E+04
    74    0.19105E+04    0.36109E+00   -0.74953E+01    0.51374E+07    0.87220E+04
    75    0.19357E+04    0.37432E+00   -0.79749E+01    0.51073E+07    0.85668E+04
    76    0.19608E+04    0.38771E+00   -0.84639E+01    0.50772E+07    0.84148E+04
    77    0.19859E+04    0.40125E+00   -0.89608E+01    0.50470E+07    0.82663E+04
    78    0.20111E+04    0.41495E+00   -0.94679E+01    0.50169E+07    0.81210E+04
    79    0.20365E+04    0.42878E+00   -0.99838E+01    0.49867E+07    0.79791E+04
    80    0.20620E+04    0.44275E+00   -0.10509E+02    0.49565E+07    0.78405E+04
    81    0.20881E+04    0.45682E+00   -0.11045E+02    0.49263E+07    0.77053E+04
    82    0.21145E+04    0.47102E+00   -0.11591E+02    0.48962E+07    0.75732E+04
    83    0.21412E+04    0.48530E+00   -0.12146E+02    0.48661E+07    0.74443E+04
    84    0.21683E+04    0.49968E+00   -0.12709E+02    0.48361E+07    0.73184E+04
    85    0.21956E+04    0.51411E+00   -0.13279E+02    0.48061E+07    0.71953E+04
    86    0.22232E+04    0.52862E+00   -0.13857E+02    0.47762E+07    0.70751E+04
    87    0.22510E+04    0.54317E+00   -0.14441E+02    0.47463E+07    0.69575E+04
    88    0.22790E+04    0.55776E+00   -0.15030E+02    0.47165E+07    0.68424E+04
    89    0.23072E+04    0.57237E+00   -0.15625E+02    0.46869E+07    0.67298E+04
    90    0.23355E+04    0.58699E+00   -0.16225E+02    0.46573E+07    0.66195E+04
    91    0.23640E+04    0.60160E+00   -0.16829E+02    0.46279E+07    0.65115E+04
    92    0.23928E+04    0.61620E+00   -0.17439E+02    0.45985E+07    0.64056E+04
    93    0.24217E+04    0.63077E+00   -0.18053E+02    0.45693E+07    0.63019E+04
    94    0.24509E+04    0.64529E+00   -0.18671E+02    0.45402E+07    0.62002E+04
    95    0.24802E+04    0.65976E+00   -0.19292E+02    0.45113E+07    0.61006E+04
    96    0.25097E+04    0.67416E+00   -0.19918E+02    0.44824E+07    0.60030E+04
    97    0.25395E+04    0.68848E+00   -0.20546E+02    0.44537E+07    0.59074E+04
    98    0.25694E+04    0.70270E+00   -0.21176E+02    0.44252E+07    0.58136E+04
    99    0.25996E+04    0.71681E+00   -0.21809E+02    0.43968E+07    0.57217E+04
   100    0.26300E+04    0.73080E+00   -0.22442E+02    0.43685E+07    0.56316E+04
   101    0.26606E+04    0.74468E+00   -0.23076E+02    0.43405E+07    0.55433E+04
   102    0.26914E+04    0.75835E+00   -0.23710E+02    0.43125E+07    0.54568E+04
   103    0.27224E+04    0.77189E+00   -0.24344E+02    0.42848E+07    0.53719E+04
   104    0.27536E+04    0.78521E+00   -0.24977E+02    0.42572E+07    0.52887E+04
   105    0.27850E+04    0.79840E+00   -0.25608E+02    0.42297E+07    0.52072E+04
   106    0.28166E+04    0.81137E+00   -0.26237E+02    0.42024E+07    0.51272E+04
   107    0.28483E+04    0.82406E+00   -0.26864E+02    0.41753E+07    0.50488E+04
   108    0.28802E+04    0.83661E+00   -0.27488E+02    0.41484E+07    0.49719E+04
   109    0.29123E+04    0.84887E+00   -0.28108E+02    0.41216E+07    0.48965E+04
