#           k/h    P           
    0.10000E-03    0.32756E+03
    0.10202E-03    0.33391E+03
    0.10408E-03    0.34038E+03
    0.10618E-03    0.34698E+03
    0.10833E-03    0.35370E+03
    0.11052E-03    0.36056E+03
    0.11275E-03    0.36755E+03
    0.11503E-03    0.37467E+03
    0.11735E-03    0.38193E+03
    0.11972E-03    0.38934E+03
    0.12214E-03    0.39688E+03
    0.12461E-03    0.40457E+03
    0.12712E-03    0.41242E+03
    0.12969E-03    0.42041E+03
    0.13231E-03    0.42856E+03
    0.13499E-03    0.43686E+03
    0.13771E-03    0.44533E+03
    0.14049E-03    0.45396E+03
    0.14333E-03    0.46276E+03
    0.14623E-03    0.47173E+03
    0.14918E-03    0.48087E+03
    0.15220E-03    0.49019E+03
    0.15527E-03    0.49969E+03
    0.15841E-03    0.50937E+03
    0.16161E-03    0.51924E+03
    0.16487E-03    0.52930E+03
    0.16820E-03    0.53956E+03
    0.17160E-03    0.55001E+03
    0.17507E-03    0.56067E+03
    0.17860E-03    0.57153E+03
    0.18221E-03    0.58260E+03
    0.18589E-03    0.59389E+03
    0.18965E-03    0.60540E+03
    0.19348E-03    0.61712E+03
    0.19739E-03    0.62908E+03
    0.20138E-03    0.64126E+03
    0.20544E-03    0.65368E+03
    0.20959E-03    0.66635E+03
    0.21383E-03    0.67925E+03
    0.21815E-03    0.69241E+03
    0.22255E-03    0.70581E+03
    0.22705E-03    0.71948E+03
    0.23164E-03    0.73341E+03
    0.23632E-03    0.74761E+03
    0.24109E-03    0.76208E+03
    0.24596E-03    0.77684E+03
    0.25093E-03    0.79187E+03
    0.25600E-03    0.80720E+03
    0.26117E-03    0.82282E+03
    0.26645E-03    0.83874E+03
    0.27183E-03    0.85497E+03
    0.27732E-03    0.87151E+03
    0.28292E-03    0.88836E+03
    0.28864E-03    0.90554E+03
    0.29447E-03    0.92306E+03
    0.30042E-03    0.94090E+03
    0.30649E-03    0.95909E+03
    0.31268E-03    0.97763E+03
    0.31899E-03    0.99652E+03
    0.32544E-03    0.10158E+04
    0.33201E-03    0.10354E+04
    0.33872E-03    0.10554E+04
    0.34556E-03    0.10758E+04
    0.35254E-03    0.10965E+04
    0.35966E-03    0.11177E+04
    0.36693E-03    0.11393E+04
    0.37434E-03    0.11612E+04
    0.38190E-03    0.11836E+04
    0.38962E-03    0.12065E+04
    0.39749E-03    0.12297E+04
    0.40552E-03    0.12534E+04
    0.41371E-03    0.12776E+04
    0.42207E-03    0.13022E+04
    0.43060E-03    0.13272E+04
    0.43929E-03    0.13528E+04
    0.44817E-03    0.13788E+04
    0.45722E-03    0.14053E+04
    0.46646E-03    0.14323E+04
    0.47588E-03    0.14598E+04
