#           k/h    P           
    0.10000E-03    0.41022E+03
    0.10202E-03    0.41817E+03
    0.10408E-03    0.42627E+03
    0.10618E-03    0.43452E+03
    0.10833E-03    0.44294E+03
    0.11052E-03    0.45151E+03
    0.11275E-03    0.46026E+03
    0.11503E-03    0.46917E+03
    0.11735E-03    0.47825E+03
    0.11972E-03    0.48751E+03
    0.12214E-03    0.49695E+03
    0.12461E-03    0.50657E+03
    0.12712E-03    0.51638E+03
    0.12969E-03    0.52637E+03
    0.13231E-03    0.53656E+03
    0.13499E-03    0.54695E+03
    0.13771E-03    0.55753E+03
    0.14049E-03    0.56832E+03
    0.14333E-03    0.57932E+03
    0.14623E-03    0.59053E+03
    0.14918E-03    0.60196E+03
    0.15220E-03    0.61360E+03
    0.15527E-03    0.62547E+03
    0.15841E-03    0.63757E+03
    0.16161E-03    0.64991E+03
    0.16487E-03    0.66248E+03
    0.16820E-03    0.67529E+03
    0.17160E-03    0.68835E+03
    0.17507E-03    0.70166E+03
    0.17860E-03    0.71523E+03
    0.18221E-03    0.72906E+03
    0.18589E-03    0.74315E+03
    0.18965E-03    0.75752E+03
    0.19348E-03    0.77216E+03
    0.19739E-03    0.78709E+03
    0.20138E-03    0.80230E+03
    0.20544E-03    0.81780E+03
    0.20959E-03    0.83360E+03
    0.21383E-03    0.84971E+03
    0.21815E-03    0.86612E+03
    0.22255E-03    0.88285E+03
    0.22705E-03    0.89990E+03
    0.23164E-03    0.91728E+03
    0.23632E-03    0.93499E+03
    0.24109E-03    0.95304E+03
    0.24596E-03    0.97144E+03
    0.25093E-03    0.99019E+03
    0.25600E-03    0.10093E+04
    0.26117E-03    0.10288E+04
    0.26645E-03    0.10486E+04
    0.27183E-03    0.10688E+04
    0.27732E-03    0.10895E+04
    0.28292E-03    0.11105E+04
    0.28864E-03    0.11319E+04
    0.29447E-03    0.11537E+04
    0.30042E-03    0.11759E+04
    0.30649E-03    0.11986E+04
    0.31268E-03    0.12217E+04
    0.31899E-03    0.12452E+04
    0.32544E-03    0.12692E+04
    0.33201E-03    0.12937E+04
    0.33872E-03    0.13186E+04
    0.34556E-03    0.13440E+04
    0.35254E-03    0.13699E+04
    0.35966E-03    0.13962E+04
    0.36693E-03    0.14231E+04
    0.37434E-03    0.14505E+04
    0.38190E-03    0.14784E+04
    0.38962E-03    0.15068E+04
    0.39749E-03    0.15358E+04
    0.40552E-03    0.15653E+04
