#           k/h    P           
    0.10000E-03    0.89984E+02
    0.10202E-03    0.91728E+02
    0.10408E-03    0.93505E+02
    0.10618E-03    0.95317E+02
    0.10833E-03    0.97164E+02
    0.11052E-03    0.99046E+02
    0.11275E-03    0.10097E+03
    0.11503E-03    0.10292E+03
    0.11735E-03    0.10492E+03
    0.11972E-03    0.10695E+03
    0.12214E-03    0.10902E+03
    0.12461E-03    0.11113E+03
    0.12712E-03    0.11328E+03
    0.12969E-03    0.11548E+03
    0.13231E-03    0.11772E+03
    0.13499E-03    0.12000E+03
    0.13771E-03    0.12232E+03
    0.14049E-03    0.12469E+03
    0.14333E-03    0.12710E+03
    0.14623E-03    0.12957E+03
    0.14918E-03    0.13207E+03
    0.15220E-03    0.13463E+03
    0.15527E-03    0.13724E+03
    0.15841E-03    0.13990E+03
    0.16161E-03    0.14261E+03
    0.16487E-03    0.14537E+03
    0.16820E-03    0.14818E+03
    0.17160E-03    0.15105E+03
    0.17507E-03    0.15397E+03
    0.17860E-03    0.15695E+03
    0.18221E-03    0.15999E+03
    0.18589E-03    0.16309E+03
    0.18965E-03    0.16625E+03
    0.19348E-03    0.16946E+03
    0.19739E-03    0.17274E+03
    0.20138E-03    0.17609E+03
    0.20544E-03    0.17949E+03
    0.20959E-03    0.18297E+03
    0.21383E-03    0.18651E+03
    0.21815E-03    0.19011E+03
    0.22255E-03    0.19379E+03
    0.22705E-03    0.19754E+03
    0.23164E-03    0.20136E+03
    0.23632E-03    0.20525E+03
    0.24109E-03    0.20922E+03
    0.24596E-03    0.21327E+03
    0.25093E-03    0.21739E+03
    0.25600E-03    0.22159E+03
    0.26117E-03    0.22588E+03
    0.26645E-03    0.23024E+03
    0.27183E-03    0.23469E+03
    0.27732E-03    0.23922E+03
    0.28292E-03    0.24385E+03
    0.28864E-03    0.24856E+03
    0.29447E-03    0.25336E+03
    0.30042E-03    0.25825E+03
    0.30649E-03    0.26323E+03
    0.31268E-03    0.26832E+03
    0.31899E-03    0.27349E+03
    0.32544E-03    0.27877E+03
    0.33201E-03    0.28415E+03
    0.33872E-03    0.28963E+03
    0.34556E-03    0.29522E+03
    0.35254E-03    0.30091E+03
    0.35966E-03    0.30671E+03
    0.36693E-03    0.31263E+03
    0.37434E-03    0.31865E+03
    0.38190E-03    0.32479E+03
    0.38962E-03    0.33105E+03
    0.39749E-03    0.33742E+03
    0.40552E-03    0.34392E+03
    0.41371E-03    0.35054E+03
    0.42207E-03    0.35729E+03
    0.43060E-03    0.36416E+03
    0.43929E-03    0.37117E+03
    0.44817E-03    0.37830E+03
    0.45722E-03    0.38557E+03
    0.46646E-03    0.39298E+03
    0.47588E-03    0.40053E+03
    0.48550E-03    0.40822E+03
    0.49530E-03    0.41606E+03
    0.50531E-03    0.42404E+03
    0.51552E-03    0.43218E+03
    0.52593E-03    0.44047E+03
    0.53656E-03    0.44891E+03
    0.54739E-03    0.45751E+03
    0.55845E-03    0.46627E+03
    0.56973E-03    0.47520E+03
    0.58124E-03    0.48429E+03
    0.59299E-03    0.49355E+03
    0.60496E-03    0.50299E+03
    0.61719E-03    0.51260E+03
    0.62965E-03    0.52239E+03
    0.64237E-03    0.53236E+03
    0.65535E-03    0.54251E+03
    0.66859E-03    0.55285E+03
    0.68210E-03    0.56339E+03
    0.69588E-03    0.57412E+03
    0.70993E-03    0.58504E+03
    0.72427E-03    0.59617E+03
    0.73891E-03    0.60749E+03
    0.75383E-03    0.61903E+03
    0.76906E-03    0.63078E+03
    0.78460E-03    0.64274E+03
    0.80045E-03    0.65492E+03
    0.81662E-03    0.66732E+03
    0.83311E-03    0.67994E+03
    0.84994E-03    0.69279E+03
    0.86711E-03    0.70587E+03
    0.88463E-03    0.71919E+03
    0.90250E-03    0.73275E+03
    0.92073E-03    0.74655E+03
    0.93933E-03    0.76059E+03
    0.95831E-03    0.77489E+03
    0.97767E-03    0.78943E+03
    0.99742E-03    0.80424E+03
    0.10176E-02    0.81930E+03
    0.10381E-02    0.83463E+03
    0.10591E-02    0.85023E+03
    0.10805E-02    0.86610E+03
    0.11023E-02    0.88225E+03
    0.11246E-02    0.89868E+03
    0.11473E-02    0.91539E+03
    0.11705E-02    0.93238E+03
    0.11941E-02    0.94967E+03
    0.12182E-02    0.96726E+03
    0.12429E-02    0.98514E+03
    0.12680E-02    0.10033E+04
    0.12936E-02    0.10218E+04
