#           k/h    P           
    0.10000E-03    0.47272E+02
    0.10202E-03    0.48188E+02
    0.10408E-03    0.49122E+02
    0.10618E-03    0.50074E+02
    0.10833E-03    0.51044E+02
    0.11052E-03    0.52033E+02
    0.11275E-03    0.53041E+02
    0.11503E-03    0.54069E+02
    0.11735E-03    0.55116E+02
    0.11972E-03    0.56184E+02
    0.12214E-03    0.57273E+02
    0.12461E-03    0.58382E+02
    0.12712E-03    0.59513E+02
    0.12969E-03    0.60666E+02
    0.13231E-03    0.61842E+02
    0.13499E-03    0.63040E+02
    0.13771E-03    0.64261E+02
    0.14049E-03    0.65506E+02
    0.14333E-03    0.66774E+02
    0.14623E-03    0.68068E+02
    0.14918E-03    0.69386E+02
    0.15220E-03    0.70730E+02
    0.15527E-03    0.72100E+02
    0.15841E-03    0.73496E+02
    0.16161E-03    0.74919E+02
    0.16487E-03    0.76370E+02
    0.16820E-03    0.77849E+02
    0.17160E-03    0.79356E+02
    0.17507E-03    0.80893E+02
    0.17860E-03    0.82459E+02
    0.18221E-03    0.84056E+02
    0.18589E-03    0.85683E+02
    0.18965E-03    0.87342E+02
    0.19348E-03    0.89032E+02
    0.19739E-03    0.90756E+02
    0.20138E-03    0.92512E+02
    0.20544E-03    0.94303E+02
    0.20959E-03    0.96128E+02
    0.21383E-03    0.97988E+02
    0.21815E-03    0.99884E+02
    0.22255E-03    0.10182E+03
    0.22705E-03    0.10379E+03
    0.23164E-03    0.10579E+03
    0.23632E-03    0.10784E+03
    0.24109E-03    0.10993E+03
    0.24596E-03    0.11205E+03
    0.25093E-03    0.11422E+03
    0.25600E-03    0.11643E+03
    0.26117E-03    0.11868E+03
    0.26645E-03    0.12097E+03
    0.27183E-03    0.12331E+03
    0.27732E-03    0.12569E+03
    0.28292E-03    0.12812E+03
    0.28864E-03    0.13060E+03
    0.29447E-03    0.13312E+03
    0.30042E-03    0.13570E+03
    0.30649E-03    0.13832E+03
    0.31268E-03    0.14099E+03
    0.31899E-03    0.14371E+03
    0.32544E-03    0.14648E+03
    0.33201E-03    0.14931E+03
    0.33872E-03    0.15219E+03
    0.34556E-03    0.15513E+03
    0.35254E-03    0.15812E+03
    0.35966E-03    0.16117E+03
    0.36693E-03    0.16428E+03
    0.37434E-03    0.16745E+03
    0.38190E-03    0.17068E+03
    0.38962E-03    0.17397E+03
    0.39749E-03    0.17732E+03
    0.40552E-03    0.18074E+03
    0.41371E-03    0.18422E+03
    0.42207E-03    0.18777E+03
