#           k/h    P           
    0.10000E-03    0.17497E+03
    0.10202E-03    0.17836E+03
    0.10408E-03    0.18182E+03
    0.10618E-03    0.18534E+03
    0.10833E-03    0.18893E+03
    0.11052E-03    0.19259E+03
    0.11275E-03    0.19632E+03
    0.11503E-03    0.20012E+03
    0.11735E-03    0.20400E+03
    0.11972E-03    0.20795E+03
    0.12214E-03    0.21198E+03
    0.12461E-03    0.21608E+03
    0.12712E-03    0.22027E+03
    0.12969E-03    0.22454E+03
    0.13231E-03    0.22888E+03
    0.13499E-03    0.23332E+03
    0.13771E-03    0.23783E+03
    0.14049E-03    0.24244E+03
    0.14333E-03    0.24713E+03
    0.14623E-03    0.25192E+03
    0.14918E-03    0.25680E+03
    0.15220E-03    0.26177E+03
    0.15527E-03    0.26684E+03
    0.15841E-03    0.27200E+03
    0.16161E-03    0.27727E+03
    0.16487E-03    0.28263E+03
    0.16820E-03    0.28810E+03
    0.17160E-03    0.29368E+03
    0.17507E-03    0.29936E+03
    0.17860E-03    0.30515E+03
    0.18221E-03    0.31106E+03
    0.18589E-03    0.31708E+03
    0.18965E-03    0.32321E+03
    0.19348E-03    0.32947E+03
    0.19739E-03    0.33584E+03
    0.20138E-03    0.34233E+03
    0.20544E-03    0.34896E+03
    0.20959E-03    0.35570E+03
    0.21383E-03    0.36258E+03
    0.21815E-03    0.36959E+03
    0.22255E-03    0.37674E+03
    0.22705E-03    0.38402E+03
    0.23164E-03    0.39145E+03
    0.23632E-03    0.39901E+03
    0.24109E-03    0.40672E+03
    0.24596E-03    0.41458E+03
    0.25093E-03    0.42259E+03
    0.25600E-03    0.43076E+03
    0.26117E-03    0.43908E+03
    0.26645E-03    0.44756E+03
    0.27183E-03    0.45620E+03
    0.27732E-03    0.46501E+03
    0.28292E-03    0.47399E+03
    0.28864E-03    0.48314E+03
    0.29447E-03    0.49246E+03
    0.30042E-03    0.50196E+03
    0.30649E-03    0.51165E+03
    0.31268E-03    0.52152E+03
    0.31899E-03    0.53158E+03
    0.32544E-03    0.54183E+03
    0.33201E-03    0.55228E+03
    0.33872E-03    0.56292E+03
    0.34556E-03    0.57377E+03
    0.35254E-03    0.58483E+03
    0.35966E-03    0.59610E+03
    0.36693E-03    0.60758E+03
    0.37434E-03    0.61928E+03
    0.38190E-03    0.63120E+03
    0.38962E-03    0.64335E+03
    0.39749E-03    0.65573E+03
    0.40552E-03    0.66835E+03
    0.41371E-03    0.68120E+03
    0.42207E-03    0.69430E+03
    0.43060E-03    0.70765E+03
    0.43929E-03    0.72125E+03
    0.44817E-03    0.73511E+03
    0.45722E-03    0.74923E+03
    0.46646E-03    0.76361E+03
    0.47588E-03    0.77827E+03
    0.48550E-03    0.79321E+03
    0.49530E-03    0.80842E+03
    0.50531E-03    0.82392E+03
    0.51552E-03    0.83972E+03
    0.52593E-03    0.85581E+03
    0.53656E-03    0.87220E+03
    0.54739E-03    0.88890E+03
    0.55845E-03    0.90591E+03
    0.56973E-03    0.92324E+03
    0.58124E-03    0.94089E+03
    0.59299E-03    0.95888E+03
    0.60496E-03    0.97720E+03
    0.61719E-03    0.99586E+03
    0.62965E-03    0.10149E+04
    0.64237E-03    0.10342E+04
    0.65535E-03    0.10539E+04
    0.66859E-03    0.10740E+04
    0.68210E-03    0.10945E+04
    0.69588E-03    0.11153E+04
    0.70993E-03    0.11365E+04
    0.72427E-03    0.11581E+04
    0.73891E-03    0.11801E+04
    0.75383E-03    0.12025E+04
    0.76906E-03    0.12253E+04
    0.78460E-03    0.12486E+04
    0.80045E-03    0.12722E+04
    0.81662E-03    0.12963E+04
    0.83311E-03    0.13208E+04
    0.84994E-03    0.13458E+04
    0.86711E-03    0.13712E+04
    0.88463E-03    0.13970E+04
    0.90250E-03    0.14234E+04
    0.92073E-03    0.14502E+04
    0.93933E-03    0.14774E+04
    0.95831E-03    0.15052E+04
    0.97767E-03    0.15334E+04
    0.99742E-03    0.15622E+04
    0.10176E-02    0.15915E+04
    0.10381E-02    0.16212E+04
    0.10591E-02    0.16515E+04
    0.10805E-02    0.16824E+04
    0.11023E-02    0.17137E+04
    0.11246E-02    0.17456E+04
    0.11473E-02    0.17781E+04
    0.11705E-02    0.18111E+04
    0.11941E-02    0.18447E+04
    0.12182E-02    0.18789E+04
    0.12429E-02    0.19136E+04
    0.12680E-02    0.19490E+04
    0.12936E-02    0.19849E+04
    0.13197E-02    0.20214E+04
    0.13464E-02    0.20586E+04
    0.13736E-02    0.20963E+04
    0.14013E-02    0.21347E+04
    0.14296E-02    0.21738E+04
    0.14585E-02    0.22134E+04
    0.14880E-02    0.22537E+04
    0.15180E-02    0.22947E+04
    0.15487E-02    0.23363E+04
    0.15800E-02    0.23786E+04
    0.16119E-02    0.24216E+04
    0.16445E-02    0.24653E+04
    0.16777E-02    0.25096E+04
    0.17116E-02    0.25547E+04
    0.17462E-02    0.26004E+04
    0.17814E-02    0.26469E+04
    0.18174E-02    0.26940E+04
    0.18541E-02    0.27419E+04
    0.18916E-02    0.27905E+04
    0.19298E-02    0.28398E+04
    0.19688E-02    0.28899E+04
    0.20086E-02    0.29407E+04
    0.20491E-02    0.29923E+04
    0.20905E-02    0.30446E+04
    0.21328E-02    0.30977E+04
    0.21758E-02    0.31515E+04
    0.22198E-02    0.32061E+04
    0.22646E-02    0.32614E+04
    0.23104E-02    0.33175E+04
    0.23571E-02    0.33744E+04
    0.24047E-02    0.34321E+04
    0.24533E-02    0.34905E+04
    0.25028E-02    0.35497E+04
    0.25534E-02    0.36097E+04
    0.26050E-02    0.36705E+04
    0.26576E-02    0.37320E+04
    0.27113E-02    0.37943E+04
    0.27660E-02    0.38574E+04
    0.28219E-02    0.39213E+04
    0.28789E-02    0.39859E+04
    0.29371E-02    0.40513E+04
    0.29964E-02    0.41175E+04
    0.30569E-02    0.41845E+04
    0.31187E-02    0.42522E+04
    0.31817E-02    0.43207E+04
    0.32460E-02    0.43899E+04
    0.33115E-02    0.44599E+04
    0.33784E-02    0.45306E+04
    0.34467E-02    0.46020E+04
    0.35163E-02    0.46742E+04
    0.35874E-02    0.47470E+04
    0.36598E-02    0.48206E+04
    0.37338E-02    0.48949E+04
    0.38092E-02    0.49699E+04
    0.38861E-02    0.50455E+04
    0.39646E-02    0.51218E+04
    0.40447E-02    0.51987E+04
    0.41264E-02    0.52763E+04
    0.42098E-02    0.53544E+04
    0.42948E-02    0.54332E+04
    0.43816E-02    0.55125E+04
    0.44701E-02    0.55925E+04
    0.45604E-02    0.56729E+04
    0.46525E-02    0.57539E+04
    0.47465E-02    0.58353E+04
    0.48424E-02    0.59173E+04
    0.49402E-02    0.59997E+04
    0.50400E-02    0.60825E+04
    0.51419E-02    0.61657E+04
    0.52457E-02    0.62492E+04
    0.53517E-02    0.63331E+04
    0.54598E-02    0.64173E+04
    0.55701E-02    0.65018E+04
    0.56826E-02    0.65865E+04
    0.57974E-02    0.66714E+04
    0.59145E-02    0.67565E+04
    0.60340E-02    0.68419E+04
    0.61559E-02    0.69272E+04
    0.62803E-02    0.70125E+04
    0.64072E-02    0.70977E+04
    0.65366E-02    0.71830E+04
    0.66686E-02    0.72681E+04
    0.68033E-02    0.73531E+04
    0.69408E-02    0.74379E+04
    0.70810E-02    0.75224E+04
    0.72240E-02    0.76066E+04
    0.73700E-02    0.76905E+04
    0.75189E-02    0.77739E+04
    0.76708E-02    0.78568E+04
    0.78257E-02    0.79391E+04
    0.79838E-02    0.80208E+04
    0.81451E-02    0.81019E+04
    0.83096E-02    0.81823E+04
    0.84775E-02    0.82618E+04
    0.86488E-02    0.83405E+04
    0.88235E-02    0.84182E+04
    0.90017E-02    0.84949E+04
    0.91836E-02    0.85705E+04
    0.93691E-02    0.86449E+04
    0.95583E-02    0.87181E+04
    0.97514E-02    0.87900E+04
    0.99484E-02    0.88603E+04
    0.10149E-01    0.89292E+04
    0.10354E-01    0.89964E+04
    0.10564E-01    0.90620E+04
    0.10777E-01    0.91257E+04
    0.10995E-01    0.91876E+04
    0.11217E-01    0.92475E+04
    0.11443E-01    0.93053E+04
    0.11675E-01    0.93609E+04
    0.11910E-01    0.94143E+04
    0.12151E-01    0.94653E+04
    0.12397E-01    0.95137E+04
    0.12647E-01    0.95597E+04
    0.12902E-01    0.96029E+04
    0.13163E-01    0.96433E+04
    0.13429E-01    0.96809E+04
    0.13700E-01    0.97154E+04
    0.13977E-01    0.97468E+04
    0.14259E-01    0.97751E+04
    0.14547E-01    0.98000E+04
    0.14841E-01    0.98214E+04
    0.15141E-01    0.98394E+04
    0.15447E-01    0.98537E+04
    0.15759E-01    0.98643E+04
    0.16077E-01    0.98710E+04
    0.16402E-01    0.98739E+04
    0.16734E-01    0.98727E+04
    0.17072E-01    0.98675E+04
    0.17416E-01    0.98581E+04
    0.17768E-01    0.98444E+04
    0.18127E-01    0.98263E+04
    0.18493E-01    0.98039E+04
    0.18867E-01    0.97771E+04
    0.19248E-01    0.97457E+04
    0.19637E-01    0.97097E+04
    0.20034E-01    0.96692E+04
    0.20438E-01    0.96240E+04
    0.20851E-01    0.95742E+04
    0.21272E-01    0.95198E+04
    0.21702E-01    0.94607E+04
    0.22141E-01    0.93970E+04
    0.22588E-01    0.93287E+04
    0.23044E-01    0.92558E+04
    0.23510E-01    0.91784E+04
    0.23985E-01    0.90966E+04
    0.24469E-01    0.90105E+04
    0.24964E-01    0.89201E+04
    0.25468E-01    0.88256E+04
    0.25982E-01    0.87272E+04
    0.26507E-01    0.86249E+04
    0.27043E-01    0.85189E+04
    0.27589E-01    0.84095E+04
    0.28146E-01    0.82969E+04
    0.28715E-01    0.81812E+04
    0.29295E-01    0.80627E+04
    0.29887E-01    0.79417E+04
    0.30490E-01    0.78184E+04
    0.31106E-01    0.76932E+04
    0.31735E-01    0.75663E+04
    0.32376E-01    0.74381E+04
    0.33030E-01    0.73089E+04
    0.33697E-01    0.71791E+04
    0.34378E-01    0.70489E+04
    0.35072E-01    0.69187E+04
    0.35781E-01    0.67891E+04
    0.36504E-01    0.66601E+04
    0.37241E-01    0.65319E+04
    0.37993E-01    0.64043E+04
    0.38761E-01    0.62778E+04
    0.39544E-01    0.61533E+04
    0.40343E-01    0.60313E+04
    0.41158E-01    0.59121E+04
    0.41989E-01    0.57961E+04
    0.42838E-01    0.56836E+04
    0.43703E-01    0.55748E+04
    0.44586E-01    0.54699E+04
    0.45486E-01    0.53690E+04
    0.46405E-01    0.52723E+04
    0.47343E-01    0.51796E+04
    0.48299E-01    0.50910E+04
    0.49275E-01    0.50063E+04
    0.50270E-01    0.49253E+04
    0.51286E-01    0.48478E+04
    0.52322E-01    0.47735E+04
    0.53379E-01    0.47022E+04
    0.54457E-01    0.46336E+04
    0.55557E-01    0.45675E+04
    0.56680E-01    0.45031E+04
    0.57825E-01    0.44401E+04
    0.58993E-01    0.43800E+04
    0.60184E-01    0.43234E+04
    0.61400E-01    0.42672E+04
    0.62641E-01    0.42090E+04
    0.63906E-01    0.41491E+04
    0.65197E-01    0.40885E+04
    0.66514E-01    0.40264E+04
    0.67858E-01    0.39618E+04
    0.69229E-01    0.38939E+04
    0.70627E-01    0.38222E+04
    0.72054E-01    0.37465E+04
    0.73510E-01    0.36663E+04
    0.74994E-01    0.35815E+04
    0.76509E-01    0.34922E+04
    0.78055E-01    0.33989E+04
    0.79632E-01    0.33018E+04
    0.81241E-01    0.32018E+04
    0.82882E-01    0.30997E+04
    0.84556E-01    0.29963E+04
    0.86264E-01    0.28926E+04
    0.88007E-01    0.27895E+04
    0.89785E-01    0.26879E+04
    0.91598E-01    0.25888E+04
    0.93449E-01    0.24929E+04
    0.95337E-01    0.24010E+04
    0.97263E-01    0.23139E+04
    0.99227E-01    0.22323E+04
    0.10123E+00    0.21567E+04
    0.10328E+00    0.20875E+04
    0.10536E+00    0.20249E+04
    0.10749E+00    0.19689E+04
    0.10966E+00    0.19193E+04
    0.11188E+00    0.18755E+04
    0.11414E+00    0.18366E+04
    0.11644E+00    0.18017E+04
    0.11880E+00    0.17697E+04
    0.12120E+00    0.17391E+04
    0.12365E+00    0.17086E+04
    0.12614E+00    0.16769E+04
    0.12869E+00    0.16425E+04
    0.13129E+00    0.16045E+04
    0.13394E+00    0.15622E+04
    0.13665E+00    0.15155E+04
    0.13941E+00    0.14646E+04
    0.14223E+00    0.14104E+04
    0.14510E+00    0.13540E+04
    0.14803E+00    0.12965E+04
    0.15102E+00    0.12393E+04
    0.15407E+00    0.11836E+04
    0.15718E+00    0.11308E+04
    0.16036E+00    0.10819E+04
    0.16360E+00    0.10382E+04
    0.16690E+00    0.99999E+03
    0.17028E+00    0.96745E+03
    0.17371E+00    0.93994E+03
    0.17722E+00    0.91637E+03
    0.18080E+00    0.89541E+03
    0.18446E+00    0.87568E+03
    0.18818E+00    0.85590E+03
    0.19198E+00    0.83486E+03
    0.19586E+00    0.81160E+03
    0.19982E+00    0.78550E+03
    0.20386E+00    0.75656E+03
    0.20797E+00    0.72544E+03
    0.21218E+00    0.69325E+03
    0.21646E+00    0.66130E+03
    0.22083E+00    0.63083E+03
    0.22530E+00    0.60288E+03
    0.22985E+00    0.57821E+03
    0.23449E+00    0.55702E+03
    0.23923E+00    0.53899E+03
    0.24406E+00    0.52333E+03
    0.24899E+00    0.50883E+03
    0.25402E+00    0.49443E+03
    0.25915E+00    0.47920E+03
