#           k/h    P           
    0.10000E-03    0.69256E+02
    0.10202E-03    0.70599E+02
    0.10408E-03    0.71967E+02
    0.10618E-03    0.73361E+02
    0.10833E-03    0.74783E+02
    0.11052E-03    0.76232E+02
    0.11275E-03    0.77709E+02
    0.11503E-03    0.79215E+02
    0.11735E-03    0.80749E+02
    0.11972E-03    0.82314E+02
    0.12214E-03    0.83909E+02
    0.12461E-03    0.85535E+02
    0.12712E-03    0.87192E+02
    0.12969E-03    0.88881E+02
    0.13231E-03    0.90603E+02
    0.13499E-03    0.92358E+02
    0.13771E-03    0.94147E+02
    0.14049E-03    0.95971E+02
    0.14333E-03    0.97830E+02
    0.14623E-03    0.99725E+02
    0.14918E-03    0.10166E+03
    0.15220E-03    0.10363E+03
    0.15527E-03    0.10563E+03
    0.15841E-03    0.10768E+03
    0.16161E-03    0.10976E+03
    0.16487E-03    0.11189E+03
    0.16820E-03    0.11406E+03
    0.17160E-03    0.11627E+03
    0.17507E-03    0.11852E+03
    0.17860E-03    0.12081E+03
    0.18221E-03    0.12315E+03
    0.18589E-03    0.12554E+03
    0.18965E-03    0.12797E+03
    0.19348E-03    0.13044E+03
    0.19739E-03    0.13297E+03
    0.20138E-03    0.13554E+03
    0.20544E-03    0.13817E+03
    0.20959E-03    0.14084E+03
    0.21383E-03    0.14357E+03
    0.21815E-03    0.14634E+03
    0.22255E-03    0.14918E+03
    0.22705E-03    0.15206E+03
    0.23164E-03    0.15500E+03
    0.23632E-03    0.15800E+03
    0.24109E-03    0.16106E+03
    0.24596E-03    0.16417E+03
    0.25093E-03    0.16735E+03
    0.25600E-03    0.17059E+03
    0.26117E-03    0.17388E+03
    0.26645E-03    0.17725E+03
    0.27183E-03    0.18067E+03
    0.27732E-03    0.18417E+03
    0.28292E-03    0.18773E+03
    0.28864E-03    0.19135E+03
    0.29447E-03    0.19505E+03
    0.30042E-03    0.19882E+03
    0.30649E-03    0.20266E+03
    0.31268E-03    0.20658E+03
    0.31899E-03    0.21057E+03
    0.32544E-03    0.21463E+03
    0.33201E-03    0.21878E+03
    0.33872E-03    0.22300E+03
    0.34556E-03    0.22730E+03
    0.35254E-03    0.23169E+03
    0.35966E-03    0.23616E+03
    0.36693E-03    0.24071E+03
    0.37434E-03    0.24536E+03
    0.38190E-03    0.25009E+03
    0.38962E-03    0.25491E+03
    0.39749E-03    0.25982E+03
    0.40552E-03    0.26483E+03
    0.41371E-03    0.26993E+03
    0.42207E-03    0.27513E+03
    0.43060E-03    0.28043E+03
    0.43929E-03    0.28582E+03
    0.44817E-03    0.29132E+03
    0.45722E-03    0.29693E+03
    0.46646E-03    0.30264E+03
    0.47588E-03    0.30846E+03
    0.48550E-03    0.31438E+03
    0.49530E-03    0.32042E+03
    0.50531E-03    0.32658E+03
    0.51552E-03    0.33285E+03
    0.52593E-03    0.33923E+03
    0.53656E-03    0.34574E+03
    0.54739E-03    0.35237E+03
    0.55845E-03    0.35912E+03
    0.56973E-03    0.36600E+03
    0.58124E-03    0.37301E+03
    0.59299E-03    0.38015E+03
    0.60496E-03    0.38742E+03
    0.61719E-03    0.39483E+03
    0.62965E-03    0.40237E+03
    0.64237E-03    0.41006E+03
    0.65535E-03    0.41788E+03
    0.66859E-03    0.42586E+03
    0.68210E-03    0.43397E+03
    0.69588E-03    0.44224E+03
    0.70993E-03    0.45066E+03
    0.72427E-03    0.45923E+03
    0.73891E-03    0.46797E+03
    0.75383E-03    0.47686E+03
    0.76906E-03    0.48591E+03
    0.78460E-03    0.49513E+03
    0.80045E-03    0.50451E+03
    0.81662E-03    0.51407E+03
    0.83311E-03    0.52379E+03
    0.84994E-03    0.53370E+03
    0.86711E-03    0.54378E+03
    0.88463E-03    0.55404E+03
    0.90250E-03    0.56448E+03
    0.92073E-03    0.57511E+03
    0.93933E-03    0.58593E+03
    0.95831E-03    0.59695E+03
    0.97767E-03    0.60815E+03
    0.99742E-03    0.61956E+03
    0.10176E-02    0.63116E+03
    0.10381E-02    0.64297E+03
    0.10591E-02    0.65498E+03
    0.10805E-02    0.66721E+03
    0.11023E-02    0.67964E+03
    0.11246E-02    0.69229E+03
    0.11473E-02    0.70516E+03
    0.11705E-02    0.71825E+03
    0.11941E-02    0.73157E+03
    0.12182E-02    0.74511E+03
    0.12429E-02    0.75888E+03
    0.12680E-02    0.77288E+03
    0.12936E-02    0.78712E+03
    0.13197E-02    0.80160E+03
    0.13464E-02    0.81632E+03
    0.13736E-02    0.83128E+03
    0.14013E-02    0.84650E+03
    0.14296E-02    0.86196E+03
    0.14585E-02    0.87767E+03
    0.14880E-02    0.89365E+03
    0.15180E-02    0.90988E+03
    0.15487E-02    0.92637E+03
    0.15800E-02    0.94313E+03
    0.16119E-02    0.96015E+03
    0.16445E-02    0.97745E+03
    0.16777E-02    0.99502E+03
    0.17116E-02    0.10129E+04
    0.17462E-02    0.10310E+04
    0.17814E-02    0.10494E+04
    0.18174E-02    0.10681E+04
    0.18541E-02    0.10870E+04
    0.18916E-02    0.11063E+04
    0.19298E-02    0.11258E+04
    0.19688E-02    0.11457E+04
    0.20086E-02    0.11658E+04
    0.20491E-02    0.11862E+04
    0.20905E-02    0.12069E+04
    0.21328E-02    0.12279E+04
    0.21758E-02    0.12493E+04
    0.22198E-02    0.12709E+04
    0.22646E-02    0.12928E+04
    0.23104E-02    0.13150E+04
    0.23571E-02    0.13376E+04
    0.24047E-02    0.13604E+04
    0.24533E-02    0.13836E+04
    0.25028E-02    0.14070E+04
    0.25534E-02    0.14308E+04
    0.26050E-02    0.14549E+04
    0.26576E-02    0.14792E+04
    0.27113E-02    0.15039E+04
    0.27660E-02    0.15289E+04
    0.28219E-02    0.15542E+04
    0.28789E-02    0.15798E+04
    0.29371E-02    0.16057E+04
    0.29964E-02    0.16320E+04
    0.30569E-02    0.16585E+04
    0.31187E-02    0.16853E+04
    0.31817E-02    0.17125E+04
    0.32460E-02    0.17399E+04
    0.33115E-02    0.17676E+04
    0.33784E-02    0.17956E+04
    0.34467E-02    0.18239E+04
    0.35163E-02    0.18525E+04
    0.35874E-02    0.18814E+04
    0.36598E-02    0.19106E+04
    0.37338E-02    0.19400E+04
    0.38092E-02    0.19697E+04
    0.38861E-02    0.19997E+04
    0.39646E-02    0.20299E+04
    0.40447E-02    0.20604E+04
    0.41264E-02    0.20912E+04
    0.42098E-02    0.21221E+04
    0.42948E-02    0.21534E+04
    0.43816E-02    0.21848E+04
    0.44701E-02    0.22165E+04
    0.45604E-02    0.22484E+04
    0.46525E-02    0.22805E+04
    0.47465E-02    0.23128E+04
    0.48424E-02    0.23452E+04
    0.49402E-02    0.23779E+04
    0.50400E-02    0.24107E+04
    0.51419E-02    0.24437E+04
    0.52457E-02    0.24768E+04
    0.53517E-02    0.25101E+04
    0.54598E-02    0.25435E+04
    0.55701E-02    0.25770E+04
    0.56826E-02    0.26106E+04
    0.57974E-02    0.26442E+04
    0.59145E-02    0.26780E+04
    0.60340E-02    0.27118E+04
    0.61559E-02    0.27457E+04
    0.62803E-02    0.27795E+04
    0.64072E-02    0.28133E+04
    0.65366E-02    0.28471E+04
    0.66686E-02    0.28809E+04
    0.68033E-02    0.29146E+04
    0.69408E-02    0.29482E+04
    0.70810E-02    0.29817E+04
    0.72240E-02    0.30152E+04
    0.73700E-02    0.30484E+04
    0.75189E-02    0.30815E+04
    0.76708E-02    0.31144E+04
    0.78257E-02    0.31471E+04
    0.79838E-02    0.31795E+04
    0.81451E-02    0.32116E+04
    0.83096E-02    0.32435E+04
    0.84775E-02    0.32751E+04
    0.86488E-02    0.33063E+04
    0.88235E-02    0.33372E+04
    0.90017E-02    0.33676E+04
    0.91836E-02    0.33976E+04
    0.93691E-02    0.34272E+04
    0.95583E-02    0.34562E+04
    0.97514E-02    0.34848E+04
    0.99484E-02    0.35127E+04
    0.10149E-01    0.35400E+04
    0.10354E-01    0.35667E+04
    0.10564E-01    0.35928E+04
    0.10777E-01    0.36181E+04
    0.10995E-01    0.36427E+04
    0.11217E-01    0.36665E+04
    0.11443E-01    0.36894E+04
    0.11675E-01    0.37115E+04
    0.11910E-01    0.37328E+04
    0.12151E-01    0.37530E+04
    0.12397E-01    0.37723E+04
    0.12647E-01    0.37906E+04
    0.12902E-01    0.38078E+04
    0.13163E-01    0.38239E+04
    0.13429E-01    0.38388E+04
    0.13700E-01    0.38526E+04
    0.13977E-01    0.38651E+04
    0.14259E-01    0.38763E+04
    0.14547E-01    0.38863E+04
    0.14841E-01    0.38948E+04
    0.15141E-01    0.39020E+04
    0.15447E-01    0.39078E+04
    0.15759E-01    0.39120E+04
    0.16077E-01    0.39148E+04
    0.16402E-01    0.39160E+04
    0.16734E-01    0.39156E+04
    0.17072E-01    0.39135E+04
    0.17416E-01    0.39099E+04
    0.17768E-01    0.39045E+04
    0.18127E-01    0.38974E+04
    0.18493E-01    0.38886E+04
    0.18867E-01    0.38780E+04
    0.19248E-01    0.38656E+04
    0.19637E-01    0.38514E+04
    0.20034E-01    0.38354E+04
    0.20438E-01    0.38176E+04
    0.20851E-01    0.37979E+04
    0.21272E-01    0.37763E+04
    0.21702E-01    0.37530E+04
    0.22141E-01    0.37278E+04
    0.22588E-01    0.37007E+04
    0.23044E-01    0.36719E+04
    0.23510E-01    0.36412E+04
    0.23985E-01    0.36089E+04
    0.24469E-01    0.35747E+04
    0.24964E-01    0.35390E+04
    0.25468E-01    0.35015E+04
    0.25982E-01    0.34625E+04
    0.26507E-01    0.34220E+04
    0.27043E-01    0.33800E+04
    0.27589E-01    0.33367E+04
    0.28146E-01    0.32920E+04
    0.28715E-01    0.32462E+04
    0.29295E-01    0.31992E+04
    0.29887E-01    0.31513E+04
    0.30490E-01    0.31024E+04
    0.31106E-01    0.30528E+04
    0.31735E-01    0.30025E+04
    0.32376E-01    0.29516E+04
    0.33030E-01    0.29004E+04
    0.33697E-01    0.28489E+04
    0.34378E-01    0.27973E+04
    0.35072E-01    0.27457E+04
    0.35781E-01    0.26943E+04
    0.36504E-01    0.26432E+04
    0.37241E-01    0.25923E+04
    0.37993E-01    0.25417E+04
    0.38761E-01    0.24916E+04
    0.39544E-01    0.24422E+04
    0.40343E-01    0.23938E+04
    0.41158E-01    0.23465E+04
    0.41989E-01    0.23005E+04
    0.42838E-01    0.22559E+04
    0.43703E-01    0.22127E+04
    0.44586E-01    0.21711E+04
    0.45486E-01    0.21311E+04
    0.46405E-01    0.20928E+04
    0.47343E-01    0.20560E+04
    0.48299E-01    0.20209E+04
    0.49275E-01    0.19873E+04
    0.50270E-01    0.19551E+04
    0.51286E-01    0.19244E+04
    0.52322E-01    0.18949E+04
    0.53379E-01    0.18667E+04
    0.54457E-01    0.18394E+04
    0.55557E-01    0.18132E+04
    0.56680E-01    0.17877E+04
    0.57825E-01    0.17627E+04
    0.58993E-01    0.17388E+04
    0.60184E-01    0.17164E+04
    0.61400E-01    0.16941E+04
    0.62641E-01    0.16710E+04
    0.63906E-01    0.16473E+04
    0.65197E-01    0.16232E+04
    0.66514E-01    0.15986E+04
    0.67858E-01    0.15729E+04
    0.69229E-01    0.15460E+04
    0.70627E-01    0.15176E+04
    0.72054E-01    0.14875E+04
    0.73510E-01    0.14557E+04
    0.74994E-01    0.14220E+04
    0.76509E-01    0.13866E+04
    0.78055E-01    0.13495E+04
    0.79632E-01    0.13110E+04
    0.81241E-01    0.12713E+04
    0.82882E-01    0.12308E+04
    0.84556E-01    0.11897E+04
    0.86264E-01    0.11486E+04
    0.88007E-01    0.11076E+04
    0.89785E-01    0.10673E+04
    0.91598E-01    0.10280E+04
    0.93449E-01    0.98988E+03
    0.95337E-01    0.95341E+03
    0.97263E-01    0.91883E+03
    0.99227E-01    0.88642E+03
    0.10123E+00    0.85640E+03
    0.10328E+00    0.82892E+03
    0.10536E+00    0.80409E+03
    0.10749E+00    0.78187E+03
    0.10966E+00    0.76217E+03
    0.11188E+00    0.74476E+03
    0.11414E+00    0.72934E+03
    0.11644E+00    0.71549E+03
    0.11880E+00    0.70276E+03
    0.12120E+00    0.69063E+03
    0.12365E+00    0.67853E+03
    0.12614E+00    0.66592E+03
    0.12869E+00    0.65228E+03
    0.13129E+00    0.63719E+03
    0.13394E+00    0.62040E+03
    0.13665E+00    0.60184E+03
    0.13941E+00    0.58164E+03
    0.14223E+00    0.56012E+03
    0.14510E+00    0.53771E+03
    0.14803E+00    0.51489E+03
    0.15102E+00    0.49217E+03
    0.15407E+00    0.47006E+03
    0.15718E+00    0.44907E+03
    0.16036E+00    0.42969E+03
    0.16360E+00    0.41230E+03
    0.16690E+00    0.39714E+03
    0.17028E+00    0.38422E+03
    0.17371E+00    0.37330E+03
    0.17722E+00    0.36394E+03
    0.18080E+00    0.35561E+03
    0.18446E+00    0.34778E+03
    0.18818E+00    0.33992E+03
    0.19198E+00    0.33157E+03
    0.19586E+00    0.32233E+03
    0.19982E+00    0.31197E+03
    0.20386E+00    0.30048E+03
    0.20797E+00    0.28812E+03
    0.21218E+00    0.27533E+03
    0.21646E+00    0.26264E+03
    0.22083E+00    0.25054E+03
    0.22530E+00    0.23944E+03
    0.22985E+00    0.22964E+03
    0.23449E+00    0.22123E+03
    0.23923E+00    0.21407E+03
    0.24406E+00    0.20785E+03
    0.24899E+00    0.20209E+03
    0.25402E+00    0.19637E+03
    0.25915E+00    0.19032E+03
    0.26439E+00    0.18376E+03
    0.26973E+00    0.17663E+03
    0.27518E+00    0.16914E+03
    0.28074E+00    0.16160E+03
    0.28641E+00    0.15435E+03
    0.29219E+00    0.14773E+03
    0.29810E+00    0.14184E+03
    0.30412E+00    0.13666E+03
    0.31026E+00    0.13202E+03
    0.31653E+00    0.12766E+03
    0.32292E+00    0.12332E+03
    0.32945E+00    0.11880E+03
    0.33610E+00    0.11408E+03
    0.34289E+00    0.10925E+03
    0.34982E+00    0.10450E+03
    0.35689E+00    0.10004E+03
    0.36409E+00    0.95958E+02
    0.37145E+00    0.92261E+02
    0.37895E+00    0.88831E+02
    0.38661E+00    0.85530E+02
    0.39442E+00    0.82246E+02
    0.40239E+00    0.78917E+02
    0.41052E+00    0.75603E+02
    0.41881E+00    0.72384E+02
    0.42727E+00    0.69347E+02
