#           k/h    P           
    0.10000E-03    0.96431E+02
    0.10202E-03    0.98299E+02
    0.10408E-03    0.10020E+03
    0.10618E-03    0.10215E+03
    0.10833E-03    0.10412E+03
    0.11052E-03    0.10614E+03
    0.11275E-03    0.10820E+03
    0.11503E-03    0.11029E+03
    0.11735E-03    0.11243E+03
    0.11972E-03    0.11461E+03
    0.12214E-03    0.11683E+03
    0.12461E-03    0.11909E+03
    0.12712E-03    0.12140E+03
    0.12969E-03    0.12375E+03
    0.13231E-03    0.12615E+03
    0.13499E-03    0.12859E+03
    0.13771E-03    0.13108E+03
    0.14049E-03    0.13362E+03
    0.14333E-03    0.13621E+03
    0.14623E-03    0.13885E+03
    0.14918E-03    0.14154E+03
    0.15220E-03    0.14428E+03
    0.15527E-03    0.14707E+03
    0.15841E-03    0.14992E+03
    0.16161E-03    0.15282E+03
    0.16487E-03    0.15578E+03
    0.16820E-03    0.15880E+03
    0.17160E-03    0.16187E+03
    0.17507E-03    0.16500E+03
    0.17860E-03    0.16820E+03
    0.18221E-03    0.17145E+03
    0.18589E-03    0.17477E+03
    0.18965E-03    0.17815E+03
    0.19348E-03    0.18160E+03
    0.19739E-03    0.18512E+03
    0.20138E-03    0.18870E+03
    0.20544E-03    0.19235E+03
    0.20959E-03    0.19607E+03
    0.21383E-03    0.19986E+03
    0.21815E-03    0.20373E+03
    0.22255E-03    0.20767E+03
    0.22705E-03    0.21169E+03
    0.23164E-03    0.21578E+03
    0.23632E-03    0.21995E+03
    0.24109E-03    0.22421E+03
    0.24596E-03    0.22854E+03
    0.25093E-03    0.23296E+03
    0.25600E-03    0.23746E+03
    0.26117E-03    0.24205E+03
    0.26645E-03    0.24673E+03
    0.27183E-03    0.25150E+03
    0.27732E-03    0.25636E+03
    0.28292E-03    0.26131E+03
    0.28864E-03    0.26635E+03
    0.29447E-03    0.27150E+03
    0.30042E-03    0.27674E+03
    0.30649E-03    0.28208E+03
    0.31268E-03    0.28753E+03
    0.31899E-03    0.29308E+03
    0.32544E-03    0.29873E+03
    0.33201E-03    0.30450E+03
    0.33872E-03    0.31037E+03
    0.34556E-03    0.31636E+03
    0.35254E-03    0.32246E+03
    0.35966E-03    0.32867E+03
    0.36693E-03    0.33501E+03
    0.37434E-03    0.34147E+03
    0.38190E-03    0.34804E+03
    0.38962E-03    0.35475E+03
    0.39749E-03    0.36158E+03
    0.40552E-03    0.36854E+03
    0.41371E-03    0.37564E+03
    0.42207E-03    0.38286E+03
    0.43060E-03    0.39023E+03
    0.43929E-03    0.39773E+03
    0.44817E-03    0.40538E+03
    0.45722E-03    0.41317E+03
    0.46646E-03    0.42111E+03
    0.47588E-03    0.42920E+03
    0.48550E-03    0.43744E+03
    0.49530E-03    0.44584E+03
    0.50531E-03    0.45439E+03
    0.51552E-03    0.46311E+03
    0.52593E-03    0.47199E+03
    0.53656E-03    0.48104E+03
    0.54739E-03    0.49025E+03
    0.55845E-03    0.49964E+03
    0.56973E-03    0.50920E+03
    0.58124E-03    0.51895E+03
    0.59299E-03    0.52887E+03
    0.60496E-03    0.53898E+03
    0.61719E-03    0.54928E+03
    0.62965E-03    0.55977E+03
    0.64237E-03    0.57045E+03
    0.65535E-03    0.58133E+03
    0.66859E-03    0.59241E+03
    0.68210E-03    0.60370E+03
    0.69588E-03    0.61519E+03
    0.70993E-03    0.62690E+03
    0.72427E-03    0.63882E+03
    0.73891E-03    0.65096E+03
    0.75383E-03    0.66332E+03
    0.76906E-03    0.67590E+03
    0.78460E-03    0.68872E+03
    0.80045E-03    0.70177E+03
    0.81662E-03    0.71505E+03
    0.83311E-03    0.72858E+03
    0.84994E-03    0.74235E+03
    0.86711E-03    0.75637E+03
    0.88463E-03    0.77064E+03
    0.90250E-03    0.78516E+03
    0.92073E-03    0.79995E+03
    0.93933E-03    0.81499E+03
    0.95831E-03    0.83031E+03
    0.97767E-03    0.84590E+03
    0.99742E-03    0.86176E+03
    0.10176E-02    0.87790E+03
    0.10381E-02    0.89433E+03
    0.10591E-02    0.91104E+03
    0.10805E-02    0.92805E+03
    0.11023E-02    0.94535E+03
    0.11246E-02    0.96295E+03
    0.11473E-02    0.98085E+03
    0.11705E-02    0.99907E+03
    0.11941E-02    0.10176E+04
    0.12182E-02    0.10364E+04
    0.12429E-02    0.10556E+04
    0.12680E-02    0.10751E+04
    0.12936E-02    0.10949E+04
    0.13197E-02    0.11150E+04
    0.13464E-02    0.11355E+04
    0.13736E-02    0.11564E+04
    0.14013E-02    0.11775E+04
    0.14296E-02    0.11991E+04
    0.14585E-02    0.12209E+04
    0.14880E-02    0.12432E+04
    0.15180E-02    0.12658E+04
    0.15487E-02    0.12887E+04
    0.15800E-02    0.13120E+04
    0.16119E-02    0.13357E+04
    0.16445E-02    0.13598E+04
    0.16777E-02    0.13843E+04
    0.17116E-02    0.14091E+04
    0.17462E-02    0.14343E+04
    0.17814E-02    0.14600E+04
    0.18174E-02    0.14860E+04
    0.18541E-02    0.15124E+04
    0.18916E-02    0.15392E+04
    0.19298E-02    0.15664E+04
    0.19688E-02    0.15940E+04
    0.20086E-02    0.16220E+04
    0.20491E-02    0.16505E+04
    0.20905E-02    0.16793E+04
    0.21328E-02    0.17086E+04
    0.21758E-02    0.17382E+04
    0.22198E-02    0.17683E+04
    0.22646E-02    0.17989E+04
    0.23104E-02    0.18298E+04
    0.23571E-02    0.18612E+04
    0.24047E-02    0.18930E+04
    0.24533E-02    0.19252E+04
    0.25028E-02    0.19579E+04
    0.25534E-02    0.19910E+04
    0.26050E-02    0.20245E+04
    0.26576E-02    0.20584E+04
    0.27113E-02    0.20928E+04
    0.27660E-02    0.21276E+04
    0.28219E-02    0.21628E+04
    0.28789E-02    0.21985E+04
    0.29371E-02    0.22345E+04
    0.29964E-02    0.22710E+04
    0.30569E-02    0.23080E+04
    0.31187E-02    0.23453E+04
    0.31817E-02    0.23831E+04
    0.32460E-02    0.24213E+04
    0.33115E-02    0.24599E+04
    0.33784E-02    0.24989E+04
    0.34467E-02    0.25383E+04
    0.35163E-02    0.25781E+04
    0.35874E-02    0.26183E+04
    0.36598E-02    0.26589E+04
    0.37338E-02    0.26998E+04
    0.38092E-02    0.27412E+04
    0.38861E-02    0.27829E+04
    0.39646E-02    0.28250E+04
    0.40447E-02    0.28674E+04
    0.41264E-02    0.29102E+04
    0.42098E-02    0.29534E+04
    0.42948E-02    0.29968E+04
    0.43816E-02    0.30406E+04
    0.44701E-02    0.30847E+04
    0.45604E-02    0.31291E+04
    0.46525E-02    0.31737E+04
    0.47465E-02    0.32187E+04
    0.48424E-02    0.32639E+04
    0.49402E-02    0.33093E+04
    0.50400E-02    0.33550E+04
    0.51419E-02    0.34009E+04
    0.52457E-02    0.34470E+04
    0.53517E-02    0.34933E+04
    0.54598E-02    0.35398E+04
    0.55701E-02    0.35864E+04
    0.56826E-02    0.36331E+04
    0.57974E-02    0.36799E+04
    0.59145E-02    0.37269E+04
    0.60340E-02    0.37740E+04
    0.61559E-02    0.38211E+04
    0.62803E-02    0.38682E+04
    0.64072E-02    0.39152E+04
    0.65366E-02    0.39623E+04
    0.66686E-02    0.40093E+04
    0.68033E-02    0.40562E+04
    0.69408E-02    0.41030E+04
    0.70810E-02    0.41496E+04
    0.72240E-02    0.41961E+04
    0.73700E-02    0.42424E+04
    0.75189E-02    0.42884E+04
    0.76708E-02    0.43342E+04
    0.78257E-02    0.43796E+04
