#           k/h    P           
    0.10000E-03    0.95807E+02
    0.10202E-03    0.97664E+02
    0.10408E-03    0.99556E+02
    0.10618E-03    0.10149E+03
    0.10833E-03    0.10345E+03
    0.11052E-03    0.10546E+03
    0.11275E-03    0.10750E+03
    0.11503E-03    0.10958E+03
    0.11735E-03    0.11171E+03
    0.11972E-03    0.11387E+03
    0.12214E-03    0.11608E+03
    0.12461E-03    0.11833E+03
    0.12712E-03    0.12062E+03
    0.12969E-03    0.12296E+03
    0.13231E-03    0.12534E+03
    0.13499E-03    0.12777E+03
    0.13771E-03    0.13024E+03
    0.14049E-03    0.13276E+03
    0.14333E-03    0.13534E+03
    0.14623E-03    0.13796E+03
    0.14918E-03    0.14063E+03
    0.15220E-03    0.14335E+03
    0.15527E-03    0.14613E+03
    0.15841E-03    0.14896E+03
    0.16161E-03    0.15185E+03
    0.16487E-03    0.15479E+03
    0.16820E-03    0.15778E+03
    0.17160E-03    0.16084E+03
    0.17507E-03    0.16395E+03
    0.17860E-03    0.16713E+03
    0.18221E-03    0.17036E+03
    0.18589E-03    0.17366E+03
    0.18965E-03    0.17703E+03
    0.19348E-03    0.18045E+03
    0.19739E-03    0.18395E+03
    0.20138E-03    0.18751E+03
    0.20544E-03    0.19114E+03
    0.20959E-03    0.19484E+03
    0.21383E-03    0.19861E+03
    0.21815E-03    0.20245E+03
    0.22255E-03    0.20637E+03
    0.22705E-03    0.21036E+03
    0.23164E-03    0.21443E+03
    0.23632E-03    0.21858E+03
    0.24109E-03    0.22281E+03
    0.24596E-03    0.22712E+03
    0.25093E-03    0.23151E+03
    0.25600E-03    0.23599E+03
    0.26117E-03    0.24055E+03
    0.26645E-03    0.24520E+03
    0.27183E-03    0.24994E+03
    0.27732E-03    0.25477E+03
    0.28292E-03    0.25970E+03
    0.28864E-03    0.26472E+03
    0.29447E-03    0.26983E+03
    0.30042E-03    0.27505E+03
    0.30649E-03    0.28036E+03
    0.31268E-03    0.28578E+03
    0.31899E-03    0.29130E+03
    0.32544E-03    0.29692E+03
    0.33201E-03    0.30265E+03
    0.33872E-03    0.30850E+03
    0.34556E-03    0.31445E+03
    0.35254E-03    0.32052E+03
    0.35966E-03    0.32670E+03
    0.36693E-03    0.33300E+03
    0.37434E-03    0.33942E+03
    0.38190E-03    0.34597E+03
    0.38962E-03    0.35264E+03
    0.39749E-03    0.35943E+03
    0.40552E-03    0.36636E+03
    0.41371E-03    0.37342E+03
    0.42207E-03    0.38061E+03
    0.43060E-03    0.38794E+03
    0.43929E-03    0.39540E+03
    0.44817E-03    0.40301E+03
    0.45722E-03    0.41076E+03
    0.46646E-03    0.41866E+03
    0.47588E-03    0.42671E+03
    0.48550E-03    0.43491E+03
    0.49530E-03    0.44326E+03
    0.50531E-03    0.45177E+03
    0.51552E-03    0.46044E+03
    0.52593E-03    0.46927E+03
    0.53656E-03    0.47827E+03
    0.54739E-03    0.48744E+03
    0.55845E-03    0.49678E+03
    0.56973E-03    0.50630E+03
    0.58124E-03    0.51599E+03
    0.59299E-03    0.52586E+03
    0.60496E-03    0.53592E+03
    0.61719E-03    0.54616E+03
    0.62965E-03    0.55659E+03
    0.64237E-03    0.56722E+03
    0.65535E-03    0.57804E+03
    0.66859E-03    0.58906E+03
    0.68210E-03    0.60029E+03
    0.69588E-03    0.61172E+03
    0.70993E-03    0.62336E+03
    0.72427E-03    0.63521E+03
    0.73891E-03    0.64728E+03
    0.75383E-03    0.65958E+03
    0.76906E-03    0.67209E+03
