#           k/h    P           
    0.10000E-03    0.93127E+02
    0.10202E-03    0.94932E+02
    0.10408E-03    0.96771E+02
    0.10618E-03    0.98646E+02
    0.10833E-03    0.10056E+03
    0.11052E-03    0.10251E+03
    0.11275E-03    0.10449E+03
    0.11503E-03    0.10652E+03
    0.11735E-03    0.10858E+03
    0.11972E-03    0.11068E+03
    0.12214E-03    0.11283E+03
    0.12461E-03    0.11501E+03
    0.12712E-03    0.11724E+03
    0.12969E-03    0.11951E+03
    0.13231E-03    0.12183E+03
    0.13499E-03    0.12419E+03
    0.13771E-03    0.12659E+03
    0.14049E-03    0.12904E+03
    0.14333E-03    0.13154E+03
    0.14623E-03    0.13409E+03
    0.14918E-03    0.13669E+03
    0.15220E-03    0.13933E+03
    0.15527E-03    0.14203E+03
    0.15841E-03    0.14478E+03
    0.16161E-03    0.14759E+03
    0.16487E-03    0.15044E+03
    0.16820E-03    0.15336E+03
    0.17160E-03    0.15632E+03
    0.17507E-03    0.15935E+03
    0.17860E-03    0.16244E+03
    0.18221E-03    0.16558E+03
    0.18589E-03    0.16878E+03
    0.18965E-03    0.17205E+03
    0.19348E-03    0.17538E+03
    0.19739E-03    0.17878E+03
    0.20138E-03    0.18223E+03
    0.20544E-03    0.18576E+03
    0.20959E-03    0.18935E+03
    0.21383E-03    0.19302E+03
    0.21815E-03    0.19675E+03
    0.22255E-03    0.20056E+03
    0.22705E-03    0.20444E+03
    0.23164E-03    0.20839E+03
    0.23632E-03    0.21242E+03
    0.24109E-03    0.21653E+03
    0.24596E-03    0.22071E+03
    0.25093E-03    0.22498E+03
    0.25600E-03    0.22933E+03
    0.26117E-03    0.23376E+03
    0.26645E-03    0.23828E+03
    0.27183E-03    0.24288E+03
    0.27732E-03    0.24758E+03
    0.28292E-03    0.25236E+03
    0.28864E-03    0.25723E+03
    0.29447E-03    0.26220E+03
    0.30042E-03    0.26726E+03
    0.30649E-03    0.27242E+03
    0.31268E-03    0.27768E+03
    0.31899E-03    0.28304E+03
    0.32544E-03    0.28850E+03
    0.33201E-03    0.29407E+03
    0.33872E-03    0.29974E+03
    0.34556E-03    0.30552E+03
    0.35254E-03    0.31142E+03
    0.35966E-03    0.31742E+03
    0.36693E-03    0.32354E+03
    0.37434E-03    0.32977E+03
    0.38190E-03    0.33613E+03
    0.38962E-03    0.34260E+03
    0.39749E-03    0.34920E+03
    0.40552E-03    0.35592E+03
    0.41371E-03    0.36278E+03
    0.42207E-03    0.36976E+03
    0.43060E-03    0.37687E+03
    0.43929E-03    0.38412E+03
    0.44817E-03    0.39150E+03
    0.45722E-03    0.39903E+03
    0.46646E-03    0.40670E+03
    0.47588E-03    0.41451E+03
    0.48550E-03    0.42247E+03
    0.49530E-03    0.43058E+03
    0.50531E-03    0.43884E+03
    0.51552E-03    0.44726E+03
    0.52593E-03    0.45583E+03
    0.53656E-03    0.46457E+03
    0.54739E-03    0.47347E+03
    0.55845E-03    0.48254E+03
    0.56973E-03    0.49178E+03
    0.58124E-03    0.50119E+03
    0.59299E-03    0.51077E+03
    0.60496E-03    0.52053E+03
    0.61719E-03    0.53048E+03
    0.62965E-03    0.54061E+03
    0.64237E-03    0.55093E+03
    0.65535E-03    0.56144E+03
    0.66859E-03    0.57214E+03
    0.68210E-03    0.58304E+03
    0.69588E-03    0.59414E+03
    0.70993E-03    0.60545E+03
    0.72427E-03    0.61696E+03
    0.73891E-03    0.62868E+03
    0.75383E-03    0.64062E+03
    0.76906E-03    0.65278E+03
    0.78460E-03    0.66515E+03
    0.80045E-03    0.67776E+03
    0.81662E-03    0.69059E+03
    0.83311E-03    0.70365E+03
    0.84994E-03    0.71695E+03
    0.86711E-03    0.73049E+03
    0.88463E-03    0.74427E+03
    0.90250E-03    0.75830E+03
    0.92073E-03    0.77258E+03
    0.93933E-03    0.78711E+03
    0.95831E-03    0.80191E+03
    0.97767E-03    0.81696E+03
    0.99742E-03    0.83228E+03
    0.10176E-02    0.84787E+03
    0.10381E-02    0.86373E+03
    0.10591E-02    0.87988E+03
    0.10805E-02    0.89630E+03
    0.11023E-02    0.91301E+03
    0.11246E-02    0.93001E+03
    0.11473E-02    0.94730E+03
    0.11705E-02    0.96489E+03
    0.11941E-02    0.98279E+03
    0.12182E-02    0.10010E+04
    0.12429E-02    0.10195E+04
    0.12680E-02    0.10383E+04
    0.12936E-02    0.10574E+04
    0.13197E-02    0.10769E+04
    0.13464E-02    0.10967E+04
    0.13736E-02    0.11168E+04
    0.14013E-02    0.11373E+04
    0.14296E-02    0.11580E+04
    0.14585E-02    0.11792E+04
    0.14880E-02    0.12006E+04
    0.15180E-02    0.12225E+04
    0.15487E-02    0.12446E+04
    0.15800E-02    0.12672E+04
    0.16119E-02    0.12901E+04
    0.16445E-02    0.13133E+04
    0.16777E-02    0.13369E+04
    0.17116E-02    0.13609E+04
    0.17462E-02    0.13853E+04
    0.17814E-02    0.14100E+04
    0.18174E-02    0.14351E+04
    0.18541E-02    0.14606E+04
    0.18916E-02    0.14865E+04
    0.19298E-02    0.15128E+04
    0.19688E-02    0.15395E+04
    0.20086E-02    0.15665E+04
    0.20491E-02    0.15940E+04
    0.20905E-02    0.16219E+04
    0.21328E-02    0.16501E+04
    0.21758E-02    0.16788E+04
    0.22198E-02    0.17079E+04
    0.22646E-02    0.17373E+04
    0.23104E-02    0.17672E+04
    0.23571E-02    0.17975E+04
    0.24047E-02    0.18282E+04
    0.24533E-02    0.18594E+04
    0.25028E-02    0.18909E+04
    0.25534E-02    0.19229E+04
    0.26050E-02    0.19552E+04
    0.26576E-02    0.19880E+04
    0.27113E-02    0.20212E+04
    0.27660E-02    0.20548E+04
    0.28219E-02    0.20888E+04
    0.28789E-02    0.21233E+04
    0.29371E-02    0.21581E+04
    0.29964E-02    0.21934E+04
    0.30569E-02    0.22290E+04
    0.31187E-02    0.22651E+04
    0.31817E-02    0.23016E+04
    0.32460E-02    0.23385E+04
    0.33115E-02    0.23757E+04
    0.33784E-02    0.24134E+04
    0.34467E-02    0.24515E+04
    0.35163E-02    0.24899E+04
    0.35874E-02    0.25287E+04
    0.36598E-02    0.25679E+04
    0.37338E-02    0.26075E+04
    0.38092E-02    0.26474E+04
    0.38861E-02    0.26877E+04
    0.39646E-02    0.27284E+04
    0.40447E-02    0.27694E+04
    0.41264E-02    0.28107E+04
    0.42098E-02    0.28523E+04
    0.42948E-02    0.28943E+04
    0.43816E-02    0.29366E+04
    0.44701E-02    0.29792E+04
    0.45604E-02    0.30220E+04
    0.46525E-02    0.30652E+04
    0.47465E-02    0.31086E+04
    0.48424E-02    0.31523E+04
    0.49402E-02    0.31962E+04
    0.50400E-02    0.32403E+04
    0.51419E-02    0.32846E+04
    0.52457E-02    0.33291E+04
    0.53517E-02    0.33739E+04
    0.54598E-02    0.34187E+04
    0.55701E-02    0.34637E+04
    0.56826E-02    0.35089E+04
    0.57974E-02    0.35541E+04
    0.59145E-02    0.35995E+04
    0.60340E-02    0.36450E+04
    0.61559E-02    0.36905E+04
    0.62803E-02    0.37359E+04
    0.64072E-02    0.37814E+04
    0.65366E-02    0.38268E+04
    0.66686E-02    0.38722E+04
    0.68033E-02    0.39175E+04
    0.69408E-02    0.39627E+04
    0.70810E-02    0.40077E+04
    0.72240E-02    0.40526E+04
    0.73700E-02    0.40973E+04
