#           k/h    P           
    0.10000E-03    0.33157E+03
    0.10202E-03    0.33799E+03
    0.10408E-03    0.34454E+03
    0.10618E-03    0.35121E+03
    0.10833E-03    0.35801E+03
    0.11052E-03    0.36495E+03
    0.11275E-03    0.37202E+03
    0.11503E-03    0.37922E+03
    0.11735E-03    0.38656E+03
    0.11972E-03    0.39405E+03
    0.12214E-03    0.40168E+03
    0.12461E-03    0.40945E+03
    0.12712E-03    0.41738E+03
    0.12969E-03    0.42546E+03
    0.13231E-03    0.43370E+03
    0.13499E-03    0.44209E+03
    0.13771E-03    0.45065E+03
    0.14049E-03    0.45937E+03
    0.14333E-03    0.46826E+03
    0.14623E-03    0.47733E+03
    0.14918E-03    0.48656E+03
    0.15220E-03    0.49598E+03
    0.15527E-03    0.50558E+03
    0.15841E-03    0.51536E+03
    0.16161E-03    0.52533E+03
    0.16487E-03    0.53549E+03
    0.16820E-03    0.54585E+03
    0.17160E-03    0.55641E+03
    0.17507E-03    0.56717E+03
    0.17860E-03    0.57814E+03
    0.18221E-03    0.58932E+03
    0.18589E-03    0.60071E+03
    0.18965E-03    0.61233E+03
    0.19348E-03    0.62417E+03
    0.19739E-03    0.63623E+03
    0.20138E-03    0.64853E+03
    0.20544E-03    0.66107E+03
    0.20959E-03    0.67384E+03
    0.21383E-03    0.68686E+03
    0.21815E-03    0.70013E+03
    0.22255E-03    0.71366E+03
    0.22705E-03    0.72745E+03
    0.23164E-03    0.74150E+03
    0.23632E-03    0.75582E+03
    0.24109E-03    0.77041E+03
    0.24596E-03    0.78529E+03
    0.25093E-03    0.80045E+03
    0.25600E-03    0.81590E+03
    0.26117E-03    0.83164E+03
    0.26645E-03    0.84769E+03
    0.27183E-03    0.86405E+03
    0.27732E-03    0.88072E+03
    0.28292E-03    0.89771E+03
    0.28864E-03    0.91502E+03
    0.29447E-03    0.93266E+03
    0.30042E-03    0.95065E+03
    0.30649E-03    0.96897E+03
    0.31268E-03    0.98765E+03
    0.31899E-03    0.10067E+04
    0.32544E-03    0.10261E+04
    0.33201E-03    0.10458E+04
    0.33872E-03    0.10660E+04
    0.34556E-03    0.10865E+04
