#           k/h    P           
    0.10000E-03    0.10357E+03
    0.10202E-03    0.10557E+03
    0.10408E-03    0.10762E+03
    0.10618E-03    0.10970E+03
    0.10833E-03    0.11183E+03
    0.11052E-03    0.11399E+03
    0.11275E-03    0.11620E+03
    0.11503E-03    0.11845E+03
    0.11735E-03    0.12075E+03
    0.11972E-03    0.12309E+03
    0.12214E-03    0.12547E+03
    0.12461E-03    0.12790E+03
    0.12712E-03    0.13038E+03
    0.12969E-03    0.13291E+03
    0.13231E-03    0.13548E+03
    0.13499E-03    0.13810E+03
    0.13771E-03    0.14078E+03
    0.14049E-03    0.14351E+03
    0.14333E-03    0.14629E+03
    0.14623E-03    0.14912E+03
    0.14918E-03    0.15201E+03
    0.15220E-03    0.15495E+03
    0.15527E-03    0.15795E+03
    0.15841E-03    0.16101E+03
    0.16161E-03    0.16413E+03
    0.16487E-03    0.16730E+03
    0.16820E-03    0.17054E+03
    0.17160E-03    0.17384E+03
    0.17507E-03    0.17721E+03
    0.17860E-03    0.18064E+03
    0.18221E-03    0.18414E+03
    0.18589E-03    0.18770E+03
    0.18965E-03    0.19133E+03
    0.19348E-03    0.19503E+03
    0.19739E-03    0.19881E+03
    0.20138E-03    0.20266E+03
    0.20544E-03    0.20658E+03
    0.20959E-03    0.21057E+03
    0.21383E-03    0.21465E+03
    0.21815E-03    0.21880E+03
    0.22255E-03    0.22303E+03
    0.22705E-03    0.22734E+03
    0.23164E-03    0.23174E+03
    0.23632E-03    0.23622E+03
    0.24109E-03    0.24079E+03
    0.24596E-03    0.24544E+03
    0.25093E-03    0.25019E+03
    0.25600E-03    0.25502E+03
    0.26117E-03    0.25995E+03
    0.26645E-03    0.26498E+03
    0.27183E-03    0.27010E+03
    0.27732E-03    0.27531E+03
    0.28292E-03    0.28063E+03
    0.28864E-03    0.28605E+03
    0.29447E-03    0.29158E+03
    0.30042E-03    0.29721E+03
    0.30649E-03    0.30294E+03
    0.31268E-03    0.30879E+03
    0.31899E-03    0.31475E+03
    0.32544E-03    0.32082E+03
    0.33201E-03    0.32701E+03
    0.33872E-03    0.33332E+03
    0.34556E-03    0.33975E+03
    0.35254E-03    0.34630E+03
    0.35966E-03    0.35298E+03
    0.36693E-03    0.35978E+03
    0.37434E-03    0.36671E+03
    0.38190E-03    0.37378E+03
    0.38962E-03    0.38098E+03
    0.39749E-03    0.38831E+03
    0.40552E-03    0.39579E+03
    0.41371E-03    0.40340E+03
    0.42207E-03    0.41117E+03
    0.43060E-03    0.41908E+03
    0.43929E-03    0.42714E+03
    0.44817E-03    0.43535E+03
    0.45722E-03    0.44371E+03
    0.46646E-03    0.45224E+03
    0.47588E-03    0.46093E+03
    0.48550E-03    0.46977E+03
    0.49530E-03    0.47879E+03
    0.50531E-03    0.48798E+03
    0.51552E-03    0.49734E+03
    0.52593E-03    0.50687E+03
    0.53656E-03    0.51659E+03
    0.54739E-03    0.52648E+03
    0.55845E-03    0.53656E+03
    0.56973E-03    0.54683E+03
    0.58124E-03    0.55730E+03
    0.59299E-03    0.56795E+03
    0.60496E-03    0.57881E+03
    0.61719E-03    0.58986E+03
    0.62965E-03    0.60113E+03
    0.64237E-03    0.61260E+03
    0.65535E-03    0.62428E+03
    0.66859E-03    0.63618E+03
    0.68210E-03    0.64830E+03
    0.69588E-03    0.66064E+03
    0.70993E-03    0.67321E+03
    0.72427E-03    0.68601E+03
    0.73891E-03    0.69905E+03
    0.75383E-03    0.71232E+03
    0.76906E-03    0.72584E+03
    0.78460E-03    0.73960E+03
    0.80045E-03    0.75361E+03
    0.81662E-03    0.76787E+03
    0.83311E-03    0.78240E+03
    0.84994E-03    0.79719E+03
    0.86711E-03    0.81224E+03
    0.88463E-03    0.82756E+03
    0.90250E-03    0.84316E+03
    0.92073E-03    0.85903E+03
    0.93933E-03    0.87519E+03
    0.95831E-03    0.89164E+03
    0.97767E-03    0.90838E+03
