#           k/h    P           
    0.10000E-03    0.71750E+02
    0.10202E-03    0.73141E+02
    0.10408E-03    0.74558E+02
    0.10618E-03    0.76003E+02
    0.10833E-03    0.77475E+02
    0.11052E-03    0.78976E+02
    0.11275E-03    0.80507E+02
    0.11503E-03    0.82066E+02
    0.11735E-03    0.83656E+02
    0.11972E-03    0.85277E+02
    0.12214E-03    0.86929E+02
    0.12461E-03    0.88613E+02
    0.12712E-03    0.90330E+02
    0.12969E-03    0.92080E+02
    0.13231E-03    0.93863E+02
    0.13499E-03    0.95681E+02
    0.13771E-03    0.97535E+02
    0.14049E-03    0.99424E+02
    0.14333E-03    0.10135E+03
    0.14623E-03    0.10331E+03
    0.14918E-03    0.10531E+03
    0.15220E-03    0.10735E+03
    0.15527E-03    0.10943E+03
    0.15841E-03    0.11155E+03
    0.16161E-03    0.11371E+03
    0.16487E-03    0.11591E+03
    0.16820E-03    0.11816E+03
    0.17160E-03    0.12044E+03
    0.17507E-03    0.12278E+03
    0.17860E-03    0.12515E+03
    0.18221E-03    0.12758E+03
    0.18589E-03    0.13005E+03
    0.18965E-03    0.13256E+03
    0.19348E-03    0.13513E+03
    0.19739E-03    0.13774E+03
    0.20138E-03    0.14041E+03
    0.20544E-03    0.14313E+03
    0.20959E-03    0.14590E+03
    0.21383E-03    0.14872E+03
    0.21815E-03    0.15160E+03
    0.22255E-03    0.15453E+03
    0.22705E-03    0.15752E+03
    0.23164E-03    0.16056E+03
    0.23632E-03    0.16367E+03
    0.24109E-03    0.16684E+03
    0.24596E-03    0.17006E+03
    0.25093E-03    0.17335E+03
    0.25600E-03    0.17670E+03
    0.26117E-03    0.18012E+03
    0.26645E-03    0.18360E+03
    0.27183E-03    0.18715E+03
    0.27732E-03    0.19076E+03
    0.28292E-03    0.19445E+03
    0.28864E-03    0.19820E+03
    0.29447E-03    0.20203E+03
    0.30042E-03    0.20594E+03
    0.30649E-03    0.20991E+03
    0.31268E-03    0.21397E+03
    0.31899E-03    0.21810E+03
    0.32544E-03    0.22231E+03
    0.33201E-03    0.22660E+03
    0.33872E-03    0.23097E+03
    0.34556E-03    0.23542E+03
    0.35254E-03    0.23996E+03
    0.35966E-03    0.24459E+03
    0.36693E-03    0.24931E+03
    0.37434E-03    0.25411E+03
    0.38190E-03    0.25901E+03
