#           k/h    P           
    0.10000E-03    0.49750E+02
    0.10202E-03    0.50714E+02
    0.10408E-03    0.51697E+02
    0.10618E-03    0.52699E+02
    0.10833E-03    0.53720E+02
    0.11052E-03    0.54761E+02
    0.11275E-03    0.55822E+02
    0.11503E-03    0.56903E+02
    0.11735E-03    0.58006E+02
    0.11972E-03    0.59130E+02
    0.12214E-03    0.60275E+02
    0.12461E-03    0.61443E+02
    0.12712E-03    0.62633E+02
    0.12969E-03    0.63847E+02
    0.13231E-03    0.65083E+02
    0.13499E-03    0.66344E+02
    0.13771E-03    0.67629E+02
    0.14049E-03    0.68939E+02
    0.14333E-03    0.70275E+02
    0.14623E-03    0.71636E+02
    0.14918E-03    0.73023E+02
    0.15220E-03    0.74438E+02
    0.15527E-03    0.75879E+02
    0.15841E-03    0.77349E+02
    0.16161E-03    0.78847E+02
    0.16487E-03    0.80373E+02
    0.16820E-03    0.81930E+02
    0.17160E-03    0.83516E+02
    0.17507E-03    0.85133E+02
    0.17860E-03    0.86782E+02
    0.18221E-03    0.88462E+02
    0.18589E-03    0.90174E+02
    0.18965E-03    0.91920E+02
    0.19348E-03    0.93699E+02
    0.19739E-03    0.95513E+02
    0.20138E-03    0.97361E+02
    0.20544E-03    0.99246E+02
    0.20959E-03    0.10117E+03
    0.21383E-03    0.10312E+03
    0.21815E-03    0.10512E+03
    0.22255E-03    0.10715E+03
    0.22705E-03    0.10923E+03
    0.23164E-03    0.11134E+03
    0.23632E-03    0.11349E+03
    0.24109E-03    0.11569E+03
    0.24596E-03    0.11793E+03
    0.25093E-03    0.12021E+03
    0.25600E-03    0.12253E+03
    0.26117E-03    0.12490E+03
    0.26645E-03    0.12731E+03
    0.27183E-03    0.12977E+03
    0.27732E-03    0.13228E+03
    0.28292E-03    0.13484E+03
    0.28864E-03    0.13744E+03
    0.29447E-03    0.14010E+03
    0.30042E-03    0.14281E+03
    0.30649E-03    0.14556E+03
    0.31268E-03    0.14838E+03
    0.31899E-03    0.15124E+03
    0.32544E-03    0.15416E+03
    0.33201E-03    0.15714E+03
    0.33872E-03    0.16017E+03
    0.34556E-03    0.16326E+03
    0.35254E-03    0.16641E+03
    0.35966E-03    0.16962E+03
    0.36693E-03    0.17289E+03
    0.37434E-03    0.17623E+03
    0.38190E-03    0.17962E+03
    0.38962E-03    0.18308E+03
    0.39749E-03    0.18661E+03
    0.40552E-03    0.19021E+03
    0.41371E-03    0.19387E+03
    0.42207E-03    0.19760E+03
    0.43060E-03    0.20141E+03
    0.43929E-03    0.20528E+03
    0.44817E-03    0.20923E+03
    0.45722E-03    0.21326E+03
    0.46646E-03    0.21736E+03
    0.47588E-03    0.22154E+03
    0.48550E-03    0.22579E+03
    0.49530E-03    0.23013E+03
    0.50531E-03    0.23455E+03
    0.51552E-03    0.23905E+03
    0.52593E-03    0.24364E+03
    0.53656E-03    0.24831E+03
    0.54739E-03    0.25307E+03
    0.55845E-03    0.25793E+03
    0.56973E-03    0.26287E+03
    0.58124E-03    0.26790E+03
    0.59299E-03    0.27303E+03
    0.60496E-03    0.27825E+03
    0.61719E-03    0.28357E+03
    0.62965E-03    0.28899E+03
    0.64237E-03    0.29451E+03
    0.65535E-03    0.30013E+03
    0.66859E-03    0.30586E+03
    0.68210E-03    0.31169E+03
    0.69588E-03    0.31763E+03
    0.70993E-03    0.32368E+03
    0.72427E-03    0.32984E+03
    0.73891E-03    0.33611E+03
    0.75383E-03    0.34250E+03
    0.76906E-03    0.34900E+03
    0.78460E-03    0.35563E+03
    0.80045E-03    0.36237E+03
    0.81662E-03    0.36924E+03
    0.83311E-03    0.37623E+03
    0.84994E-03    0.38335E+03
    0.86711E-03    0.39059E+03
    0.88463E-03    0.39797E+03
    0.90250E-03    0.40547E+03
    0.92073E-03    0.41311E+03
    0.93933E-03    0.42089E+03
    0.95831E-03    0.42881E+03
    0.97767E-03    0.43686E+03
    0.99742E-03    0.44506E+03
    0.10176E-02    0.45341E+03
    0.10381E-02    0.46190E+03
    0.10591E-02    0.47053E+03
    0.10805E-02    0.47932E+03
    0.11023E-02    0.48827E+03
    0.11246E-02    0.49736E+03
    0.11473E-02    0.50662E+03
    0.11705E-02    0.51603E+03
    0.11941E-02    0.52560E+03
    0.12182E-02    0.53534E+03
    0.12429E-02    0.54525E+03
    0.12680E-02    0.55532E+03
    0.12936E-02    0.56556E+03
    0.13197E-02    0.57597E+03
    0.13464E-02    0.58656E+03
    0.13736E-02    0.59732E+03
    0.14013E-02    0.60826E+03
    0.14296E-02    0.61938E+03
    0.14585E-02    0.63069E+03
    0.14880E-02    0.64218E+03
    0.15180E-02    0.65385E+03
    0.15487E-02    0.66571E+03
    0.15800E-02    0.67777E+03
    0.16119E-02    0.69001E+03
    0.16445E-02    0.70246E+03
    0.16777E-02    0.71509E+03
    0.17116E-02    0.72793E+03
    0.17462E-02    0.74096E+03
    0.17814E-02    0.75420E+03
    0.18174E-02    0.76764E+03
    0.18541E-02    0.78128E+03
    0.18916E-02    0.79513E+03
    0.19298E-02    0.80919E+03
    0.19688E-02    0.82346E+03
    0.20086E-02    0.83794E+03
    0.20491E-02    0.85263E+03
    0.20905E-02    0.86753E+03
    0.21328E-02    0.88265E+03
    0.21758E-02    0.89799E+03
    0.22198E-02    0.91355E+03
    0.22646E-02    0.92932E+03
    0.23104E-02    0.94531E+03
    0.23571E-02    0.96152E+03
    0.24047E-02    0.97795E+03
    0.24533E-02    0.99460E+03
    0.25028E-02    0.10115E+04
    0.25534E-02    0.10286E+04
    0.26050E-02    0.10459E+04
    0.26576E-02    0.10634E+04
    0.27113E-02    0.10812E+04
    0.27660E-02    0.10992E+04
    0.28219E-02    0.11174E+04
    0.28789E-02    0.11358E+04
    0.29371E-02    0.11544E+04
    0.29964E-02    0.11733E+04
    0.30569E-02    0.11924E+04
    0.31187E-02    0.12117E+04
    0.31817E-02    0.12312E+04
    0.32460E-02    0.12509E+04
    0.33115E-02    0.12709E+04
    0.33784E-02    0.12910E+04
    0.34467E-02    0.13114E+04
    0.35163E-02    0.13320E+04
    0.35874E-02    0.13528E+04
    0.36598E-02    0.13737E+04
    0.37338E-02    0.13949E+04
    0.38092E-02    0.14163E+04
    0.38861E-02    0.14378E+04
    0.39646E-02    0.14596E+04
    0.40447E-02    0.14815E+04
    0.41264E-02    0.15036E+04
    0.42098E-02    0.15259E+04
    0.42948E-02    0.15484E+04
    0.43816E-02    0.15710E+04
    0.44701E-02    0.15938E+04
    0.45604E-02    0.16168E+04
    0.46525E-02    0.16398E+04
    0.47465E-02    0.16631E+04
    0.48424E-02    0.16864E+04
    0.49402E-02    0.17099E+04
    0.50400E-02    0.17336E+04
    0.51419E-02    0.17573E+04
    0.52457E-02    0.17811E+04
    0.53517E-02    0.18051E+04
    0.54598E-02    0.18291E+04
    0.55701E-02    0.18532E+04
    0.56826E-02    0.18773E+04
    0.57974E-02    0.19015E+04
    0.59145E-02    0.19258E+04
    0.60340E-02    0.19502E+04
    0.61559E-02    0.19745E+04
    0.62803E-02    0.19989E+04
    0.64072E-02    0.20232E+04
    0.65366E-02    0.20475E+04
    0.66686E-02    0.20718E+04
    0.68033E-02    0.20961E+04
    0.69408E-02    0.21203E+04
    0.70810E-02    0.21444E+04
    0.72240E-02    0.21684E+04
    0.73700E-02    0.21924E+04
    0.75189E-02    0.22162E+04
    0.76708E-02    0.22399E+04
    0.78257E-02    0.22634E+04
    0.79838E-02    0.22867E+04
    0.81451E-02    0.23098E+04
    0.83096E-02    0.23328E+04
    0.84775E-02    0.23555E+04
    0.86488E-02    0.23780E+04
    0.88235E-02    0.24002E+04
    0.90017E-02    0.24221E+04
    0.91836E-02    0.24437E+04
    0.93691E-02    0.24649E+04
    0.95583E-02    0.24859E+04
    0.97514E-02    0.25064E+04
    0.99484E-02    0.25265E+04
    0.10149E-01    0.25462E+04
    0.10354E-01    0.25654E+04
    0.10564E-01    0.25842E+04
    0.10777E-01    0.26024E+04
    0.10995E-01    0.26201E+04
    0.11217E-01    0.26372E+04
    0.11443E-01    0.26537E+04
    0.11675E-01    0.26697E+04
    0.11910E-01    0.26849E+04
    0.12151E-01    0.26995E+04
    0.12397E-01    0.27134E+04
    0.12647E-01    0.27266E+04
    0.12902E-01    0.27390E+04
    0.13163E-01    0.27505E+04
    0.13429E-01    0.27613E+04
    0.13700E-01    0.27712E+04
    0.13977E-01    0.27803E+04
    0.14259E-01    0.27884E+04
    0.14547E-01    0.27955E+04
