#           k/h    P           
    0.10000E-03    0.13547E+03
    0.10202E-03    0.13809E+03
    0.10408E-03    0.14077E+03
    0.10618E-03    0.14350E+03
    0.10833E-03    0.14628E+03
    0.11052E-03    0.14911E+03
    0.11275E-03    0.15200E+03
    0.11503E-03    0.15494E+03
    0.11735E-03    0.15795E+03
    0.11972E-03    0.16101E+03
    0.12214E-03    0.16412E+03
    0.12461E-03    0.16730E+03
    0.12712E-03    0.17054E+03
    0.12969E-03    0.17385E+03
    0.13231E-03    0.17721E+03
    0.13499E-03    0.18065E+03
    0.13771E-03    0.18415E+03
    0.14049E-03    0.18771E+03
    0.14333E-03    0.19135E+03
    0.14623E-03    0.19505E+03
    0.14918E-03    0.19883E+03
    0.15220E-03    0.20268E+03
    0.15527E-03    0.20660E+03
    0.15841E-03    0.21060E+03
    0.16161E-03    0.21468E+03
    0.16487E-03    0.21884E+03
    0.16820E-03    0.22307E+03
    0.17160E-03    0.22739E+03
    0.17507E-03    0.23179E+03
    0.17860E-03    0.23628E+03
    0.18221E-03    0.24085E+03
    0.18589E-03    0.24551E+03
    0.18965E-03    0.25026E+03
    0.19348E-03    0.25510E+03
    0.19739E-03    0.26004E+03
    0.20138E-03    0.26507E+03
    0.20544E-03    0.27020E+03
    0.20959E-03    0.27542E+03
    0.21383E-03    0.28075E+03
    0.21815E-03    0.28618E+03
    0.22255E-03    0.29172E+03
    0.22705E-03    0.29736E+03
    0.23164E-03    0.30311E+03
    0.23632E-03    0.30896E+03
    0.24109E-03    0.31494E+03
    0.24596E-03    0.32102E+03
    0.25093E-03    0.32723E+03
    0.25600E-03    0.33355E+03
    0.26117E-03    0.34000E+03
    0.26645E-03    0.34657E+03
    0.27183E-03    0.35326E+03
    0.27732E-03    0.36008E+03
    0.28292E-03    0.36704E+03
    0.28864E-03    0.37412E+03
    0.29447E-03    0.38135E+03
    0.30042E-03    0.38871E+03
    0.30649E-03    0.39621E+03
    0.31268E-03    0.40386E+03
    0.31899E-03    0.41165E+03
    0.32544E-03    0.41959E+03
    0.33201E-03    0.42768E+03
    0.33872E-03    0.43593E+03
    0.34556E-03    0.44433E+03
    0.35254E-03    0.45290E+03
    0.35966E-03    0.46163E+03
    0.36693E-03    0.47052E+03
    0.37434E-03    0.47959E+03
    0.38190E-03    0.48882E+03
    0.38962E-03    0.49823E+03
    0.39749E-03    0.50782E+03
    0.40552E-03    0.51760E+03
    0.41371E-03    0.52756E+03
    0.42207E-03    0.53771E+03
    0.43060E-03    0.54805E+03
    0.43929E-03    0.55858E+03
    0.44817E-03    0.56932E+03
    0.45722E-03    0.58026E+03
    0.46646E-03    0.59140E+03
    0.47588E-03    0.60276E+03
    0.48550E-03    0.61433E+03
    0.49530E-03    0.62611E+03
    0.50531E-03    0.63812E+03
    0.51552E-03    0.65036E+03
    0.52593E-03    0.66282E+03
    0.53656E-03    0.67552E+03
    0.54739E-03    0.68846E+03
    0.55845E-03    0.70164E+03
    0.56973E-03    0.71506E+03
    0.58124E-03    0.72874E+03
    0.59299E-03    0.74267E+03
    0.60496E-03    0.75686E+03
    0.61719E-03    0.77132E+03
    0.62965E-03    0.78604E+03
    0.64237E-03    0.80104E+03
    0.65535E-03    0.81631E+03
