#           k/h    P           
    0.10000E-03    0.14649E+03
    0.10202E-03    0.14933E+03
    0.10408E-03    0.15223E+03
    0.10618E-03    0.15517E+03
    0.10833E-03    0.15818E+03
    0.11052E-03    0.16125E+03
    0.11275E-03    0.16437E+03
    0.11503E-03    0.16755E+03
    0.11735E-03    0.17080E+03
    0.11972E-03    0.17411E+03
    0.12214E-03    0.17748E+03
    0.12461E-03    0.18092E+03
    0.12712E-03    0.18443E+03
    0.12969E-03    0.18800E+03
    0.13231E-03    0.19164E+03
    0.13499E-03    0.19535E+03
    0.13771E-03    0.19914E+03
    0.14049E-03    0.20299E+03
    0.14333E-03    0.20693E+03
    0.14623E-03    0.21093E+03
    0.14918E-03    0.21502E+03
    0.15220E-03    0.21918E+03
    0.15527E-03    0.22343E+03
    0.15841E-03    0.22775E+03
    0.16161E-03    0.23216E+03
    0.16487E-03    0.23666E+03
    0.16820E-03    0.24124E+03
    0.17160E-03    0.24591E+03
    0.17507E-03    0.25067E+03
    0.17860E-03    0.25553E+03
    0.18221E-03    0.26047E+03
    0.18589E-03    0.26551E+03
    0.18965E-03    0.27065E+03
    0.19348E-03    0.27589E+03
    0.19739E-03    0.28123E+03
    0.20138E-03    0.28667E+03
    0.20544E-03    0.29222E+03
    0.20959E-03    0.29787E+03
    0.21383E-03    0.30364E+03
    0.21815E-03    0.30951E+03
    0.22255E-03    0.31550E+03
    0.22705E-03    0.32160E+03
    0.23164E-03    0.32782E+03
    0.23632E-03    0.33416E+03
    0.24109E-03    0.34062E+03
    0.24596E-03    0.34721E+03
    0.25093E-03    0.35392E+03
    0.25600E-03    0.36077E+03
    0.26117E-03    0.36774E+03
    0.26645E-03    0.37485E+03
    0.27183E-03    0.38209E+03
    0.27732E-03    0.38947E+03
    0.28292E-03    0.39700E+03
    0.28864E-03    0.40467E+03
    0.29447E-03    0.41248E+03
    0.30042E-03    0.42045E+03
    0.30649E-03    0.42857E+03
    0.31268E-03    0.43684E+03
    0.31899E-03    0.44527E+03
    0.32544E-03    0.45387E+03
    0.33201E-03    0.46263E+03
    0.33872E-03    0.47155E+03
    0.34556E-03    0.48065E+03
    0.35254E-03    0.48992E+03
    0.35966E-03    0.49936E+03
    0.36693E-03    0.50899E+03
    0.37434E-03    0.51880E+03
    0.38190E-03    0.52879E+03
    0.38962E-03    0.53898E+03
    0.39749E-03    0.54936E+03
    0.40552E-03    0.55994E+03
    0.41371E-03    0.57072E+03
    0.42207E-03    0.58170E+03
    0.43060E-03    0.59289E+03
    0.43929E-03    0.60430E+03
    0.44817E-03    0.61592E+03
    0.45722E-03    0.62775E+03
    0.46646E-03    0.63982E+03
    0.47588E-03    0.65211E+03
    0.48550E-03    0.66463E+03
    0.49530E-03    0.67738E+03
    0.50531E-03    0.69038E+03
    0.51552E-03    0.70362E+03
    0.52593E-03    0.71711E+03
    0.53656E-03    0.73086E+03
    0.54739E-03    0.74486E+03
    0.55845E-03    0.75912E+03
    0.56973E-03    0.77365E+03
    0.58124E-03    0.78845E+03
    0.59299E-03    0.80352E+03
    0.60496E-03    0.81888E+03
    0.61719E-03    0.83452E+03
    0.62965E-03    0.85045E+03
    0.64237E-03    0.86668E+03
    0.65535E-03    0.88320E+03
    0.66859E-03    0.90003E+03
    0.68210E-03    0.91717E+03
    0.69588E-03    0.93463E+03
    0.70993E-03    0.95240E+03
    0.72427E-03    0.97051E+03
    0.73891E-03    0.98894E+03
    0.75383E-03    0.10077E+04
    0.76906E-03    0.10268E+04
    0.78460E-03    0.10463E+04
    0.80045E-03    0.10661E+04
    0.81662E-03    0.10863E+04
    0.83311E-03    0.11068E+04
    0.84994E-03    0.11277E+04
    0.86711E-03    0.11490E+04
    0.88463E-03    0.11706E+04
    0.90250E-03    0.11927E+04
    0.92073E-03    0.12151E+04
    0.93933E-03    0.12380E+04
    0.95831E-03    0.12612E+04
    0.97767E-03    0.12849E+04
    0.99742E-03    0.13090E+04
    0.10176E-02    0.13335E+04
    0.10381E-02    0.13584E+04
    0.10591E-02    0.13838E+04
    0.10805E-02    0.14096E+04
    0.11023E-02    0.14358E+04
    0.11246E-02    0.14625E+04
    0.11473E-02    0.14897E+04
    0.11705E-02    0.15174E+04
    0.11941E-02    0.15455E+04
    0.12182E-02    0.15741E+04
    0.12429E-02    0.16031E+04
    0.12680E-02    0.16327E+04
    0.12936E-02    0.16628E+04
    0.13197E-02    0.16934E+04
    0.13464E-02    0.17244E+04
    0.13736E-02    0.17560E+04
    0.14013E-02    0.17882E+04
    0.14296E-02    0.18208E+04
