#           k/h    P           
    0.10000E-03    0.53843E+02
    0.10202E-03    0.54886E+02
    0.10408E-03    0.55950E+02
    0.10618E-03    0.57034E+02
    0.10833E-03    0.58139E+02
    0.11052E-03    0.59265E+02
    0.11275E-03    0.60414E+02
    0.11503E-03    0.61584E+02
    0.11735E-03    0.62777E+02
    0.11972E-03    0.63994E+02
    0.12214E-03    0.65234E+02
    0.12461E-03    0.66497E+02
    0.12712E-03    0.67786E+02
    0.12969E-03    0.69099E+02
    0.13231E-03    0.70437E+02
    0.13499E-03    0.71802E+02
    0.13771E-03    0.73193E+02
    0.14049E-03    0.74610E+02
    0.14333E-03    0.76056E+02
    0.14623E-03    0.77529E+02
    0.14918E-03    0.79030E+02
    0.15220E-03    0.80561E+02
    0.15527E-03    0.82121E+02
    0.15841E-03    0.83711E+02
    0.16161E-03    0.85333E+02
    0.16487E-03    0.86985E+02
    0.16820E-03    0.88669E+02
    0.17160E-03    0.90386E+02
    0.17507E-03    0.92136E+02
    0.17860E-03    0.93920E+02
    0.18221E-03    0.95738E+02
    0.18589E-03    0.97592E+02
    0.18965E-03    0.99481E+02
    0.19348E-03    0.10141E+03
    0.19739E-03    0.10337E+03
    0.20138E-03    0.10537E+03
    0.20544E-03    0.10741E+03
    0.20959E-03    0.10949E+03
    0.21383E-03    0.11161E+03
    0.21815E-03    0.11377E+03
    0.22255E-03    0.11597E+03
    0.22705E-03    0.11821E+03
    0.23164E-03    0.12050E+03
    0.23632E-03    0.12283E+03
    0.24109E-03    0.12520E+03
    0.24596E-03    0.12762E+03
    0.25093E-03    0.13009E+03
    0.25600E-03    0.13261E+03
    0.26117E-03    0.13517E+03
    0.26645E-03    0.13778E+03
    0.27183E-03    0.14045E+03
    0.27732E-03    0.14316E+03
    0.28292E-03    0.14593E+03
    0.28864E-03    0.14875E+03
    0.29447E-03    0.15162E+03
    0.30042E-03    0.15455E+03
    0.30649E-03    0.15754E+03
    0.31268E-03    0.16058E+03
    0.31899E-03    0.16368E+03
    0.32544E-03    0.16684E+03
    0.33201E-03    0.17006E+03
    0.33872E-03    0.17334E+03
    0.34556E-03    0.17669E+03
    0.35254E-03    0.18009E+03
    0.35966E-03    0.18357E+03
    0.36693E-03    0.18711E+03
    0.37434E-03    0.19072E+03
    0.38190E-03    0.19439E+03
    0.38962E-03    0.19814E+03
    0.39749E-03    0.20196E+03
    0.40552E-03    0.20585E+03
    0.41371E-03    0.20981E+03
    0.42207E-03    0.21385E+03
    0.43060E-03    0.21797E+03
    0.43929E-03    0.22216E+03
    0.44817E-03    0.22644E+03
    0.45722E-03    0.23079E+03
    0.46646E-03    0.23523E+03
    0.47588E-03    0.23975E+03
    0.48550E-03    0.24436E+03
    0.49530E-03    0.24905E+03
    0.50531E-03    0.25383E+03
    0.51552E-03    0.25870E+03
    0.52593E-03    0.26367E+03
    0.53656E-03    0.26873E+03
    0.54739E-03    0.27388E+03
    0.55845E-03    0.27913E+03
    0.56973E-03    0.28447E+03
    0.58124E-03    0.28992E+03
    0.59299E-03    0.29547E+03
    0.60496E-03    0.30112E+03
    0.61719E-03    0.30688E+03
    0.62965E-03    0.31274E+03
