#           k/h    P           
    0.10000E-03    0.38425E+03
    0.10202E-03    0.39170E+03
    0.10408E-03    0.39929E+03
    0.10618E-03    0.40703E+03
    0.10833E-03    0.41492E+03
    0.11052E-03    0.42297E+03
    0.11275E-03    0.43116E+03
    0.11503E-03    0.43952E+03
    0.11735E-03    0.44804E+03
    0.11972E-03    0.45673E+03
    0.12214E-03    0.46558E+03
    0.12461E-03    0.47460E+03
    0.12712E-03    0.48380E+03
    0.12969E-03    0.49318E+03
    0.13231E-03    0.50274E+03
    0.13499E-03    0.51248E+03
    0.13771E-03    0.52242E+03
    0.14049E-03    0.53254E+03
    0.14333E-03    0.54286E+03
    0.14623E-03    0.55339E+03
    0.14918E-03    0.56411E+03
    0.15220E-03    0.57504E+03
    0.15527E-03    0.58619E+03
    0.15841E-03    0.59755E+03
    0.16161E-03    0.60913E+03
    0.16487E-03    0.62093E+03
    0.16820E-03    0.63297E+03
    0.17160E-03    0.64523E+03
    0.17507E-03    0.65773E+03
    0.17860E-03    0.67048E+03
    0.18221E-03    0.68347E+03
    0.18589E-03    0.69671E+03
    0.18965E-03    0.71021E+03
    0.19348E-03    0.72397E+03
    0.19739E-03    0.73800E+03
    0.20138E-03    0.75229E+03
    0.20544E-03    0.76687E+03
    0.20959E-03    0.78172E+03
    0.21383E-03    0.79686E+03
    0.21815E-03    0.81230E+03
    0.22255E-03    0.82803E+03
    0.22705E-03    0.84406E+03
    0.23164E-03    0.86041E+03
    0.23632E-03    0.87707E+03
    0.24109E-03    0.89405E+03
    0.24596E-03    0.91136E+03
    0.25093E-03    0.92900E+03
    0.25600E-03    0.94698E+03
    0.26117E-03    0.96531E+03
    0.26645E-03    0.98399E+03
    0.27183E-03    0.10030E+04
    0.27732E-03    0.10224E+04
    0.28292E-03    0.10422E+04
    0.28864E-03    0.10624E+04
    0.29447E-03    0.10829E+04
    0.30042E-03    0.11039E+04
    0.30649E-03    0.11252E+04
    0.31268E-03    0.11469E+04
    0.31899E-03    0.11691E+04
    0.32544E-03    0.11917E+04
    0.33201E-03    0.12147E+04
    0.33872E-03    0.12382E+04
    0.34556E-03    0.12621E+04
    0.35254E-03    0.12865E+04
    0.35966E-03    0.13113E+04
    0.36693E-03    0.13366E+04
    0.37434E-03    0.13624E+04
    0.38190E-03    0.13886E+04
    0.38962E-03    0.14154E+04
    0.39749E-03    0.14427E+04
    0.40552E-03    0.14705E+04
    0.41371E-03    0.14988E+04
    0.42207E-03    0.15277E+04
    0.43060E-03    0.15571E+04
    0.43929E-03    0.15870E+04
    0.44817E-03    0.16176E+04
    0.45722E-03    0.16487E+04
    0.46646E-03    0.16803E+04
    0.47588E-03    0.17126E+04
    0.48550E-03    0.17455E+04
    0.49530E-03    0.17790E+04
    0.50531E-03    0.18131E+04
    0.51552E-03    0.18479E+04
    0.52593E-03    0.18833E+04
    0.53656E-03    0.19194E+04
    0.54739E-03    0.19561E+04
    0.55845E-03    0.19935E+04
    0.56973E-03    0.20316E+04
    0.58124E-03    0.20705E+04
    0.59299E-03    0.21100E+04
    0.60496E-03    0.21503E+04
    0.61719E-03    0.21913E+04
    0.62965E-03    0.22331E+04
    0.64237E-03    0.22756E+04
    0.65535E-03    0.23189E+04
    0.66859E-03    0.23630E+04
    0.68210E-03    0.24079E+04
    0.69588E-03    0.24537E+04
    0.70993E-03    0.25002E+04
    0.72427E-03    0.25477E+04
    0.73891E-03    0.25959E+04
    0.75383E-03    0.26451E+04
    0.76906E-03    0.26951E+04
    0.78460E-03    0.27461E+04
    0.80045E-03    0.27979E+04
    0.81662E-03    0.28507E+04
    0.83311E-03    0.29045E+04
    0.84994E-03    0.29592E+04
    0.86711E-03    0.30148E+04
    0.88463E-03    0.30715E+04
    0.90250E-03    0.31292E+04
    0.92073E-03    0.31879E+04
    0.93933E-03    0.32476E+04
    0.95831E-03    0.33084E+04
    0.97767E-03    0.33703E+04
    0.99742E-03    0.34332E+04
    0.10176E-02    0.34973E+04
    0.10381E-02    0.35625E+04
    0.10591E-02    0.36288E+04
    0.10805E-02    0.36962E+04
    0.11023E-02    0.37649E+04
    0.11246E-02    0.38347E+04
    0.11473E-02    0.39057E+04
    0.11705E-02    0.39779E+04
    0.11941E-02    0.40514E+04
    0.12182E-02    0.41261E+04
    0.12429E-02    0.42021E+04
    0.12680E-02    0.42794E+04
    0.12936E-02    0.43580E+04
    0.13197E-02    0.44379E+04
    0.13464E-02    0.45191E+04
    0.13736E-02    0.46017E+04
    0.14013E-02    0.46856E+04
    0.14296E-02    0.47709E+04
    0.14585E-02    0.48576E+04
    0.14880E-02    0.49458E+04
    0.15180E-02    0.50354E+04
    0.15487E-02    0.51264E+04
    0.15800E-02    0.52188E+04
    0.16119E-02    0.53128E+04
    0.16445E-02    0.54083E+04
    0.16777E-02    0.55052E+04
    0.17116E-02    0.56037E+04
    0.17462E-02    0.57037E+04
    0.17814E-02    0.58052E+04
    0.18174E-02    0.59084E+04
    0.18541E-02    0.60130E+04
    0.18916E-02    0.61193E+04
    0.19298E-02    0.62272E+04
    0.19688E-02    0.63366E+04
    0.20086E-02    0.64477E+04
    0.20491E-02    0.65605E+04
    0.20905E-02    0.66748E+04
    0.21328E-02    0.67909E+04
    0.21758E-02    0.69085E+04
    0.22198E-02    0.70279E+04
    0.22646E-02    0.71489E+04
    0.23104E-02    0.72716E+04
    0.23571E-02    0.73960E+04
    0.24047E-02    0.75221E+04
    0.24533E-02    0.76499E+04
    0.25028E-02    0.77793E+04
    0.25534E-02    0.79105E+04
    0.26050E-02    0.80434E+04
    0.26576E-02    0.81780E+04
    0.27113E-02    0.83143E+04
    0.27660E-02    0.84522E+04
    0.28219E-02    0.85919E+04
    0.28789E-02    0.87333E+04
    0.29371E-02    0.88764E+04
    0.29964E-02    0.90211E+04
    0.30569E-02    0.91676E+04
    0.31187E-02    0.93157E+04
    0.31817E-02    0.94655E+04
    0.32460E-02    0.96169E+04
    0.33115E-02    0.97699E+04
    0.33784E-02    0.99246E+04
    0.34467E-02    0.10081E+05
    0.35163E-02    0.10239E+05
    0.35874E-02    0.10398E+05
    0.36598E-02    0.10559E+05
    0.37338E-02    0.10722E+05
    0.38092E-02    0.10886E+05
    0.38861E-02    0.11051E+05
    0.39646E-02    0.11218E+05
    0.40447E-02    0.11386E+05
    0.41264E-02    0.11556E+05
    0.42098E-02    0.11727E+05
    0.42948E-02    0.11899E+05
    0.43816E-02    0.12073E+05
    0.44701E-02    0.12248E+05
    0.45604E-02    0.12424E+05
    0.46525E-02    0.12601E+05
    0.47465E-02    0.12779E+05
    0.48424E-02    0.12958E+05
    0.49402E-02    0.13138E+05
    0.50400E-02    0.13319E+05
    0.51419E-02    0.13501E+05
    0.52457E-02    0.13684E+05
    0.53517E-02    0.13868E+05
    0.54598E-02    0.14052E+05
    0.55701E-02    0.14237E+05
    0.56826E-02    0.14422E+05
    0.57974E-02    0.14608E+05
    0.59145E-02    0.14794E+05
    0.60340E-02    0.14981E+05
    0.61559E-02    0.15167E+05
    0.62803E-02    0.15354E+05
    0.64072E-02    0.15540E+05
    0.65366E-02    0.15727E+05
    0.66686E-02    0.15913E+05
    0.68033E-02    0.16099E+05
    0.69408E-02    0.16284E+05
    0.70810E-02    0.16469E+05
    0.72240E-02    0.16653E+05
    0.73700E-02    0.16837E+05
    0.75189E-02    0.17019E+05
    0.76708E-02    0.17200E+05
    0.78257E-02    0.17380E+05
    0.79838E-02    0.17559E+05
    0.81451E-02    0.17736E+05
    0.83096E-02    0.17912E+05
    0.84775E-02    0.18086E+05
    0.86488E-02    0.18258E+05
    0.88235E-02    0.18428E+05
    0.90017E-02    0.18596E+05
    0.91836E-02    0.18761E+05
    0.93691E-02    0.18924E+05
    0.95583E-02    0.19084E+05
    0.97514E-02    0.19241E+05
    0.99484E-02    0.19394E+05
    0.10149E-01    0.19545E+05
    0.10354E-01    0.19692E+05
    0.10564E-01    0.19835E+05
    0.10777E-01    0.19974E+05
    0.10995E-01    0.20110E+05
    0.11217E-01    0.20240E+05
    0.11443E-01    0.20367E+05
    0.11675E-01    0.20488E+05
    0.11910E-01    0.20605E+05
    0.12151E-01    0.20716E+05
    0.12397E-01    0.20822E+05
    0.12647E-01    0.20922E+05
    0.12902E-01    0.21017E+05
    0.13163E-01    0.21105E+05
    0.13429E-01    0.21187E+05
    0.13700E-01    0.21262E+05
    0.13977E-01    0.21331E+05
    0.14259E-01    0.21392E+05
    0.14547E-01    0.21446E+05
    0.14841E-01    0.21493E+05
    0.15141E-01    0.21532E+05
    0.15447E-01    0.21563E+05
    0.15759E-01    0.21586E+05
    0.16077E-01    0.21600E+05
    0.16402E-01    0.21606E+05
    0.16734E-01    0.21603E+05
    0.17072E-01    0.21592E+05
    0.17416E-01    0.21571E+05
    0.17768E-01    0.21540E+05
    0.18127E-01    0.21501E+05
    0.18493E-01    0.21451E+05
    0.18867E-01    0.21392E+05
    0.19248E-01    0.21323E+05
    0.19637E-01    0.21244E+05
    0.20034E-01    0.21155E+05
    0.20438E-01    0.21056E+05
    0.20851E-01    0.20947E+05
    0.21272E-01    0.20828E+05
    0.21702E-01    0.20698E+05
    0.22141E-01    0.20558E+05
    0.22588E-01    0.20409E+05
    0.23044E-01    0.20249E+05
    0.23510E-01    0.20079E+05
    0.23985E-01    0.19900E+05
    0.24469E-01    0.19711E+05
    0.24964E-01    0.19513E+05
    0.25468E-01    0.19306E+05
    0.25982E-01    0.19091E+05
    0.26507E-01    0.18867E+05
    0.27043E-01    0.18635E+05
    0.27589E-01    0.18395E+05
    0.28146E-01    0.18148E+05
    0.28715E-01    0.17895E+05
    0.29295E-01    0.17635E+05
    0.29887E-01    0.17371E+05
    0.30490E-01    0.17101E+05
    0.31106E-01    0.16827E+05
    0.31735E-01    0.16549E+05
    0.32376E-01    0.16268E+05
    0.33030E-01    0.15985E+05
    0.33697E-01    0.15701E+05
    0.34378E-01    0.15416E+05
    0.35072E-01    0.15131E+05
    0.35781E-01    0.14847E+05
    0.36504E-01    0.14565E+05
    0.37241E-01    0.14285E+05
    0.37993E-01    0.14005E+05
    0.38761E-01    0.13729E+05
    0.39544E-01    0.13456E+05
    0.40343E-01    0.13189E+05
    0.41158E-01    0.12928E+05
    0.41989E-01    0.12674E+05
    0.42838E-01    0.12428E+05
    0.43703E-01    0.12190E+05
    0.44586E-01    0.11961E+05
    0.45486E-01    0.11740E+05
    0.46405E-01    0.11528E+05
    0.47343E-01    0.11326E+05
    0.48299E-01    0.11132E+05
    0.49275E-01    0.10946E+05
    0.50270E-01    0.10769E+05
    0.51286E-01    0.10599E+05
    0.52322E-01    0.10437E+05
    0.53379E-01    0.10281E+05
    0.54457E-01    0.10131E+05
    0.55557E-01    0.99860E+04
    0.56680E-01    0.98452E+04
    0.57825E-01    0.97071E+04
    0.58993E-01    0.95757E+04
    0.60184E-01    0.94518E+04
    0.61400E-01    0.93289E+04
    0.62641E-01    0.92016E+04
    0.63906E-01    0.90706E+04
    0.65197E-01    0.89379E+04
    0.66514E-01    0.88022E+04
    0.67858E-01    0.86608E+04
    0.69229E-01    0.85122E+04
    0.70627E-01    0.83555E+04
    0.72054E-01    0.81899E+04
    0.73510E-01    0.80144E+04
    0.74994E-01    0.78290E+04
    0.76509E-01    0.76338E+04
    0.78055E-01    0.74296E+04
    0.79632E-01    0.72174E+04
    0.81241E-01    0.69988E+04
    0.82882E-01    0.67754E+04
    0.84556E-01    0.65494E+04
    0.86264E-01    0.63227E+04
    0.88007E-01    0.60973E+04
    0.89785E-01    0.58752E+04
    0.91598E-01    0.56584E+04
    0.93449E-01    0.54487E+04
    0.95337E-01    0.52479E+04
    0.97263E-01    0.50575E+04
    0.99227E-01    0.48790E+04
    0.10123E+00    0.47137E+04
